,smiles,BACE,rd_8,rd_32,rd_64,rd_128,rd_512,rd_1024,rd_2048,rd_4096,rd_8192,rd_16384
129,s1cc(cc1C1([NH2+]C[C@@H](O)[C@@H](NC(=O)C)Cc2cc(F)cc(F)c2)CC1)CC(C)(C)C,0.0,1,5,4,5,5,5,5,3,1,2
130,S(CC[C@H](NC(=O)CCC(C)C)C(=O)N[C@H]([C@@H](O)C[C@H](C(=O)NCCCC)C)CC(C)C)C,0.0,2,4,2,4,4,2,3,1,1,3
131,Clc1ccccc1-c1scc(-c2ccc(OCCC)cc2)c1CC(=O)NC(=[NH2+])N,0.0,1,1,2,5,5,1,4,1,4,5
132,O=C1N[C@@H](C[C@@H](CCCCCCCC(=O)N[C@H]1C)C)[C@@H](O)C[C@H](C(=O)NCCCC)C,0.0,2,4,4,2,4,4,5,3,2,2
133,Brc1cc(ccc1)C(=O)Nc1ccc(cc1)-c1n(CC(=O)NC(=[NH2+])N)c(cc1)-c1ccccc1,0.0,5,1,3,3,2,2,4,4,1,4
134,O(CCC)c1cc(cc(N2CCCC2=O)c1)C(=O)N[C@H]([C@H](O)C[NH2+][C@H](C(=O)NC1CCCCC1)C)Cc1ccccc1,0.0,2,5,3,3,1,1,1,5,1,1
135,O=C1N(C)C(N[C@@]1(CC1CCCCC1)CCC1CCCCC1)=N,0.0,1,2,3,3,1,3,3,1,4,2
136,Clc1cc2CC([NH+]=C(N[C@@H](Cc3cscc3CCC)C(=O)[O-])c2cc1)(C)C,0.0,5,2,4,5,2,3,4,3,4,1
137,s1c2c(nc1C)C(=[NH+][C@@]2(c1cc(ccc1)-c1cncnc1)c1ccc(OC)cc1)N,0.0,5,4,1,5,3,4,2,2,3,4
138,Clc1ccccc1-c1n(CC(=O)NC(=[NH2+])N)c(cc1)-c1ccc(Oc2ccc(cc2)C(=O)C)cc1,0.0,4,4,5,4,4,5,5,3,4,2
139,Clc1cc2CC([NH+]=C(N[C@@H](Cc3ccccc3)C3=NOC(=O)[N-]3)c2cc1)(C)C,0.0,3,1,4,4,5,2,3,5,4,5
140,Fc1ccc(NC(=O)c2ncc(cc2)C#N)cc1[C@]1(N=C(O[C@H](C1)C(F)(F)F)N)C,0.0,5,2,5,3,1,4,2,4,5,5
141,Brc1cc(ccc1O)C[C@@H]1CS(=O)(=O)C[C@H]([NH2+]Cc2cc(ccc2)C2CC2)[C@H]1O,0.0,1,2,4,5,4,3,4,5,4,4
142,Clc1cc(cc(Cl)c1NC(=O)C)C\N=C(\NC(=O)Cn1c2c(cccc2)cc1)/N,0.0,5,2,5,2,1,4,2,5,3,4
143,Fc1cc(cc(F)c1)C[C@H](NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@H](O)[C@@H]1[NH2+]CCN(C1)C(=O)c1ccccc1,0.0,5,3,2,4,4,3,5,2,2,3
144,Brc1cc(cc(F)c1N)C[C@@H]1CS(=O)(=O)C[C@H]([NH2+]Cc2cc(ccc2)C(F)(F)C)[C@H]1O,0.0,2,3,1,1,5,2,2,4,1,3
145,S(Oc1cc(cc(OCC(=O)NCCCCC[NH3+])c1)C(=O)N[C@H](C)c1ccc(F)cc1)(=O)(=O)Cc1ccccc1,0.0,1,3,1,4,5,4,3,1,3,5
146,O=C1N(C)C(=N[C@@]1(C12CC3CC(C1)CC(C2)C3)c1ccccc1)N,0.0,2,2,1,1,1,1,4,5,2,5
147,S(=O)(=O)(N(C)c1nc2CC[C@@H](CCc3cc(C[C@]([NH3+])(C)C(OCc(c1)c2)=O)ccc3)C)C,0.0,1,2,4,4,1,2,2,4,1,2
148,S(=O)(=O)(CCCCC)c1cc(ccc1)C(=O)N[C@H]([C@H](O)C[NH2+][C@H](C(=O)NC1CCCCC1)C)Cc1ccccc1,0.0,2,3,3,2,4,1,1,4,3,4
149,S1(=O)(=O)N([C@]2(C[C@@H]([N@H+](CC2)Cc2cc(OC(C)C)ccc2)C)CN1C)c1cc(F)ccc1,0.0,2,2,4,4,4,5,1,5,4,3
150,Fc1cc(N2C3(CC[NH+](CC3)Cc3ccc(NC(=O)C)cc3)C(=NC2=O)NC2CCCCC2)ccc1,0.0,4,5,2,2,1,2,4,5,3,4
151,Fc1ncccc1-c1cc(ccc1)[C@]1(N=C(OC1)N)c1ccc(OC)cc1,0.0,1,2,5,2,1,5,1,2,1,3
152,O(C)c1ccc(cc1)[C@@]1([NH+]=C(N)[C@H](OC)C1)c1cc(ccc1)-c1cccnc1,0.0,5,5,4,3,4,1,4,3,1,2
153,Fc1cc(ccc1OC)[C@H](Cc1cc([N+](=O)[O-])ccc1OC)c1nc([nH]c1)N,0.0,1,3,5,5,1,1,1,5,4,1
154,O=C(N[C@H]([C@@H](O)C[C@H](C(=O)NCCCC)C)Cc1ccccc1)[C@H]1C[C@H](CCC1)C(NC(=O)C)(C)C,0.0,4,1,3,2,4,2,4,4,3,3
155,O=C(NC(=[NH2+])N)Cn1c(ccc1-c1ccccc1)-c1ccccc1,0.0,5,4,1,4,1,1,3,3,1,1
156,Brc1cc2c(S(=O)(=O)CC[C@@H]2OC(=O)[C@@H]2[NH2+]C[C@]3(C2)c2c(NC3=O)cccc2)cc1,0.0,5,4,3,3,4,4,2,1,3,1
157,O(Cc1ncccc1)c1ccc(cc1CNc1cccnc1N)-c1cc2[nH]ccc2cc1,0.0,1,1,4,5,4,3,1,3,2,5
158,Fc1cc(cc(F)c1)C[C@H](NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@@H](O)C[NH2+]Cc1cc(OC)ccc1,0.0,4,4,3,2,3,1,5,5,4,3
159,O(C)c1cc(ccc1)-c1cc(ccc1)[C@@H]1C[C@@H]1C=1N=C(N)N(C)C(=O)C=1,0.0,1,5,1,2,1,2,1,4,4,2
160,Brc1cc(ccc1C#N)COC(=O)[C@@H]1[NH2+]C[C@]2(C1)c1c(NC2=O)cccc1,0.0,4,4,5,3,5,2,4,4,2,2
161,Clc1cc(ccc1)-c1cc(ccc1)[C@@]1(OCCC(=[NH+]1)N)C,0.0,4,4,1,2,4,3,3,3,4,1
162,O=C1N(Cc2ccc(cc2)CNC(=O)Nc2ccc(cc2)C#N)C(N[C@@]1(CC(C)C)C)=N,0.0,3,4,4,4,5,4,5,5,4,2
163,Clc1cc2nc(n(c2cc1)[C@H](CC(=O)NCC1CCCCC1)CC)N,0.0,3,4,2,3,3,4,5,1,2,4
164,O(C)c1ccc(cc1)[C@@]1([NH+]=C(N)CC1)c1cc(ccc1)-c1cncnc1,0.0,4,4,2,1,4,4,4,5,2,5
165,Clc1cc2nc(n(c2cc1)[C@H](CC(=O)NC1C2CC3CC1CC(C2)C3)CC)N,0.0,3,5,3,5,4,5,5,5,4,2
166,[nH]1c2cc(ccc2cc1)-c1cc(ccc1)CNc1cccnc1N,0.0,2,2,1,5,1,5,3,4,2,4
167,Clc1cc(cnc1)-c1cc(ccc1)[C@@]12N=C(O[C@@H]1CCCC2)N,0.0,3,4,2,2,2,3,1,4,5,4
168,O=C1Nc2c(cccc2)[C@]12C[C@@H]([NH2+]C2)C(OCc1ccc(cc1)C#N)=O,0.0,5,3,5,3,2,3,4,5,1,1
169,O=C1N(C)C(=NC(=C1)[C@H]1C[C@H]1c1ccc(cc1)-c1cc(ccc1)C)N,0.0,1,2,4,5,5,4,4,1,1,5
170,O=C1N(C)C(N[C@](C1)(C)[C@@H]1C[C@H]1c1ccccc1)=N,0.0,5,4,2,4,4,3,4,2,2,3
171,Brc1cc2c(SCC[C@@H]2OC(=O)[C@@H]2[NH2+]C[C@]3(C2)c2c(NC3=O)cccc2)cc1,0.0,5,3,1,4,3,4,5,1,3,3
172,S(=O)(=O)(Nc1cc(Nc2ncnc(c2)-c2ccccc2)ccc1C)C,0.0,5,2,5,4,4,1,4,1,1,1
173,O(C)c1cc(ccc1)-c1cc(ccc1)CCc1nc(N)ccc1,0.0,2,2,1,4,1,2,4,1,5,3
174,O(C(=O)[C@@H]1[NH2+]C[C@]2(C1)c1c(NC2=O)cccc1)C1(CCCCC1)C#N,0.0,5,2,1,3,3,2,5,2,4,3
175,Clc1cc2nc(n(c2cc1)CCCC(=O)N(C)C1CCCCC1)N,0.0,1,5,2,1,5,2,4,2,2,4
176,O=C([O-])[C@@H](\[NH+]=C\1/NC(Cc2c/1cccc2)(C)C)Cc1ccccc1,0.0,1,5,1,5,5,5,3,2,3,2
177,Brc1cc2c(OC(C[C@@]23N=C(N)N(C)C3=O)(C)C)cc1,0.0,4,4,5,5,3,2,2,5,5,3
178,[NH+]=1C(C=2N(CCCN=2)C=1N)(c1ccccc1)c1ccccc1,0.0,5,2,3,1,3,2,3,3,4,3
179,O(C)c1cc(cnc1)-c1cc(ccc1)CNc1cccnc1N,0.0,4,4,4,5,4,4,3,2,1,5
180,S1CC[C@@](N=C1N)(C)c1ccc(OC)cc1,0.0,2,5,2,1,3,4,5,1,2,1
181,O=C1N(C)C(=N[C@@](C1)(CCc1ccccc1)C)N,0.0,1,5,1,3,3,2,1,4,3,3
182,O=C1N(Cc2ccc(cc2)CNC(=O)NCCCC)C(N[C@@]1(CC(C)C)C)=N,0.0,3,2,4,5,2,5,2,1,5,3
183,O=C1Nc2c(cccc2)[C@]12C[C@@H]([NH2+]C2)C(OCc1ccccc1)=O,0.0,2,4,3,3,5,1,4,1,2,1
184,[nH]1c2cc(ccc2cc1)CCc1nc(N)ccc1,0.0,5,4,1,1,3,1,5,1,2,2
185,O1[C@@H]2COCC[C@@]2(N=C1N)c1cc(ccc1)-c1cncnc1,0.0,3,5,4,1,1,1,3,1,1,4
186,[NH+]=1[C@](N=C(c2ccccc2)C=1N)(C)c1cc(ccc1)-c1cccnc1,0.0,2,3,2,5,3,4,1,1,5,3
187,n1cccc(NCc2cc(ccc2)-c2cccnc2)c1N,0.0,5,5,4,1,3,1,3,3,5,4
188,O1CCC(OC(=O)[C@@H]2[NH2+]C[C@]3(C2)c2c(NC3=O)cccc2)CC1,0.0,4,3,4,2,3,2,3,5,1,2
189,O=C1NC(=NC(=C1)CCc1cc2[nH]ccc2cc1)N,0.0,4,5,2,1,3,4,3,2,2,3
190,Clc1cc(ccc1OCCCC)CSC(=[NH2+])N,0.0,4,2,3,5,2,2,5,4,1,2
191,o1cccc1C[N@H+](Cc1cc(ccc1)CCc1cccnc1N)C,0.0,4,5,4,3,1,3,4,2,5,5
192,n1cccc(NCc2ccccc2)c1N,0.0,5,4,5,5,3,1,5,2,2,5
193,Clc1cc(ccc1)CN1C(=O)[C@](NC1=N)(CC(C)C)C,0.0,1,1,2,1,2,1,4,2,2,2
194,Fc1ccc(cc1)CC1CC[NH2+]CC1,0.0,3,5,2,4,4,4,2,2,5,1
195,O=C1N(C)C(=NC(=C1)[C@H]1C[C@H]1c1ccccc1)N,0.0,1,2,1,1,4,4,1,5,3,3
196,Clc1cc(ccc1)CN1C(=O)C(NC1=N)(C)C,0.0,3,3,5,1,3,1,5,2,5,4
197,Clc1cc2nc(n(c2cc1)CCCO)N,0.0,2,4,2,2,1,2,2,2,1,4
198,n1c2c(nc(N)c1N1CCCC1)cccc2,0.0,2,5,1,4,3,3,5,4,1,2
199,Clc1cc(ccc1)CCc1cccnc1N,0.0,5,2,2,2,5,1,5,3,2,2
200,n1ccc2c(cccc2)c1N,0.0,2,5,2,1,1,2,1,4,4,3
201,n1c2c(ccc1N)cccc2,0.0,4,4,4,3,2,3,5,3,3,3
202,O1CC[NH+](CC1)CC(O)COc1cc(ccc1C)C,0.0,5,1,3,5,4,4,2,1,1,2
203,O=C1NC(=NC(=C1)CCC)N,0.0,4,4,1,3,3,3,1,5,4,3
204,OC(C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C([NH3+])Cc1c2c([nH]c1)cccc2)Cc1c2c([nH]c1)cccc2)CO)CCC(=O)[O-])C(C)C)CC(=O)N)CC(C)C)CC(C(=O)NC(C(=O)NC(CCC(=O)[O-])C(=O)NC(Cc1ccccc1)C(=O)[O-])C)C,1.0,2,1,3,3,4,3,5,1,3,2
205,S(=O)(=O)(CC(NC(OCn1nc(cc1C)C)=O)C(=O)NC(C(O)CC(C(=O)NC(C(C)C)C(=O)NCC(C)C)C)CC(C)C)C,1.0,5,1,3,3,3,1,3,2,3,1
206,OC(C(NC(=O)C(NC(=O)C(NC(=O)C([NH3+])CCC(=O)[O-])CC(C)C)CC(=O)[O-])CC(C)C)CC(C(=O)NC(C(C)C)C(=O)NC(CCC(=O)[O-])C(=O)NC(Cc1ccccc1)C(=O)[O-])C,1.0,5,4,1,1,3,2,5,1,1,3
207,Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C)C(=O)N1CCCC1COC)C(O)C1[NH2+]CC(Oc2ccccc2)C1,1.0,2,5,2,2,4,2,2,2,3,5
208,S(=O)(=O)(N1CC([NH2+]CC1)C(O)C(NC(=O)c1cc(cc(c1)C)C(=O)N1CCCC1COC)Cc1cc(F)cc(F)c1)c1cc(ccc1)C,1.0,3,3,4,3,1,5,2,4,3,2
209,S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(C(O)CC(OC)C(=O)NC(C(C)C)C(=O)NCc1ccccc1)COc1cc(F)cc(F)c1)C(=O)NC(C)c1ccccc1)C,1.0,4,1,4,3,4,1,5,2,2,1
210,OC(C(NC(=O)C(NC(=O)C(NC(=O)C([NH3+])CCC(=O)[O-])C(C)C)CC(=O)N)CC(C)C)CC(C(=O)NC(C(=O)NC(CCC(=O)[O-])C(=O)NC(Cc1ccccc1)C(=O)[O-])C)C,1.0,2,1,5,5,1,1,2,5,1,1
211,s1cc(cc1C12N=C(N)N(C)C(=O)C1CN(C2)c1nc(OC)ccc1)-c1cc(ccc1)C#N,1.0,4,5,3,4,5,4,3,2,2,2
212,S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(C(O)CC(C(=O)NC(C(C)C)C(=O)NC(C)C)C)CC(C)C)C(=O)NC(C)c1ccccc1)C,1.0,5,5,3,3,3,3,4,2,1,1
213,Clc1cc(sc1C1(NC(=[NH2+])N(C)C(=O)C1)C)-c1cc(cnc1)C#CC,1.0,3,3,4,3,3,2,2,5,1,1
214,S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]Cc1cc(OC)ccc1)C(=O)NC(C)c1ccccc1)C,1.0,5,4,4,4,5,1,4,3,4,3
215,s1cc(cc1C12N=C(N)N(C)C(=O)C1CN(C2)C(=O)c1ccccc1)-c1cc(ccc1)C#N,1.0,3,2,5,3,3,3,5,5,4,4
216,s1cc(cc1C12N=C(N)N(C)C(=O)C1CN(C2)c1ncccc1OC)-c1cc(ccc1)C#N,1.0,5,3,1,3,1,4,1,2,2,1
217,S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(C(O)CC(OCCOC)C(=O)NC(C(C)C)C(=O)NCc1ccccc1)COc1cc(F)cc(F)c1)C(=O)NC(C)c1ccccc1)C,1.0,3,3,2,5,3,1,5,4,2,3
218,O=C1N(C)C(=[NH2+])NC1(C1CC1)c1cc(ccc1)-c1cc(cnc1)C#CC,1.0,3,1,3,1,4,4,4,2,5,2
219,s1cc(cc1C12N=C(N)N(C)C(=O)C1CN(C2)c1ncccc1C#N)-c1cc(ccc1)C#N,1.0,4,4,3,1,4,4,4,5,5,2
220,O=C(c1cc2CN(CCC(=O)N(C)C3CCCCC3)C(=[NH+]c2cc1)N)c1ccccc1,1.0,5,3,5,1,3,4,2,2,5,2
221,S1(=O)(=O)N(c2cc(cc3n(cc(CC1)c23)CC)C(=O)NC(Cc1ccccc1)C(O)(O)C[NH2+]C1CCOCC1)C,1.0,4,5,5,1,5,1,3,1,1,3
222,Clc1cc(cc(C)c1NC(=O)C)CN\C(=N/C(=O)c1c(nsc1C)-c1ccc(OC)cc1)\N,1.0,2,1,4,2,1,2,3,3,1,1
223,S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(Cc1ccccc1)C[NH2+]C(C(O)C)C(=O)NCC(C)C)C(=O)NC(C)c1ccccc1)C,1.0,2,4,4,1,2,1,4,1,5,4
224,O1CCCCCCNC(=O)CC(NC(=O)C(NC1=O)C(C)C)C(=O)NC(C(O)CC(C(=O)NC(C(C)C)C(=O)NCc1ccccc1)C)CC(C)C,1.0,1,2,2,2,5,4,1,5,5,1
225,Fc1ccc(NC(=O)C(CC([NH3+])C(NC(=O)c2cc(ccc2)C(=O)N(CCC)CCC)Cc2ccccc2)C)cc1,1.0,2,3,5,5,1,3,4,3,1,1
226,Fc1c2c(ccc1)C([NH+]=C2N)(c1cc(ccc1)-c1cncnc1)c1cc(ncc1)C(F)F,1.0,3,4,2,4,1,1,5,3,3,2
227,Clc1cc(cc(Cl)c1N)CN\C(=N/C(=O)c1c(nsc1C)-c1ccc(OC)cc1)\N,1.0,4,4,1,3,5,4,1,5,2,3
228,s1cc(cc1C1(N=C(N)N(C)C(=O)C1)C)-c1cc(ccc1)C#N,1.0,4,5,1,4,2,2,1,4,1,5
229,Clc1cc(cnc1)-c1cc(ccc1)C1(NC(=[NH2+])N(C)C1=O)C1CC1,1.0,3,5,3,3,2,4,2,4,3,5
230,s1c(ccc1-c1cc(C#N)c(F)cc1)C12N=C(N)N(C)C(=O)C1CN(C2)c1ccccc1,1.0,1,2,3,4,5,2,3,3,3,5
231,O(C)c1cc(ccc1)-c1cc(ccc1)C1(NC(=[NH2+])N(C)C1=O)c1ccccc1,1.0,4,1,1,4,3,1,3,5,5,2
232,O(C)c1cc(ccc1)-c1cc(ccc1)C1(N=C(N)N(C)C(=O)C1)C,1.0,2,1,3,2,3,5,1,4,5,5
233,O(C)c1cc(ccc1)CN1CC(NC1=O)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]Cc1cc(N(C)C)ccc1,1.0,3,2,3,5,3,1,5,5,2,4
234,O=C1N(C)C(=[NH2+])NC1(c1cc(ccc1)-c1cccnc1)c1ccccc1,1.0,4,1,2,2,2,5,2,1,2,1
235,O(c1cc2CN(C(CCC(=O)N(C)C3CCCCC3)C3CCCCC3)C(=[NH+]c2cc1)N)c1ccccc1,1.0,3,2,4,4,3,2,5,5,3,2
236,O=C1N(C)C(=[NH2+])NC1(c1ccccc1)c1ccccc1,1.0,1,5,4,4,4,3,3,4,5,3
237,O=C1NC(CN1Cc1ccccc1)(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]Cc1cc(N(C)C)ccc1,1.0,3,3,2,3,5,4,1,5,5,4
238,n1c2c(cc(cc2)-c2ccccc2C#CC(C)(C)C)ccc1N,1.0,1,1,4,1,4,4,2,3,3,3
239,O=C(NCC1CCCCC1)CCc1cc2c(nc1N)cccc2,1.0,3,1,3,4,4,4,3,2,5,3
240,O=C(N(C)C1CCCCC1)CCc1cc2c(nc1N)cccc2,1.0,4,3,1,3,1,5,2,2,5,4
241,s1cc(cc1)-c1cc2c(nc(N)cc2)cc1,1.0,5,3,4,4,1,1,3,5,5,5
242,Clc1cc(C[NH+]2CCC(NC(=O)COc3ccc(S(=O)(=O)N)cc3C)CC2)c(OC(C)C)c(OC)c1,1.0,5,1,4,3,3,1,5,2,5,3
243,Clc1cc(C[NH+]2CCC(NC(=O)COc3ccc(S(=O)(=O)N)cc3)CC2)c(OC(C)C)c(OC)c1,1.0,1,5,3,1,5,5,5,5,5,1
244,Oc1ccc(cc1C1CCCCC1)CC[NH3+],1.0,1,5,4,5,2,3,5,4,3,4
245,Oc1ccc(cc1CC)CC[NH3+],1.0,3,3,5,5,2,4,4,2,2,4
246,Oc1ccc(cc1)CC([NH3+])C,1.0,3,2,3,5,2,1,1,1,1,3
247,Oc1ccc(cc1)CC[NH3+],1.0,4,4,5,4,3,1,3,2,4,2
248,O=C(NCCC(C)(C)C)C(Cc1cc2cc(ccc2nc1N)-c1ccccc1C)C,1.0,2,4,3,4,4,2,2,5,2,4
249,Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(O)C1,1.0,2,5,1,4,3,4,4,3,4,3
250,Fc1cc(ccc1C)CC(NC(=O)C)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,1.0,2,3,5,1,1,5,3,2,5,3
251,Fc1cc(ccc1)CC(NC(=O)C)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,1.0,4,1,3,2,2,4,1,3,2,5
252,Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)/C(=N\OC)/C)C(=O)N(CCC)CCC)C(O)C[NH2+]Cc1cc(OC)ccc1,1.0,5,5,3,3,4,5,5,2,3,5
253,S(=O)(=O)(N(C)c1cc2cc(NCCCCOc3cc(CC(NC2=O)C(O)C[NH2+]Cc2cc(ccc2)C(C)C)ccc3)c1)CCC,1.0,2,5,5,1,1,5,1,3,4,3
254,O1CCCCOc2cc(CC(NC(=O)c3cc(N4CCCC4=O)cc1c3)C(O)C[NH2+]C1(CC1)c1cc(ccc1)C(C)C)ccc2,1.0,2,2,5,5,2,2,5,2,1,5
255,Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCc2cccnc2)C1,1.0,4,4,2,3,4,5,2,2,5,2
256,Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCc2ncccc2)C1,1.0,3,5,4,5,4,4,2,1,5,5
257,s1ccnc1-c1cc(cc(F)c1)CC(NC(=O)COC)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,1.0,1,5,3,2,5,5,5,2,1,5
258,Fc1cc(cc(c1)C#C)CC(NC(=O)COC)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,1.0,1,2,3,4,1,1,2,1,5,2
259,Fc1cc(ccc1F)CC(NC(=O)C)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,1.0,5,4,4,2,5,2,5,3,1,5
260,Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C(=O)N(CCC)CCC)C(O)C)C(O)C[NH2+]Cc1cc(OC)ccc1,1.0,3,3,4,2,1,2,2,5,4,1
261,S(=O)(=O)(N(C)c1cc2cc(NCCCCOc3cc(CC(NC2=O)C(O)C[NH2+]C2(CC2)c2cc(ccc2)C(C)C)ccc3)c1)CCC,1.0,1,2,4,2,1,1,2,1,4,5
262,S1(=O)(=O)CC(Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,1.0,3,3,4,1,4,4,5,4,3,4
263,S1(=O)(=O)CC(Cc2cc(O[C@H](COC)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,1.0,1,2,2,4,2,5,2,3,2,3
264,S1(=O)(=O)CC(Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(O)(C)C)C1,1.0,1,4,3,3,4,3,1,3,5,1
265,S1(=O)(=O)CC(Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(CO)(C)C)C1,1.0,1,5,5,1,3,1,4,3,4,3
266,Fc1ccc(cc1OC(F)(F)F)CC(NC(=O)C)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,1.0,4,4,4,5,5,2,1,2,2,4
267,FC(F)(F)c1cc(ccc1)CC(NC(=O)C)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,1.0,1,2,3,1,5,2,3,4,4,4
268,Fc1ccc(cc1C#N)CC(NC(=O)C)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,1.0,5,2,5,2,1,3,3,1,4,3
269,Fc1c2c(ccc1)C(N=C2N)(C=1C=C(C)C(=O)N(C=1)CC)c1cc(NC(=O)c2ncccc2)ccc1,1.0,5,3,2,3,2,5,2,4,2,5
270,O=C(NCC1CCCCC1)C(Cc1cc2cc(ccc2nc1N)-c1ccccc1C)C,1.0,5,1,2,2,5,4,2,2,3,4
271,O1c2c(cc(cc2)CC)C([NH2+]CC(O)C2NC(=O)C=3C=C(N4CCCC4)C(=O)N(CCCCc4cc(C2)ccc4)C=3)CC12CCC2,1.0,3,5,5,1,3,4,5,3,3,3
272,Fc1c2c(cc(F)c1)C(N=C2N)(C=1C=C(C)C(=O)N(C=1)CC)c1cc(ccc1)-c1cc(cnc1)C#CC,1.0,4,4,1,3,2,1,5,4,4,3
273,Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCCC)C1,1.0,2,1,3,2,3,3,5,5,4,2
274,Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(Oc2ccccc2)C1,1.0,1,4,1,3,4,1,2,3,3,3
275,Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(Oc2ncccc2)C1,1.0,5,1,3,2,2,3,4,2,3,5
276,Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCc2cc(ccc2)C(F)(F)F)C1,1.0,3,4,2,2,3,4,4,1,2,5
277,O1c2ncc(cc2C([NH2+]CC(O)C2NC(=O)C=3C=CC(=O)N(CCCc4cc(C2)ccc4)C=3)CC12CCC2)CC(C)(C)C,1.0,5,1,3,4,3,2,4,3,3,1
278,Fc1ccc(cc1CC(NC(=O)COC)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2)C#C,1.0,4,1,3,5,4,1,1,4,5,5
279,Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)/C(=N\O)/C)C(=O)N(CCC)CCC)C(O)C[NH2+]Cc1cc(OC)ccc1,1.0,2,2,2,3,5,4,2,2,5,2
280,S1(=O)(=O)N(c2cc(cc3n(cc(CC1)c23)CC)C(=O)NC([C@H](O)C[NH2+]CCC(F)(F)F)Cc1ccccc1)C,1.0,2,1,5,4,1,3,5,2,5,4
281,S(=O)(=O)(N(c1cc(cc(OCC)c1)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)c1ccccc1)C,1.0,3,3,4,2,2,2,2,5,3,1
282,Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCc2cc(ccc2)C#N)C1,1.0,1,1,4,1,4,3,1,3,3,4
283,S1(=O)(=O)CC(Cc2cc(O[C@@H](C(F)(F)F)C)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,1.0,1,1,1,1,5,5,3,4,1,5
284,S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(C(O)CC(C(=O)NC(C(C)C)C(=O)NCc1ccccc1)C)COc1cc(F)cc(F)c1)C(=O)NC(C)c1ccccc1)C,1.0,2,5,1,4,1,3,1,5,1,4
