,smiles,HIV,rd_8,rd_32,rd_64,rd_128,rd_512,rd_1024,rd_2048,rd_4096,rd_8192,rd_16384
13177,COc1ccc(Br)c(CN2CCc3ccccc32)c1OS(=O)(=O)c1ccc(C)cc1.Cl,0.0,4,3,5,5,4,5,3,4,3,3
13178,COc1cccc(C(=O)N2CCc3ccccc32)c1OC,0.0,5,4,4,1,4,5,1,5,4,4
13179,O=c1c2cc3c(cc2c2cccc4c2n1CCC4)OCO3,0.0,3,3,4,4,1,3,4,3,3,3
13180,COc1ccc2ccc3c(c2c1)CN1CCc2cc(OC)c(OC)cc2C1C3,0.0,3,1,5,4,3,3,5,4,4,3
13181,Nc1cc(O)nc(SC2=NC(N)CC(O)C2)n1,0.0,1,3,1,1,2,4,5,1,4,2
13182,CCN(CC)CCNC(=O)c1nn(C)c(=S)[nH]c1=S,0.0,1,2,1,2,5,5,1,3,5,3
13183,O=C(O)CNc1cc(-c2ccccc2)nc(NCC(=O)O)n1,0.0,1,2,2,1,5,2,3,2,1,3
13184,CCOC(=O)C1Cc2c(ccc(OC)c2OC)C(=O)C1N,0.0,1,5,2,2,2,1,5,3,3,2
13185,COc1ccc2c(c1OC)C(=O)c1cnccc1C2=O,1.0,1,4,1,4,3,4,4,3,2,3
13186,O=C1CCC(=O)c2c1c(O)c1ccncc1c2O,0.0,4,2,2,3,3,1,5,2,3,2
13187,N=C1NC(=N)C(=Cc2ccccc2[N+](=O)[O-])C(=O)N1,0.0,3,5,3,4,3,4,2,3,4,3
13188,CCOc1ccc(C=C2C(=N)NC(=N)NC2=O)cc1OCC,0.0,1,5,4,1,4,1,2,4,2,3
13189,COC(=O)C1CSC(c2csc(CCN)n2)=N1,0.0,2,1,5,2,4,4,2,4,3,1
13190,CCOC(=O)CCn1cnc(=N)[nH]1,0.0,5,5,5,5,4,2,3,1,2,2
13191,COc1ccc2c(c1)C(=O)c1ccc(OC)cc1C2=S,0.0,3,5,3,5,4,1,5,1,2,4
13192,Cc1c(C)c([N+](=O)[O-])c2c(c1N)C(=O)c1ccccc1C2=O,0.0,3,2,5,1,1,1,5,2,5,1
13193,O=C1c2ccccc2C(=O)c2cc3c(cc21)CS(=O)C3,0.0,4,4,3,5,5,2,3,5,2,4
13194,Cc1cc2c(c3nocc13)C(=O)c1ccccc1C2=O,0.0,3,5,1,3,4,5,3,1,5,1
13195,CC1(C=O)C(=O)CCC2(C)C3CC(=O)OC3CCC12,0.0,2,5,5,5,5,1,4,2,5,1
13196,CC(=O)SCCC1c2[nH]c3ccccc3c2CCN1O,0.0,2,3,3,4,4,3,3,4,3,1
13197,COc1cc2ccnc3c2c(c1OC)C(=O)C3=C(SC)SC,0.0,3,1,2,2,1,5,4,2,4,5
13198,N#CC(C#N)c1ccc(C(=O)N2CCCC2CO)cc1,0.0,5,2,4,4,5,1,4,4,1,3
13199,COc1c2c3c(c(OC)c1OC)-c1ccc(O)cc1C3=NCC2,0.0,3,3,2,3,2,5,5,1,3,4
13200,COc1cc2c(cc1OC)C(=Cc1ccccc1N)C(=O)OC2,0.0,4,3,4,1,5,5,2,1,2,1
13201,N#CC1(C#N)C2(c3ccccc3)OC(c3ccccc3)(c3cc4ccccc4cc32)C1(C#N)C#N,0.0,1,5,3,2,4,4,3,5,2,2
13202,O=c1c(Sc2c(O)c3ccccc3c3ccccc3c2=O)c(O)c2ccccc2c2ccccc12,0.0,5,2,2,5,2,3,5,3,3,5
13203,O=C1C2C(C(=O)N1c1ccccc1)C1(c3ccccc3)OC2(c2ccccc2)c2ccccc21,0.0,5,2,5,3,5,3,3,3,5,2
13204,O=S1(=O)C(c2ccccc2)c2c(-c3ccccc3)sc(-c3ccccc3)c2C1c1ccccc1,0.0,3,2,3,1,5,3,4,4,1,5
13205,O=S1C(c2ccccc2)c2c(-c3ccccc3)sc(-c3ccccc3)c2C1c1ccccc1,0.0,5,2,5,2,4,1,2,1,1,3
13206,COC(=O)C1=C(C(=O)OC)C2(c3ccccc3)OC1(c1ccccc1)c1cc3ccccc3cc12,0.0,4,2,3,2,4,2,5,1,2,3
13207,c1ccc(-c2sc(-c3ccccc3)c3c2C(c2ccccc2)SC3c2ccccc2)cc1,0.0,4,3,3,1,4,1,2,2,3,4
13208,[BrH+][Ni-2]1([BrH+])[PH](c2ccccc2)(c2ccccc2)c2ccccc2[PH]1(c1ccccc1)c1ccccc1,0.0,4,1,1,2,3,4,2,1,1,5
13209,CCOC(=O)c1cc2c3c(c(O)c(OC)c2s1)N(C(=O)c1cc2c4c(c(OC)c(OC)c2s1)N(C(=O)OC(C)(C)C(Cl)(Cl)Cl)CC4)CC3,0.0,5,4,1,3,1,5,2,1,4,3
13210,OC(c1ccccc1)c1c(-c2ccccc2)oc(-c2ccccc2)c1C(O)c1ccccc1,0.0,2,2,1,2,1,4,5,5,2,2
13211,OC(c1ccccc1)c1c(-c2ccccc2)[nH]c(-c2ccccc2)c1C(O)c1ccccc1,0.0,2,1,3,4,1,2,5,1,1,2
13212,CC(=O)OC1CCC2(C)C(CCC3C2C(Br)C(=O)C2(C)C3CC3OC4(OCC(C)CC4Br)C(C)C32)C1,0.0,2,4,4,3,3,3,4,2,3,4
13213,[O-]c1c(-c2cccc3ccccc23)sc(-c2cccc3ccccc23)[n+]1-c1ccccc1,0.0,2,1,1,1,3,1,3,2,3,2
13214,CCOC1C2c3cc(OC)c(OC)cc3CC(C#N)(c3ccccc32)N1C(=O)c1ccccc1,0.0,1,1,4,3,3,1,1,5,4,5
13215,COc1ccc(C(=Cc2cc(OC)c(OC)cc2[N+](=O)[O-])C(=O)O)cc1,0.0,2,2,3,1,4,3,3,3,2,4
13216,COC(=O)C1=C(C(=O)OC)C2=S(SC3=C2CCCC3)S1,0.0,1,3,5,1,2,4,2,5,1,1
13217,COC(=O)C=c1sc(=CC(=O)OC)c2ccccc12,0.0,3,5,5,4,5,1,5,4,3,1
13218,CC12OC3(C)OC(=O)C(c4ccccc4)(O1)C3(C)O2,0.0,3,1,3,4,1,5,4,2,4,3
13219,CC(=O)OC1(C)C(=O)OC1(C)C(C)=O,0.0,5,2,5,3,2,5,4,1,3,3
13220,Cn1cccc1C=Cc1cc(Br)c(C=Cc2cccn2C)cc1Br,0.0,3,4,4,1,2,5,1,5,2,2
13221,C1CC2=C(C1)C1=S(S2)SC2=C1CCC2,0.0,3,5,3,5,4,3,4,3,3,1
13222,S=c1c2ccccc2c(=S)n2n1CC=CC2,0.0,2,1,3,2,4,4,2,3,4,1
13223,O=c1c2ccccc2c(=O)n2n1CC=CC2,0.0,4,1,4,4,3,5,1,5,1,2
13224,O=C1CCCC(O)=C1SC1=C(O)CCCC1=O,0.0,4,2,3,1,1,1,4,1,4,3
13225,CN1C(=O)C2C=CC1C1CCC2N(C)C1=O,0.0,5,4,2,4,4,2,4,3,4,3
13226,CC1c2[nH]c3ccccc3c2CCN1O,0.0,1,3,1,4,2,4,3,3,1,1
13227,NC1=C(O)c2cccc3cccc(c23)C1=O,0.0,3,1,3,1,2,4,3,2,5,3
13228,O=C1C=Cc2noc3cccc1c23,0.0,4,1,5,3,1,3,3,5,1,5
13229,O=S1Nc2c(Cl)cc(Cl)c3c(Cl)cc(Cl)c(c23)N1,0.0,3,2,4,4,2,5,2,1,3,2
13230,Clc1cc(Cl)c2c(Cl)cc(Cl)c3c2c1N=S=N3,0.0,5,3,4,3,5,2,4,1,5,4
13231,COC(=O)c1sc(C(=O)OC)c2c1CS(=O)C2,0.0,4,4,1,5,3,5,3,1,2,4
13232,COC(=O)c1sc(C(=O)OC)c2c1CSC2,0.0,1,2,5,2,4,2,5,2,2,4
13233,COc1cc(O)c2c(c1)C(=O)C=C(Cl)C2=O,0.0,1,3,3,5,5,2,5,5,3,2
13234,COc1cc2c(cc1OC)CCN=C2,0.0,3,5,4,5,5,5,2,2,4,1
13235,COc1cc2c(cc1O)C=NCC2,0.0,3,5,5,3,1,5,4,4,5,1
13236,O=C(O)C(=Cc1ccc2c(c1)OCO2)C(=Cc1ccc2c(c1)OCO2)C(=O)O,0.0,1,4,2,5,3,5,4,2,4,4
13237,O=C1OC(=O)C(=Cc2ccc3c(c2)OCO3)C1=Cc1ccc2c(c1)OCO2,0.0,2,3,3,1,1,4,1,3,1,5
13238,O=c1ccn(COC(COCc2ccccc2)COCc2ccccc2)c(=O)[nH]1,0.0,3,1,1,5,3,1,1,5,3,1
13239,COc1ccc(C(Cl)=C(C=O)c2ccccc2)cc1OC,0.0,1,5,3,4,4,3,5,1,3,5
13240,O=C1C2C3SC(c4cc5ccccc5cc43)C2C(=O)N1c1ccccc1,0.0,2,2,5,5,1,2,5,5,1,1
13241,O=C1C2C3SC(c4c3ccc3ccccc43)C2C(=O)N1c1ccccc1,0.0,4,2,1,3,5,4,3,4,1,4
13242,O=c1c2ccccc2c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,0.0,4,1,3,5,5,4,2,1,1,3
13243,CCC12C=C(C(=O)OC)N3c4ccccc4C4CCN(CCC1)C2C43,0.0,4,3,2,4,1,4,2,2,1,1
13244,CC(C)=CC1c2[nH]c3ccccc3c2CC(C(=O)O)N1C(=O)OC(C)(C)C(Cl)(Cl)Cl,0.0,4,2,4,1,3,5,5,2,4,3
13245,COc1ccc(C2=C3c4cc(OC)c(OC)cc4CCN3C(=S)SS2)cc1OC,0.0,2,3,4,4,5,1,2,3,1,4
13246,COc1cc2c(cc1OC)c1c(OC)c(OC)cc3c1c1c2sc(=S)n1CC3,0.0,5,2,5,5,4,1,5,3,1,5
13247,O=c1[c-](-c2ccccc2)[se]c(-c2ccccc2)[n+]1-c1ccccc1,0.0,1,1,4,4,4,4,3,5,5,2
13248,COC(=O)C1=C(C(=O)OC)SC(=C2C(=O)c3ccccc3-c3ccccc32)S1,0.0,3,2,2,5,1,5,3,5,1,4
13249,CC1(C)CC(=O)c2c(ccc(C(=O)CC(N)CO)c2N)O1,0.0,1,4,3,1,2,4,2,1,3,5
13250,COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O,0.0,2,2,4,4,3,3,1,5,2,5
13251,O=C(OCC1OCC(=O)C2(OC(=O)c3ccccc3)C3C=CC(C3)C12)c1ccccc1,0.0,2,4,1,1,4,3,4,4,2,3
13252,O=C(OCC1OC(OC(=O)c2ccccc2)C(=O)C2(OC(=O)c3ccccc3)C3C=CC(C3)C12)c1ccccc1,0.0,4,1,2,5,3,1,3,4,3,3
13253,Nc1ncnc2c1ncn2CC(O)CO,0.0,4,1,3,2,1,2,5,5,2,3
13254,COC(=O)C=CC=Cc1ccc2c(c1OC)C(=O)c1ccccc1C2=O,0.0,4,5,2,4,3,3,5,5,1,3
13255,COC1(OC)C2(Cl)C(Cl)=C(Cl)C1(Cl)C1c3ccc(C(C)=O)c4cccc(c34)C12,0.0,5,2,2,3,4,1,2,1,5,3
13256,COC(=O)c1c(-c2ccccc2)sc(-c2cccc3ccccc23)c1C(=O)OC,0.0,2,5,4,1,4,1,4,1,2,2
13257,O=S1(=O)CC2C(C1)C1(c3ccccc3)OC2(c2ccccc2)c2ccccc21,0.0,1,3,1,5,4,4,2,4,1,1
13258,CC(=O)Oc1c2c(c(OC(C)=O)c3c1C(=O)c1ccccc1C3=O)CCC(C(C)O)=C2,0.0,3,5,3,5,1,5,2,4,5,4
13259,CC12CCC3C(CCC4C(=NO)C(=O)C(=NO)CC43C)C1CC(=NO)C2=O,0.0,3,3,5,4,4,4,5,1,3,3
13260,COc1cc2c(cc1OC)C(C1C(=O)CC(C)(C)CC1=O)NCC2,0.0,4,1,4,1,5,3,5,3,4,3
13261,N#CC1(Cc2ccccc2[N+](=O)[O-])c2ccccc2C2C(N1C(=O)c1ccccc1)C2(Cl)Cl,0.0,3,2,5,4,2,5,5,2,2,3
13262,O=C1OC(Sc2ccccc2)(Sc2ccccc2)c2cccc3cccc1c23,0.0,4,2,4,4,2,4,4,2,3,3
13263,CC1C=CC2COC(=O)C2=CC1c1ccccc1,0.0,2,4,4,3,5,2,1,3,1,5
13264,COC(=O)C1=C2CCC(=O)C2(C)C(OC(C)=O)C=CC1,0.0,4,5,5,2,4,3,2,4,1,4
13265,COC(=O)C1=C2CCC(=O)C2(C)CC(C)=C(C)C1,0.0,4,5,2,4,2,1,1,1,1,4
13266,CCOC(=O)c1cccc(=O)c(C(=O)OCC)c1,0.0,1,3,1,2,2,4,2,2,5,4
13267,CCOC(=O)C1=CC(C(=O)OCC)C2C=CC1N2C(=O)OC,0.0,2,2,4,2,3,1,2,4,3,4
13268,CCOC(=O)Nc1ccc(S(=O)(I)=[O+][Mg][O+]=S(=O)(I)c2ccc(NC(=O)OCC)cc2)cc1.CNC(=O)N=O.NC(=O)OCCCl,0.0,4,4,4,2,4,3,3,2,4,4
13269,CCOC(=O)Nc1ccc(S(=O)(I)=[O+][Mg][O+]=S(=O)(I)c2ccc(NC(=O)OCC)cc2)cc1.CN(C=O)C1=C(N(C)C=O)C(N(C)C=O)=C(N(C)C=O)C(=O)C1=O,0.0,2,3,1,4,3,1,4,4,5,5
13270,N#CC(OC1OC(COC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1O)c1ccccc1,0.0,1,4,1,5,4,4,4,1,2,4
13271,COc1cc(O)c(C(=O)C=Cc2ccccc2)c(O)c1C1C=C(C)CCC1C(C)C,0.0,3,1,4,2,2,3,5,5,4,5
13272,CC(=O)OC1(C)CC(O)C2(O)C=COC(OC3OC(CO)C(O)C(O)C3O)C12,0.0,4,5,2,3,1,3,4,5,5,4
13273,CC=C(C)C(=O)OC1CCC2(CO2)C2(COC(C)=O)C(OC(C)=O)CC(C)C(C)(CC(O)C3=CC(=O)OC3)C12,0.0,5,5,3,2,4,2,5,5,2,2
13274,CCC(C)C(=O)OC1CCC2(CO2)C2(COC(C)=O)C(OC(C)=O)CC(C)C(C)(CC(O)C3=CC(=O)OC3)C12,0.0,1,2,1,1,3,2,5,5,2,4
13275,COc1cc2ccnc(C(OC(=O)c3ccccc3)c3ccc(OC)c(OC)c3OC)c2cc1OC,0.0,4,3,4,5,3,4,4,3,2,3
13276,COc1cc2c3c(c1OC)-c1ccccc1C(C(OC(C)=O)c1ccccc1)C3N(C)CC2,0.0,4,3,5,1,3,3,4,1,2,3
13277,COc1cc(C=Cc2ccc(C=Cc3cc(OC)c(OC)c(OC)c3)cc2)cc(OC)c1OC,0.0,5,1,2,2,5,3,5,3,1,1
13278,O=C1C2C(C(=O)N1c1ccccc1)C1c3ccccc3C2C2C(=O)N(c3ccccc3)C(=O)C21,0.0,4,5,4,4,3,3,4,1,1,4
13279,O=C1c2ccccc2C(C2c3ccccc3C(=O)c3ccccc32)c2ccccc21,0.0,5,3,3,1,5,2,4,2,2,4
13280,O=C1C2C(C(=O)N1c1ccccc1)C1(Br)c3ccccc3C2(Br)C2C(=O)N(c3ccccc3)C(=O)C21,0.0,4,1,1,3,3,4,4,1,1,3
13281,O=C1c2ccccc2C(=C2c3ccccc3C(=O)c3ccccc32)c2ccccc21,0.0,2,2,5,3,1,1,2,1,2,1
13282,COc1cc2c(cc1OC)C(Cc1cc(OCc3ccccc3)c(OC)cc1N)N(C)CC2,0.0,1,2,4,3,4,1,2,3,4,4
13283,COC(=O)C1CCCN1C(=O)C1Cc2c([nH]c3ccccc23)C(C=C(C)C)N1C(=O)OC(C)(C)C(Cl)(Cl)Cl,0.0,4,2,5,1,1,3,3,1,1,5
13284,COc1cc2c(cc1OC)C(Cc1ccc(OC)c(OC)c1Oc1ccccc1)N(C)CC2,0.0,4,1,4,2,4,1,1,5,1,4
13285,COc1cc2c(cc1OC)Cc1cc(OC)c(OC)cc1Cc1cc(OC)c(OC)cc1C2,0.0,2,3,3,2,2,3,2,4,4,1
13286,COc1cc2c(cc1OC)C(Cc1ccc(O)cc1)N(C)CC2.O=C(O)C(O)c1ccccc1,0.0,4,5,5,3,2,3,5,2,2,1
13287,CN(C)c1ccc(C=Cc2ccc(C=Cc3ccc(N(C)C)cc3)cc2)cc1,0.0,3,4,5,5,5,4,3,2,4,3
13288,O=c1c(-c2ccccc2)c2c3cccc4cccc(c-2c1-c1ccccc1)c43,0.0,1,5,4,5,1,3,4,1,3,3
13289,COc1cc(Br)c(CC2(C#N)c3ccccc3C3C(N2C(=O)c2ccccc2)C3(Cl)Cl)cc1OC,0.0,4,3,5,3,3,4,3,2,4,1
13290,COc1cc2c3c(c1OC)-c1c(ccc4c1OCO4)CC3(C#N)N(C(=O)c1ccccc1)CC2,0.0,1,1,3,3,5,1,3,2,4,2
13291,COc1cc2c3c(c1OC)-c1cc4c(cc1CC3(C#N)N(C(=O)c1ccccc1)CC2)OCO4,0.0,5,1,4,4,3,5,5,1,5,1
13292,COC(=O)c1c(C(=O)OC)c(-c2ccccc2)n(-c2ccccc2)c(=O)c1-c1ccccc1,0.0,4,3,2,4,2,3,1,2,2,4
13293,CCOC1C2c3cc4c(cc3CC(C#N)(c3ccccc32)N1C(=O)c1ccccc1)OCO4,0.0,3,1,3,2,5,2,2,2,2,3
13294,COc1cc2c(C(OC(=O)c3ccccc3)c3ccc4c(c3)OCO4)nccc2c(OC)c1OC,0.0,5,3,2,4,3,2,5,1,4,1
13295,COC(=O)C(=O)OC1(C(C)=O)CC2(c3ccccc3)OC1(c1ccccc1)c1ccccc12,0.0,1,4,1,1,1,5,2,3,1,1
13296,O=C(NC1CC(NC(=O)OCc2ccccc2)C2c3ccccc3C12)OCc1ccccc1,0.0,5,1,3,5,4,5,5,3,2,2
13297,CCOC(=O)c1cc2c3c(c(O)c(OC)c2s1)N(C(=O)c1cc2c4c(c(O)c(OC)c2s1)N(C(C)=O)CC4)CC3,0.0,2,1,4,3,3,3,1,2,5,3
13298,COc1cc2c3c(c1OC)C(=NOS(=O)(=O)c1ccc(C)cc1)CC3N(S(=O)(=O)c1ccc(C)cc1)CC2,0.0,4,5,3,1,3,3,3,4,2,5
13299,C=CCC1C(=O)CC2(C)C(CC=C)C(=O)CC12C,0.0,3,3,3,4,4,4,5,5,4,1
13300,C=CCC1C(=O)CC2(C)CC(=O)C(CC=C)C12C,0.0,1,3,3,3,3,4,5,2,2,1
13301,C=CCC1(C(=O)OC(C)(C)C)C(OC)=C(C(=O)OC(C)(C)C)C2C1C(C(=O)OC(C)(C)C)=C(OC)C2(CC=C)C(=O)OC(C)(C)C,0.0,2,2,3,4,3,4,5,5,2,5
13302,[O-]c1c2c(nn1-c1ccccc1)c1ccccc1c[n+]2Cc1ccccc1,0.0,2,3,2,4,1,4,5,4,5,2
13303,O=C1CN(C(=O)c2ccccc2)Cc2[nH]c3ccccc3c21,0.0,4,5,4,5,1,2,2,1,5,1
13304,O=C(c1ccccc1)N1CCc2c([nH]c3ccccc23)C1,0.0,1,1,1,2,5,3,1,4,3,3
13305,CCOC(=O)C1C(=O)c2ccccc2CN1Cc1ccccc1.Cl,0.0,5,4,1,3,1,1,1,3,2,5
13306,COc1cc2c(cn1)[nH]c1ccccc12,0.0,5,5,2,5,2,1,3,5,1,3
13307,COC(=O)c1cc2c3ccccc3n(C(C)=O)c2cn1,0.0,5,3,1,4,3,4,1,4,5,1
13308,COc1ccc(Br)c(NN=C2CCCNC2=O)c1,0.0,3,3,3,4,2,3,1,5,3,5
13309,CCOC(=O)C(Cc1c(C=O)[nH]c2ccccc12)(NC(=O)c1ccccc1)C(=O)OCC,0.0,3,3,3,3,1,3,4,5,5,2
13310,c1ccc(COc2ccc3[nH]c4c(ncc5[nH]c6ccccc6c54)c3c2)cc1,0.0,2,3,5,4,1,3,5,5,5,3
13311,O=C(O)C1=C(O)C(C(=O)O)C23CCCCCCCCCCC12C(C(=O)O)C(O)=C3C(=O)O,0.0,1,3,1,1,5,2,1,2,1,3
13312,BrC1=CC=C2NC=CC3=CC=NC1C32,0.0,3,2,4,3,1,2,1,5,1,5
13313,O=C(O)Cc1cc(O)nc2c1C(=O)CCC2,0.0,3,5,1,4,3,1,3,1,4,3
13314,O=C(O)Cc1cc(O)nc2c1C(=NO)CCC2,0.0,2,5,5,3,1,5,5,2,3,3
13315,COC(=O)Cc1cc(O)nc2c1C(=O)CCC2,0.0,5,5,3,5,3,2,5,4,3,1
13316,COC(=O)C1C(=O)C(C(=O)OC)C2C(C(=O)OC)C(=O)C(C(=O)OC)C12,1.0,5,2,2,1,4,4,3,3,3,5
13317,O=C1CC23CCCCCCCCCCC2(C1)CC(=O)C3,0.0,4,2,3,3,2,1,1,2,3,4
13318,OC1(c2ccccc2)OC(C#Cc2ccccc2)(c2ccccc2)c2ccccc21,0.0,4,1,5,2,4,3,3,4,5,2
13319,CC(=O)OCC1(C)C(OC(C)=O)CCC2(C)C(CC(OC(C)=O)C3=CCOC3=O)C(O)(CO)CCC12,0.0,1,4,1,2,3,5,5,4,2,1
13320,O=C1OCc2c1cc1cc3c(cc1c2-c1ccc2c(c1)OCO2)OCO3.O=C1OCc2cc3cc4c(cc3c(-c3ccc5c(c3)OCO5)c21)OCO4,0.0,3,3,3,4,2,1,2,2,1,1
13321,CCOC(C)=O.O=C1OC(=O)c2c1cc1cc3c(cc1c2-c1ccc2c(c1)OCO2)OCO3,0.0,5,5,3,4,4,1,3,5,5,3
13322,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCN)OC(=O)CCCN.O=C(O)C(F)(F)F,0.0,5,3,1,5,1,5,1,5,1,5
13323,O=S(=O)(c1ccccc1)c1ccccc1,1.0,1,2,4,3,3,3,3,2,1,5
13324,O=S1(=O)c2ccccc2-c2ccccc21,0.0,2,4,2,5,1,2,1,5,5,1
13325,Cc1ccc(S(=O)(=O)c2ccccc2[N+](=O)[O-])cc1,1.0,2,3,5,3,1,5,1,2,2,2
13326,Cc1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,0.0,5,4,3,1,1,2,5,5,5,5
13327,Cc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1.Cl,0.0,5,1,2,3,3,1,2,1,1,3
13328,CCc1cccc(C)c1NS(=O)(=O)c1ccccc1,0.0,2,1,3,1,2,4,5,3,5,4
13329,CCc1cccc(C)c1NC(C)=O,0.0,4,1,2,3,3,4,3,1,4,3
13330,CCC(C)(C)NS(=O)(=O)c1ccccc1,0.0,4,3,4,2,1,1,3,4,3,3
13331,Cc1ccc(S(=O)(=O)Nc2ccccc2C(C)(C)C)cc1,0.0,4,4,4,1,5,2,3,3,4,4
13332,CC(C)(C)c1ccccc1NS(=O)(=O)c1ccccc1,0.0,3,1,4,1,4,5,4,5,4,3
13333,Cc1ccc(Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c(C)c1,0.0,2,3,2,4,1,3,1,4,1,5
13334,CCc1ccc(Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,0.0,4,2,4,4,3,4,2,4,1,4
13335,Cl.Nc1cc([As]=O)ccc1O,1.0,2,4,4,2,4,1,1,1,1,2
13336,N=C(N)NS(=O)(=O)c1ccc(NCCc2c3ccccc3nc3ccccc23)cc1,0.0,1,3,5,5,1,1,5,2,3,4
13337,CC(Nc1ccc(S(=O)(=O)NC(=N)N)cc1)c1c2ccccc2nc2ccccc12,0.0,3,3,4,2,5,2,1,4,5,2
13338,COc1cc(NS(C)(=O)=O)ccc1NCc1c2ccccc2nc2ccccc12,0.0,3,2,3,5,4,5,4,3,4,5
13339,N=C(N)NCCCC(Nc1c2ccccc2nc2ccccc12)C(=O)O,0.0,1,4,4,4,3,2,2,1,3,5
13340,NC(=O)CCC(Nc1c2ccccc2nc2ccccc12)C(=O)O,0.0,5,4,2,4,3,1,5,4,3,4
13341,O=C(O)C(CS)Nc1c2ccccc2nc2ccccc12,0.0,2,4,5,5,1,4,2,4,4,2
13342,CC(C)C(Nc1c2ccccc2nc2ccccc12)C(=O)O,0.0,3,2,5,4,4,1,1,4,2,2
13343,O=C(O)CNc1c2ccccc2nc2ccccc12,0.0,3,1,3,4,5,1,4,2,4,5
13344,N=C(N)NCCCC(NCc1c2ccccc2nc2ccccc12)C(=O)O,0.0,4,2,2,5,1,3,1,2,5,2
13345,CC(C)C(NCc1c2ccccc2nc2ccccc12)C(=O)O,0.0,5,4,3,1,4,5,2,5,3,5
13346,O=C(O)C(CS)NCc1c2ccccc2nc2ccccc12,0.0,5,5,5,3,4,3,2,2,5,2
13347,O=C(O)CNCc1c2ccccc2nc2ccccc12,0.0,3,2,4,1,2,2,3,3,1,3
13348,COS(=O)(O)=[OH+].C[n+]1c2ccccc2c(C=NNS(=O)(=O)c2ccc(Cl)cc2)c2ccccc21,0.0,3,5,4,2,3,1,4,3,4,5
13349,COS(=O)(O)=[OH+].C[n+]1c2ccccc2c(C=NNS(=O)(=O)c2ccc(O)c(C(=O)O)c2)c2ccccc21,0.0,3,5,5,5,5,2,1,1,3,2
13350,COS(=O)(O)=[OH+].Cc1ccc(S(=O)(=O)NN=Cc2c3ccccc3[n+](C)c3ccccc23)cc1,0.0,1,2,4,1,4,2,4,5,1,1
13351,COS(=O)(O)=[OH+].C[n+]1c2ccccc2cc2c(CNC(CCCNC(=N)N)C(=O)O)cccc21,0.0,5,4,2,1,1,3,2,5,2,4
13352,COS(=O)(O)=[OH+].C[n+]1c2ccccc2c(CNC(CCC(N)=O)C(=O)O)c2ccccc21,0.0,5,5,4,2,2,2,1,4,4,2
13353,COS(=O)(O)=[OH+].C[n+]1c2ccccc2c(CNC(CS)C(=O)O)c2ccccc21,0.0,1,4,2,3,4,2,4,5,5,5
13354,CC(C)C(NCc1c2ccccc2[n+](C)c2ccccc12)C(=O)O.COS(=O)(O)=[OH+],0.0,3,3,2,2,1,5,3,5,5,3
13355,COS(=O)(O)=[OH+].C[n+]1c2ccccc2c(CNCC(=O)O)c2ccccc21,0.0,5,3,5,5,4,4,4,1,3,2
13356,COS(=O)(O)=[OH+].C[n+]1c2ccccc2c(CNc2ccc(S(=O)(=O)NC(=N)N)cc2)c2ccccc21,0.0,5,2,1,5,1,5,2,4,4,3
13357,CN1C(=O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C,0.0,3,2,3,3,3,5,2,1,5,5
13358,CC(=O)OC1CCC2(C)C(=CCC3C4Cc5cnoc5NC4(C)CCC32)C1,0.0,5,3,2,5,4,2,1,5,1,4
13359,CC(=O)OC1CCC2(C)C(=CCC3C4Cc5cn[nH]c5NC4(C)CCC32)C1,0.0,5,4,5,3,3,4,2,2,2,1
13360,CC(=O)OC1CCC2(C)C(=CCC3C4Cc5cnn(-c6ccccc6)c5NC4(C)CCC32)C1,0.0,4,1,5,2,3,2,1,5,1,2
13361,CC12CCC3C(CC=C4CC(O)CCC43C)C1Cc1cnn(-c3ccccc3)c1N2,0.0,1,3,4,2,5,3,2,2,3,4
13362,CC12CCC3C(CCC4=CC(=O)CCC43C)C1Cc1cnn(-c3ccccc3)c1N2,0.0,5,2,5,1,2,4,5,1,4,1
13363,CC12CCC3C(CCC4=C(O)C(=O)CCC43C)C1Cc1cnn(-c3ccccc3)c1N2,0.0,2,1,5,4,4,3,5,3,5,2
13364,CC12CCC3C(CC=C4CC(O)CCC43C)C1Cc1cn[nH]c1N2,0.0,3,2,2,2,2,4,5,5,3,4
13365,CC12CCC3C(CCC4=CC(=O)CCC43C)C1Cc1cn[nH]c1N2,0.0,2,1,5,4,2,2,3,1,5,3
13366,CC12CCC3C(CC=C4CC(O)CCC43C)C1CC(C#N)C(=O)N2,0.0,5,5,2,3,4,4,5,4,4,3
13367,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CC(C#N)C(=O)N2,0.0,2,1,2,5,3,3,4,3,4,4
13368,CC(=O)OC1CCC2C3CCC4Nc5[nH]ncc5CC4(C)C3CCC12C,0.0,2,5,5,3,4,2,4,4,5,4
