SID,group,label_1a2,label_2c19,label_2c9,label_2d6,label_3a4,smiles
4238585,training set,0,0,0,0,0,O(C(=O)N1CCC2(CN(C2)c3cc(-c4ccccc4)ccc3)CC1)C
4238586,training set,0,0,0,1,0,O=C(N1CCC2(CC1)CCN(CC2)Cc3c(OC)cccc3)c4n(ccc4)C
4238588,training set,,0,0,0,,O=C(N1CCC2(CN(C(=O)Nc3cc(ccc3)C#N)CCC2)CC1)c4nccnc4
4238589,training set,1,1,0,0,1,o1c(CN(c2ncncc2-c3cnccc3)C)ccc1
4238592,training set,1,,0,,1,S(=O)(=O)(Nc1cc(-c2nc(N(C)C)c3c(n2)cccc3)ccc1)C
4238594,training set,1,1,0,1,1,n1c(nccc1NCc2ccccc2)-c3cnccc3
4238595,training set,,0,0,,,O=C(N1CCC2(CC1)CN(CCC2)CC(C)C)c3ccncc3
4238596,training set,,0,0,0,,s1nnc(C(=O)N2CCC3(CC2)CCN(CC3)C(=O)Nc4ccc(OC)cc4)c1
4238601,training set,0,0,0,0,,FC(F)(F)c1cc(C(=O)N2CCC3(CC2)CN(CCC3)Cc4c(OC)cccc4)cc(c1)C(F)(F)F
4238602,training set,,0,0,,1,Fc1cc(C(=O)N2C[C@@]3(CN(CC3)Cc4ccc(cc4)C#N)CCC2)ccc1
4238604,training set,0,0,0,0,0,O=C(N1CCC2(CC1)CCN(CC2)Cc3ccc(cc3)C#N)COC
4238605,training set,,0,0,,,FC(F)(F)c1cc(C(=O)N2CCC3(CC2)CCN(CC3)c4ccncc4)cc(c1)C(F)(F)F
4238610,training set,,0,0,0,,O(C(=O)N1CCC2(CCN(C(c3ccccc3)c4ccccc4)CC2)CC1)c5ccccc5
4238611,training set,1,0,0,,1,n1c(NC2CC2)c3c(nc1-c4c(cccc4)CN(C)C)cccc3
4238612,training set,0,0,0,1,0,S(=O)(=O)(N1CCC2(CC1)CCN(CC2)CC(C)C)c3ccccc3
4238613,training set,1,1,,1,1,s1c(CNc2nc(ncc2)-c3cnccc3)ccc1
4238614,training set,0,0,0,0,1,Fc1cc(C(=O)N2C[C@@]3(CN(CC3)c4ccccc4)CCC2)ccc1
4238615,training set,1,1,0,,0,O(c1c(-c2ncnc(NCc3ncc(nc3)C)c2)cccc1)C
4238617,training set,1,1,,,1,O1c2c(OC1)ccc(-c3nc4c(c(n3)NCc5cc(ccc5)C)cccc4)c2
4238619,training set,0,0,0,0,0,S(=O)(=O)(N1CCC2(CN(C2)Cc3sccn3)CC1)c4ccccc4
4238620,training set,0,0,,0,,Fc1cc(NC(=O)N2CCC3(CC2)CCN(CC3)C(Oc4ccccc4)=O)ccc1
4238621,training set,1,,0,,0,o1c(CN(c2nc(nc3c2cccc3)-c4ccc(cc4)C(=O)N(C)C)C)ccc1
4238622,training set,,0,0,0,1,S(=O)(=O)(N1CCC2(CC1)CN(C(=O)Nc3cc(ccc3)C#N)CCC2)c4ccccc4
4238624,training set,0,0,0,0,0,O=C(N1CCC2(CN(C2)CC(C)C)CC1)c3nccnc3
4238625,training set,,,,,1,O=C(N1C[C@@]2(CN(C(c3ccccc3)c4ccccc4)CC2)CCC1)c5n(ccc5)C
4238626,training set,1,1,0,,,FC(F)(F)c1c(-c2cc3c(ncnc3N(C)C)cc2)cccc1
4238628,training set,0,,0,1,,N1(CC2(CCC1)CCNCC2)c3ccccc3
4238629,training set,1,0,0,,,N1(c2nc(nc3c2cccc3)-c4cnccc4)CCN(CC1)C
4238630,training set,0,0,0,0,,O=C(N1CCC2(CN(c3ccncc3)CCC2)CC1)c4nccnc4
4238635,training set,0,0,0,0,0,S(=O)(=O)(N1CCC2(CC1)CCN(CC2)C)c3ccccc3
4238636,training set,,,,,1,S(=O)(=O)(Nc1cc(-c2c(N(Cc3occc3)C)ncnc2)ccc1)C
4238638,training set,1,,,1,1,n1c(nc(NCc2cnccc2)c3c1cccc3)-c4ccc(N(C)C)cc4
4238640,training set,0,0,0,,,o1c(C(=O)N2C[C@@]3(CN(CC3)CC(C)C)CCC2)ccc1
4238641,training set,1,1,1,,1,O(c1cc2c([nH]cc2CCNc3ncnc4c3cc(-c5cc(ccc5)C#N)cc4)cc1)C
4238642,training set,1,1,0,,1,Clc1c(-c2nc(NCc3c(OC)cc(OC)cc3)ccn2)cccc1
4238643,training set,0,0,0,0,,s1c(ncc1)CN2C[C@@]3(CN(CCC3)C(=O)COC)CC2
4238644,training set,0,0,0,0,,Fc1cc(NC(=O)N2CC3(CCN(CC3)C(OC)=O)CCC2)ccc1
4238646,training set,1,1,0,1,1,O(c1c(-c2nc(NCCc3c4c([nH]c3)ccc(OC)c4)c5c(n2)cccc5)cccc1)C
4238647,training set,1,0,,,1,o1c(C(=O)N2C[C@@]3(CN(CC3)c4ccncc4)CCC2)ccc1
4238648,training set,0,0,0,0,,O(C(=O)N1CCC2(CC1)CCN(CC2)C(=O)Nc3ccccc3)c4ccccc4
4238649,training set,0,0,0,0,,s1c(ncc1)CN2C[C@@]3(CN(C(=O)c4c(onc4C)C)CCC3)CC2
4238650,training set,1,0,,,1,S(=O)(=O)(Nc1cc(-c2nc3c(c(n2)NCc4cnccc4)cccc3)ccc1)C
4238652,training set,1,,0,,,S(=O)(=O)(Nc1cc(-c2ncnc(N(Cc3occc3)C)c2)ccc1)C
4238653,training set,0,1,,1,1,S(=O)(=O)(N1CCC2(CC1)CN(CCC2)Cc3ccc(cc3)C#N)c4ccccc4
4238655,training set,,0,0,0,,S(=O)(=O)(Nc1cc(-c2cc3c(ncnc3NCCNC(=O)C)cc2)ccc1)C
4238656,training set,1,0,0,0,,o1nc(c(-c2nc(NCc3ncc(nc3)C)ccn2)c1C)C
4238657,training set,,0,0,0,0,o1nc(c(C(=O)N2CCC3(CN(C(=O)Nc4cc(ccc4)C#N)CCC3)CC2)c1C)C
4238658,training set,0,0,0,0,0,s1nnc(C(=O)N2CCC3(CN(C3)Cc4ccc(cc4)C#N)CC2)c1
4238659,training set,,,,0,,O(c1c(CNc2nc(nc3c2cccc3)-c4ccc(cc4)C(=O)N(C)C)ccc(OC)c1)C
4238660,training set,1,1,0,,1,n1c(NCc2cnccc2)c(-c3c(cccc3)C)cnc1
4238662,training set,1,,0,,1,o1cc(-c2c(NC3CC3)ncnc2)cc1
4238663,training set,,,,0,0,O=C(N1CCC2(CC1)CCN(CC2)C(=O)Nc3ccc(OC)cc3)c4nccnc4
4238665,training set,,0,0,0,,O=C(N1CC2(CCC1)CCNCC2)Nc3ccccc3
4238668,training set,1,0,,1,1,O1c2c(OC1)ccc(-c3cc4c(ncnc4Nc5ccccc5)cc3)c2
4238671,training set,1,0,0,0,,o1nc(c(-c2nc(NCCOC)ccn2)c1C)C
4238672,training set,1,,0,,1,O(c1c(-c2ncnc(NCc3cnccc3)c2)cccc1)C
4238673,training set,0,0,0,0,0,FC(F)(F)c1cc(C(F)(F)F)cc(CN2C[C@]3(CC2)CN(CCC3)C(OC)=O)c1
4238674,training set,1,,0,0,,o1nc(c(-c2nc(NCc3ncc(nc3)C)c4c(n2)cccc4)c1C)C
4238675,training set,1,0,0,,,N1(c2cc(-c3ccccc3)ccc2)CCC4(CC1)CCNCC4
4238676,training set,,,0,0,,o1c(C(=O)N2CCC3(CC2)CCN(CC3)C(=O)Nc4ccccc4)ccc1
4238679,training set,1,,,,1,S(=O)(=O)(Nc1cc(-c2ncnc(NCc3sccc3)c2)ccc1)C
4238680,training set,,0,,0,1,O=C(N1C[C@@]2(CN(CC2)C(=O)Nc3ccc(OC)cc3)CCC1)c4ccc(OC)cc4
4238682,training set,0,0,0,1,,s1nnc(C(=O)N2CCC3(CN(CCC3)Cc4c(OC)cccc4)CC2)c1
4238683,training set,1,,0,0,,n1c(nccc1NC)-c2c(cccc2)C
4238684,training set,1,0,0,,1,O(c1c(CNc2ncnc(-c3cnccc3)c2)ccc(OC)c1)C
4238689,training set,0,,,0,,s1nnc(C(=O)N2CCC3(CC2)CCN(CC3)c4ccncc4)c1
4238690,training set,1,1,0,,1,O(c1cc(-c2c(ncnc2)NCc3cc(ccc3)C)ccc1)C
4238693,training set,0,0,0,0,,FC(F)(F)c1cc(C(=O)N2C[C@@]3(CN(CC3)c4ccccc4)CCC2)cc(c1)C(F)(F)F
4238695,training set,,,0,0,0,O(c1c(-c2nc(NC3CCNCC3)ccn2)cccc1)C
4238698,training set,,,1,,1,O=C(N1C[C@@]2(CN(c3cc(-c4ccccc4)ccc3)CC2)CCC1)c5ccncc5
4238699,training set,0,0,0,0,,O=C(N1CCC2(CC1)CCN(CC2)C(=O)Nc3ccc(OC)cc3)c4n(ccc4)C
4238702,training set,1,1,,1,1,O(c1cc(-c2nc(N(C)C)c3c(n2)cccc3)ccc1)C
4238703,training set,1,1,0,0,1,O(c1c(-c2cc3c(N4CCOCC4)ncnc3cc2)cccc1)C
4238704,training set,1,1,,1,1,Clc1c(-c2c(N(Cc3occc3)C)ncnc2)cccc1
4238706,training set,0,0,0,0,1,S(=O)(=O)(N1C[C@@]2(CN(CC2)c3ccncc3)CCC1)C
4238707,training set,1,,0,0,1,S(=O)(=O)(Nc1cc(-c2nc(NC3CC3)c4c(n2)cccc4)ccc1)C
4238708,training set,1,1,,1,1,O(c1cc2c(c[nH]c2cc1)CCNc3nc(nc4c3cccc4)-c5cc(ccc5)C#N)C
4238709,training set,1,,,,1,o1c(C(=O)N2C[C@@]3(CN(c4cc(-c5ccccc5)ccc4)CC3)CCC2)ccc1
4238710,training set,0,0,0,0,,o1c(C(=O)N2CCC3(CN(CCC3)Cc4ccccc4)CC2)ccc1
4238712,training set,,1,0,,,S(=O)(=O)(N1CCC2(CC1)CCN(CC2)C(=O)Nc3ccccc3)c4ccccc4
4238713,training set,1,1,0,,1,n1c(-n2cncc2)c3c(nc1-c4c(cccc4)C)cccc3
4238714,training set,1,,0,,1,n1c(nccc1NCc2ccccc2)-c3ccc(N(C)C)cc3
4238715,training set,1,,,,1,O1c2c(OC1)ccc(-c3ncnc(NCc4cnccc4)c3)c2
4238716,training set,1,,0,,,o1nc(c(-c2ncnc(NC3CC3)c2)c1C)C
4238717,training set,0,0,0,,0,O(C(=O)N1CCC2(CC1)CCN(CC2)CC(C)C)c3ccccc3
4238718,training set,,0,,,1,O(C(=O)N1C[C@@]2(CN(CC2)c3ccncc3)CCC1)C
4238719,training set,0,,0,,,O(C(=O)N1CCC2(CCN(CC2)c3ncccc3)CC1)C
4238720,training set,1,,0,1,,O(c1c(-c2nc(NCc3ccccc3)ccn2)cccc1)C
4238721,training set,0,,0,0,,O=C(N1CC2(CCN(CC2)C(=O)COC)CCC1)Nc3ccc(OC)cc3
4238723,training set,0,0,0,0,,S(=O)(=O)(N1CCC2(CN(C2)c3ncccn3)CC1)C
4238724,training set,0,0,0,1,,S(=O)(=O)(N1CCC2(CCN(C(c3ccccc3)c4ccccc4)CC2)CC1)C
4238725,training set,1,1,,,1,S(=O)(=O)(Nc1cc(-c2nc(Nc3ccncc3)c4c(n2)cccc4)ccc1)C
4238726,training set,1,1,0,,,O(c1c(CNc2ncnc(-c3c(cccc3)C)c2)cccc1)C
4238727,training set,1,1,1,1,1,Clc1c(-c2c(NCCc3c4c([nH]c3)ccc(OC)c4)ncnc2)cccc1
4238729,training set,,0,0,0,0,Clc1c(-c2nc(NC3CCNCC3)c4c(n2)cccc4)cccc1
4238730,training set,1,,0,1,1,O(c1c(CNc2ncnc(-c3cnccc3)c2)cccc1)C
4238733,training set,,,0,0,,O=C(N1C[C@@]2(CN(CC2)c3ncccc3)CCC1)c4n(ccc4)C
4238734,training set,1,,0,,1,O(c1cc(-c2cc3c(ncnc3NCc4ncc(nc4)C)cc2)ccc1)C
4238735,training set,,0,0,0,1,O=C(N1C[C@@]2(CN(CC2)c3ncccc3)CCC1)c4ccc(OC)cc4
4238737,training set,0,,0,,0,FC(F)(F)c1cc(C(=O)N2CCC3(CN(C3)Cc4ccc(cc4)C#N)CC2)cc(c1)C(F)(F)F
4238738,training set,0,0,0,0,0,O=C(N1CCC2(CN(c3ncccc3)CCC2)CC1)C
4238742,training set,,,0,0,,O(c1cc2c([nH]cc2CCNc3ncnc(-c4ccc(cc4)C(=O)N(C)C)c3)cc1)C
4238743,training set,1,,,,,FC(F)(F)c1c(-c2nc(NCc3cc(ccc3)C)ccn2)cccc1
4238744,training set,,,0,0,,O(c1cc(-c2cc3c(ncnc3NC4CCNCC4)cc2)ccc1)C
4238745,training set,1,0,0,0,1,o1nc(c(-c2c(-n3cncc3)ncnc2)c1C)C
4238746,training set,1,1,0,1,1,s1c(CNc2nc(ncc2)-c3c(cccc3)C)ccc1
4238747,training set,1,,0,1,1,O1c2c(OC1)ccc(-c3cc4c(ncnc4NCc5ncc(nc5)C)cc3)c2
4238748,training set,1,1,0,1,1,O(c1c(-c2nc(NCc3c(OC)cccc3)c4c(n2)cccc4)cccc1)C
4238749,training set,0,0,0,0,0,o1nc(c(C(=O)N2CCC3(CC2)CN(CCC3)Cc4ccc(cc4)C#N)c1C)C
4238752,training set,0,0,0,,,O=C(N1CCC2(CN(CCC2)Cc3ccccc3)CC1)c4ccc(OC)cc4
4238753,training set,1,0,0,,,N(c1ncncc1-c2c(cccc2)CN(C)C)C3CC3
4238755,training set,1,1,0,,1,n1c2c(c(nc1)NCc3ccccc3)cc(-c4ccc(N(C)C)cc4)cc2
4238756,training set,1,,0,,,O(c1cc(-c2cc3c(ncnc3NCCNC(=O)C)cc2)ccc1)C
4238757,training set,1,,0,,1,n1(-c2ncncc2-c3ccc(N(C)C)cc3)cncc1
4238759,training set,,0,0,0,0,o1cc(-c2ncnc(NCc3ncc(nc3)C)c2)cc1
4238760,training set,0,0,0,0,0,FC(F)(F)c1cc(CN2CC3(C2)CCN(C(=O)c4c(onc4C)C)CC3)cc(c1)C(F)(F)F
4238762,training set,0,0,0,0,0,o1nc(c(C(=O)N2CCC3(CN(C3)c4ncccc4)CC2)c1C)C
4238763,training set,0,0,0,0,0,o1c(C(=O)N2C[C@@]3(CN(CC3)C(=O)NC(C)C)CCC2)ccc1
4238764,training set,1,1,,1,1,o1cc(-c2c(NCCc3c4c([nH]c3)ccc(OC)c4)ncnc2)cc1
4238766,training set,,,0,,1,Clc1c(-c2c(ncnc2)NCCN3CCOCC3)cccc1
4238767,training set,1,0,0,0,1,o1nc(c(-c2nc(N3CCOCC3)c4c(n2)cccc4)c1C)C
4238768,training set,0,0,0,0,0,S(=O)(=O)(N1CCC2(CN(C2)C(=O)NC(C)C)CC1)c3ccccc3
4238770,training set,1,1,,1,,O(c1cc(-c2cc3c(ncnc3NCc4ccccc4)cc2)ccc1)C
4238771,training set,1,,0,0,,S(=O)(=O)(Nc1cc(-c2cc3c(ncnc3NC4CC4)cc2)ccc1)C
4238773,training set,1,0,0,,,o1cc(-c2cc3c(ncnc3NCc4ncc(nc4)C)cc2)cc1
4238774,training set,1,,0,,1,O1c2c(OC1)ccc(-c3nc(NCc4ncc(nc4)C)c5c(n3)cccc5)c2
4238775,training set,0,0,0,0,0,s1nnc(C(=O)N2CCC3(CC2)CCN(CC3)C(=O)NC(C)C)c1
4238776,training set,0,0,0,0,,Fc1cc(C(=O)N2CCC3(CC2)CCN(CC3)C(=O)Nc4cc(F)ccc4)ccc1
4238779,training set,0,0,0,0,0,O=C(N1CCC2(CC1)CCN(CC2)C(=O)COC)Nc3ccc(OC)cc3
4238780,training set,,1,,1,1,FC(F)(F)c1c(-c2c(ncnc2)NCCc3[nH]cnc3)cccc1
4238781,training set,,1,1,,,S(=O)(=O)(N1CCC2(CC1)CCN(CC2)c3ccncc3)c4ccccc4
4238783,training set,0,0,0,0,0,O(C(=O)N1C[C@@]2(CN(CC2)c3ncccn3)CCC1)C
4238784,training set,1,0,0,0,1,n1(-c2nc(nc3c2cccc3)-c4cnccc4)cncc1
4238785,training set,1,1,,1,1,n1c(-n2cncc2)c3c(nc1-c4ccc(N(C)C)cc4)cccc3
4238786,training set,1,1,,,1,o1nc(c(-c2nc(NCc3c(OC)cccc3)ccn2)c1C)C
4238788,training set,0,1,,0,0,s1nnc(C(=O)N2CCC3(CN(C3)c4ccncc4)CC2)c1
4238789,training set,,0,0,0,,O=C(N(C)C)c1ccc(-c2nc(NCc3ncc(nc3)C)c4c(n2)cccc4)cc1
4238791,training set,1,1,,,1,n1c(NCCc2[nH]cnc2)c(-c3cc(ccc3)C#N)cnc1
4238792,training set,,,,,0,O(C(=O)N1C[C@@]2(CN(CC2)c3ncccc3)CCC1)C
4238793,training set,0,0,1,0,0,FC(F)(F)c1cc(C(=O)N2CCC3(CN(C3)c4ccncc4)CC2)cc(c1)C(F)(F)F
4238794,training set,0,0,0,0,,s1nnc(C(=O)N2C[C@@]3(CN(CC3)C(=O)NC(C)C)CCC2)c1
4238795,training set,1,1,0,,,FC(F)(F)c1c(-c2ncnc(NCc3ccccc3)c2)cccc1
4238796,training set,1,1,0,,1,O(c1c(-c2nc(-n3cncc3)ccn2)cccc1)C
4238797,training set,1,0,0,0,,Clc1c(-c2ncnc(NCc3ncc(nc3)C)c2)cccc1
4238799,training set,,0,0,,0,n1c(-c2c(cccc2)CN(C)C)cc(nc1)NCc3ncc(nc3)C
4238800,training set,1,,0,,,FC(F)(F)c1c(-c2nc(N(Cc3occc3)C)c4c(n2)cccc4)cccc1
4238801,training set,0,0,0,,0,O(c1c(CN2CC3(CCC2)CCNCC3)cccc1)C
4238802,training set,0,0,0,1,0,Fc1cc(C(=O)N2CCC3(CN(C3)Cc4c(OC)cccc4)CC2)ccc1
4238803,training set,1,0,0,0,1,O=C(NCCNc1nc(nc2c1cccc2)-c3cnccc3)C
4238805,training set,,0,0,,,O=C(N1CCC2(CN(C2)C(c3ccccc3)c4ccccc4)CC1)c5nccnc5
4238806,training set,1,,,,1,o1nc(c(-c2nc(NCc3c(OC)cccc3)c4c(n2)cccc4)c1C)C
4238807,training set,1,0,0,0,0,FC(F)(F)c1c(-c2nc(N3CCNCC3)c4c(n2)cccc4)cccc1
4238808,training set,1,1,,,1,s1c(CNc2ncnc3c2cc(-c4cc(ccc4)C#N)cc3)ccc1
4238809,training set,0,0,0,0,,S(=O)(=O)(N1CCC2(CN(C2)C(=O)Nc3cc(ccc3)C#N)CC1)C
4238810,training set,1,1,0,,1,O(c1cc(-c2nc3c(c(n2)NCc4cnccc4)cccc3)ccc1)C
4238811,training set,1,1,,,,O(c1c(CNc2nc(nc3c2cccc3)-c4ccc(N(C)C)cc4)ccc(OC)c1)C
4238812,training set,0,0,0,1,0,Fc1cc(C(=O)N2CCC3(CC2)CCN(CC3)Cc4c(OC)cccc4)ccc1
4238813,training set,1,0,0,0,0,N1(c2ncnc(-c3c(cccc3)C)c2)CCN(CC1)C
4238814,training set,1,1,1,1,1,O(c1cc2c([nH]cc2CCNc3nc(ncc3)-c4cc(OC)ccc4)cc1)C
4238816,training set,1,1,,1,1,O(c1cc2c([nH]cc2CCNc3nc(ncc3)-c4cnccc4)cc1)C
4238819,training set,,0,0,1,,FC(F)(F)c1c(-c2nc3c(c(n2)NCCNC(=O)C)cccc3)cccc1
4238823,training set,1,1,0,,,O(c1c(CNc2nc(ncc2)-c3cc(ccc3)C#N)cccc1)C
4238825,training set,0,0,0,,,o1c(C(=O)N2C[C@@]3(CN(CC3)Cc4ccc(cc4)C#N)CCC2)ccc1
4238826,training set,1,0,0,0,,O(c1c(-c2nc(N3CCN(CC3)C)c4c(n2)cccc4)cccc1)C
4238827,training set,1,,0,,0,o1c(CN(c2nc(ncc2)-c3ccc(cc3)C(=O)N(C)C)C)ccc1
4238828,training set,1,,,0,1,Fc1cc(NC(=O)N2CC3(CCN(C(=O)c4occc4)CC3)CCC2)ccc1
4238829,training set,1,,0,,1,S(=O)(=O)(Nc1cc(-c2cc3c(ncnc3NC)cc2)ccc1)C
4238830,training set,1,1,0,,1,FC(F)(F)c1c(-c2nc(NCCc3c4c([nH]c3)ccc(OC)c4)ccn2)cccc1
4238831,training set,0,0,0,0,0,O(C(=O)N1CCC2(CN(C2)c3ccncc3)CC1)C
4238832,training set,1,0,0,1,,O(c1c(-c2nc(N(C)C)c3c(n2)cccc3)cccc1)C
4238833,training set,0,0,0,1,0,O=C(N1C[C@@]2(CN(CC2)Cc3c(OC)cccc3)CCC1)COC
4238834,training set,,0,0,1,1,O(C(=O)N1C[C@@]2(CN(CC2)Cc3ccc(cc3)C#N)CCC1)c4ccccc4
4238835,training set,1,1,,,0,O(c1c(-c2ncnc(NCc3ccccc3)c2)cccc1)C
4238837,training set,1,1,0,,,Clc1c(-c2ncnc(NCc3c(OC)cccc3)c2)cccc1
4238838,training set,,0,,0,,O=C(N(C)C)c1ccc(-c2cc3c(ncnc3N(C)C)cc2)cc1
4238839,training set,0,0,0,1,,S(=O)(=O)(N1CCC2(CC1)CN(CCC2)C(=O)NC(C)C)c3ccccc3
4238840,training set,,,,0,0,S(=O)(=O)(N1CCC2(CN(C2)c3ccc(cc3)-c4ccccc4)CC1)C
4238841,training set,0,0,0,1,,O=C(N1C[C@@]2(CN(CC2)Cc3ccccc3)CCC1)COC
4238842,training set,1,0,,,1,n1c2c(c(nc1)N(C)C)cc(-c3cnccc3)cc2
4238843,training set,1,1,,0,1,S(=O)(=O)(N1C[C@@]2(CN(CC2)c3ccccc3)CCC1)c4ccccc4
4238844,training set,,0,0,,1,FC(F)(F)c1c(-c2nc3c(c(n2)NCCN4CCOCC4)cccc3)cccc1
4238845,training set,0,0,0,0,1,O(C(=O)N1C[C@@]2(CN(CC2)c3ccccc3)CCC1)c4ccccc4
4238846,training set,0,0,0,0,0,FC(F)(F)c1cc(C(F)(F)F)cc(CN2CC3(C2)CCNCC3)c1
4238848,training set,1,1,0,1,,o1cc(-c2cc3c(N(Cc4occc4)C)ncnc3cc2)cc1
4238849,training set,0,0,0,0,0,O=C(N1CCC2(CN(C2)Cc3ccc(cc3)C#N)CC1)c4n(ccc4)C
4238850,training set,1,1,0,1,,s1c(CNc2nc(ncc2)-c3ccc(N(C)C)cc3)ccc1
4238852,training set,1,1,0,1,1,O(c1cc(-c2nc(NCc3ccccc3)ccn2)ccc1)C
4238853,training set,1,1,0,1,1,O1c2c(OC1)ccc(-c3ncnc(-n4cncc4)c3)c2
4238855,training set,1,,0,,,O=C(NCCNc1ncnc2c1cc(-c3c(cccc3)C)cc2)C
4238856,training set,0,1,1,0,0,S(=O)(=O)(N1CCC2(CN(c3ccncc3)CCC2)CC1)C
4238857,training set,1,1,,1,1,O(c1cc2c([nH]cc2CCNc3ncncc3-c4cc(OC)ccc4)cc1)C
4238858,training set,1,,0,,,o1nc(c(-c2ncnc(NCc3c(OC)cccc3)c2)c1C)C
4238859,training set,1,0,0,,1,s1c(CNc2ncncc2-c3cnccc3)ccc1
4238860,training set,1,1,0,,,o1nc(c(-c2nc3c(c(n2)NCc4ccccc4)cccc3)c1C)C
4238861,training set,0,0,0,0,,O=C(N1C[C@@]2(CN(CC2)C(=O)Nc3cc(ccc3)C#N)CCC1)c4n(ccc4)C
4238862,training set,0,0,,1,1,S(=O)(=O)(N1C[C@@]2(CN(C(c3ccccc3)c4ccccc4)CC2)CCC1)c5ccccc5
4238864,training set,,,0,,1,FC(F)(F)c1c(-c2cc3c(N4CCN(CC4)C)ncnc3cc2)cccc1
4238865,training set,1,1,,,1,O1c2c(OC1)ccc(-c3nc(NCc4c(OC)cc(OC)cc4)c5c(n3)cccc5)c2
4238866,training set,0,0,0,1,1,S(=O)(=O)(N1CCC2(CN(C(c3ccccc3)c4ccccc4)CCC2)CC1)c5ccccc5
4238867,training set,1,0,0,0,,o1nc(c(-c2nc(N3CCNCC3)c4c(n2)cccc4)c1C)C
4238868,training set,0,0,0,0,0,O=C(N1CC2(C1)CCN(CC2)C(=O)c3ccc(OC)cc3)NC(C)C
4238869,training set,,1,,,,O(C(=O)N1CCC2(CN(c3ncccc3)CCC2)CC1)c4ccccc4
4238871,training set,1,,0,,1,S(=O)(=O)(Nc1cc(-c2nc(N(Cc3occc3)C)ccn2)ccc1)C
4238875,training set,1,1,,1,1,n1c(NCc2cc(ccc2)C)c(-c3c(cccc3)C)cnc1
4238876,training set,0,0,0,,,Fc1cc(C(=O)N2CCC3(CC2)CN(CCC3)CC(C)C)ccc1
4238877,training set,1,0,0,0,1,S(=O)(=O)(Nc1cc(-c2nc3c(c(n2)NC)cccc3)ccc1)C
4238878,training set,1,1,,1,1,s1c(CNc2nc(nc3c2cccc3)-c4cc5OCOc5cc4)ccc1
4238879,training set,,1,1,0,,O=C(N1CCC2(CN(c3cc(-c4ccccc4)ccc3)CCC2)CC1)c5ccc(OC)cc5
4238882,training set,1,1,0,1,1,O(c1c(CNc2nc(ncc2)-c3cnccc3)ccc(OC)c1)C
4238884,training set,0,0,0,0,1,O=C(N1C[C@@]2(CN(CC2)c3ccncc3)CCC1)c4ccc(OC)cc4
4238886,training set,,0,0,0,0,O=C(N1CCC2(CCN(c3cc(-c4ccccc4)ccc3)CC2)CC1)c5ccc(OC)cc5
4238888,training set,1,1,,1,1,S(=O)(=O)(Nc1cc(-c2cc3c(ncnc3NCc4sccc4)cc2)ccc1)C
4238889,training set,0,0,0,0,,O=C(N1CCC2(CC1)CCN(CC2)C(=O)Nc3ccccc3)c4ccncc4
4238891,training set,1,1,,1,1,O(c1c(CNc2ncncc2-c3ccc(N(C)C)cc3)cccc1)C
4238893,training set,1,,0,1,,n1(-c2ncnc(-c3c(cccc3)CN(C)C)c2)cncc1
4238894,training set,0,0,0,0,,s1nnc(C(=O)N2C[C@@]3(CN(CC3)C(=O)Nc4ccc(OC)cc4)CCC2)c1
4238895,training set,1,,0,,1,n1(-c2ncnc(c2)-c3cnccc3)cncc1
4238896,training set,0,0,0,0,,O=C(N1CCC2(CCN(c3ccc(cc3)-c4ccccc4)CC2)CC1)c5ccncc5
4238898,training set,0,0,,,,O=C(N1CCC2(CC1)CCN(CC2)Cc3ccncc3)c4ccncc4
4238899,training set,1,,0,,,s1c(CNc2ncnc(-c3c(OC)cccc3)c2)ccc1
4238900,training set,1,1,0,,1,S(=O)(=O)(Nc1cc(-c2cc3c(ncnc3Nc4ccccc4)cc2)ccc1)C
4238902,training set,1,1,0,0,,n1c2c(c(nc1)NCc3cnccc3)cc(-c4c(cccc4)C#N)cc2
4238904,training set,0,0,,,,s1c(ncc1)CN2C[C@@]3(CN(C(=O)c4n(ccc4)C)CCC3)CC2
4238905,training set,0,0,,0,0,FC(F)(F)c1cc(C(=O)N2CCC3(CC2)CCN(CC3)c4ncccn4)cc(c1)C(F)(F)F
4238908,training set,0,0,0,1,,s1c(ncc1)CN2CC3(CCN(C(=O)c4ccc(OC)cc4)CC3)CCC2
4238909,training set,1,,0,0,1,Fc1ccc(Nc2nc(nc3c2cccc3)-c4cnccc4)cc1
4238910,training set,1,,0,0,0,n1c2c(c(nc1)NC3CCNCC3)cc(-c4cc(ccc4)C#N)cc2
4238911,training set,,0,0,1,,O(c1c(CNc2nc(ncc2)-c3c(cccc3)CN(C)C)ccc(OC)c1)C
4238912,training set,1,1,0,,1,Clc1c(-c2cc3c(ncnc3NCc4ncc(nc4)C)cc2)cccc1
4238913,training set,0,0,0,0,,O=C(N1CCC2(CC1)CCN(CC2)c3ccccc3)c4nccnc4
4238915,training set,1,,,,,o1c(CN(c2nc(nc3c2cccc3)-c4ccc(N(C)C)cc4)C)ccc1
4238916,training set,,1,0,0,0,FC(F)(F)c1c(-c2ncnc(N3CCN(CC3)C)c2)cccc1
4238917,training set,,0,0,0,,O=C(N1CCC2(CN(CCC2)Cc3ccc(cc3)C#N)CC1)c4n(ccc4)C
4238920,training set,,0,1,1,,O=C(N1CCC2(CN(C2)C(c3ccccc3)c4ccccc4)CC1)c5ccncc5
