Name,CAS #,smiles,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
"Methoxypsoralen,8-",298-81-7,COc1c2c(ccc(=O)o2)cc3c1occ3,0.61,12.0,0.09,0.88,,"Billard, Valerie; Gambus, Pedrol L.; Barr, Juliana; Minto, Charles F.; Corash, Laurence; Tessman, John W.; Stickney, Janice L.; Shafer, Steven L. The pharmacokinetics of 8-methoxypsoralen following i.v. administration in humans Br. J. Clin. Pharmacol. 1995, 40, 347-360.","8-MOP. Oxsoralen. 9-Methoxy-7H-furo(3,2-g)(1)benzopyran-7-one. N=18, 79.8 kg average weight. Data averaged across all subjets and 3 doses, 5, 10 and 15 mg by authors.no t 1/2 reported. Ppb taken from reference cited in this work.",,1911,216.19,4,0,53.2,1,neutral,2.1,2.1
Piroximone,84490-12-0,c1(c([nH]c([nH]1)=O)CC)C(c1ccncc1)=O,0.65,9.03,,1.2,1.32,"J. P. FAUVEL, N. BERNARD, M. LAVILLE, N. POZET, J. SASSARD, P. Y. ZECH. Pharmacokinetics of piroximone after oral and intravenous administration to patients with renal insufficiency. Br J clin Pharmac 1995; 39: 187-189.","0.5 mg administered over 10'. 70 kg average weight assumed, 7 healthy subjects.",,1982,217.22,5,2,78.6,3,neutral,0.041,0.041
Propionyl-L-carnitine,20064-19-1,CCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,0.3,2.33,,2.15,1.28,"S. Pace, A. Longo,S. Toon, P. Rolan, A. M. Evans. Pharmacokinetics of propionyl-L-carnitine in humans: evidence for saturable tubular reabsorption. Br J Clin Pharmacol, 2000 50, 441-448.",Data digitized from plot. 1 g dose. 70 kg assumed as average weight. Very linear AUC. N=4,,1968,217.26,5,0,66.4,7,anionic,-3.7,-3.1
Captopril,62571-86-2,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,0.75,12.0,0.73,1.0,2.0,"Duchin KL, Singhvi SM, Willard DA, Migdalof BH, McKinstry DM (1982)  Captopril kinetics. Clin. Pharmacol. Ther. 31: 452-458.  Creasy WA, Morrison RA, Singhvi SM, and Willard DA (1988) Pharmacokinetics of intravenous captopril in healthy men.  Eur. J. Clin. Pharmacol. 35: 367-370.",Combined data from Creasy and Duchin papers.  Note that protein binding also has S-S bond component.,,1977,217.29,4,1,57.6,3,anionic,0.97,-2.2
Meprobamate,57-53-4,CCCC(C)(COC(=O)N)COC(=O)N,0.7,0.6,1.0,19.0,14.0,"Held H and Oldershausen HF (1969) Zur pharmakokinetik von meprobamat bei chronischen hepatopathien und arzneimittelsucht. Klin. Wschr. 47: 78-80.  Douglas JF, Bradshaw WH, Ludwig BJ, and Powers D (1964) Interaction of plasma protein with related 1,3-propanediol dicarbamates.  Biochem. Pharmacol. 13: 537-539.",Pharmacokinetic parameters were calculated from C vs t data obtained by digitization of the plot provided in the reference.,,1951,218.25,6,2,104.6,8,neutral,0.91,0.91
Ornidazole,16773-42-5,"n1(c(cnc1C)[N+](=O)[O-])C[C@@H](CCl)O
",1.16,1.08,0.88,18.1,12.0,"Tolerability,Safety and Pharmacokinetics of ( S) -Ornidazole in Ascending Dose Study in Healthy Chinese Volunteers. ZHAO Ya-nan，WU Pei，SUN Hua，YANG Jing-jing,GUO Yi-yun，LIU Xiao-quan. Chin. Pharm. J. 2011, 46, 454-457. ppb: Schwartz DE, Jeunet F. Comparative pharmacokinetic studies of ornidazole and metronidazole in man. Chemotherapy, 1979, 22, 19-29.","S-enantiomer. 3 doses N=10 each, 500, 1000 and 1500 mg total dose. likely 1 hr infusion. Reported clearance likely to be in L/h. Cheched via cross-calculations of dose/auc and t1/2.",,1966,219.63,6,1,81.2,4,neutral,0.23,0.22
L-5-hydroxytryptophan,4350-09-8,c1cc2c(cc1O)c(c[nH]2)C[C@@H](C(=O)O)N,0.8,1.72,,7.75,6.14,"Magnussen, I.; Nielsen-Kudsk, F. Pharmacokinetics of intravenously administered L-5-hydroxytryptophan in man. Acta Pharmacologica et Toxicologica (1979), 44(4), 308-14.","Oxyfan. Oxitriptan. CAS number and structure referring to L form. DL form reported with CAS # 56-69-9. N=5, 0.2 mg/kg, 67 kg average weight. VDss calculated from Vc and k12,k21. MRT from VDss and clearance. Clearance reported as 105.5 mL.min-1.kg-1 but ACTUAL value (dose of 0.98 umol/kg over AUC) shows a value of 1.72. reported value likely to be in mL.h-1.kg-1.",,1954,220.22,5,4,99.3,3,zwitterionic,0.033,-1.6
Eltoprazine,98224-03-4,O1c2cccc(c2OCC1)N1CCNCC1,3.6,8.0,,10.5,8.2,"van Harten J, Mathlener IS, Raghoebar M. Pharmacokinetics of eltoprazine in healthy subjects. Drug Metabol Drug Interact. 1990;8(1-2):149-58.",N=20-22 (depending on data) across two doses of 3 and 8 mg. 1h infusion,,1985,220.27,4,1,33.7,1,cationic,0.93,-0.46
Prilocaine,721-50-6,CCCNC(C)C(=O)Nc1ccccc1C,3.7,29.0,0.72,2.2,1.8,"van der Meer AD, Blum AGL, Stienstra R, van Kleef JW, Vletter AA, and Olieman W (1999) Pharmacokinetics of prilocaine after intravenous administration in volunteers: enantioselectivity.  Aneasthesiol. 90: 988-992.",Data for individual stereoisomers were averaged.,,1946,220.31,3,2,41.1,5,cationic,2.0,1.2
Tapentadol,175591-23-8,c1cc(cc(c1)[C@@H]([C@@H](C)CN(C)C)CC)O,4.64,21.33,,3.62,2.39,"Göhler K ,  Brett M ,  Smit JW ,  Rengelshausen J ,  Terlinden R. Comparative pharmacokinetics and bioavailability of tapentadol following oral administration of immediate- and prolonged-release formulations. Int. J. Clin. Pharmacol. Ther. 2013, 51,338-348.","N=24,  34 mg iv dose as a 15 minutes infusion. Average weight assumed to be 70 kg. Data digitized from plot reported and PK parameters calculated via PKSolver. AUC0-inf reported essentially identical to AUCinf calculated: 379 ng.h.mL. reported t 1/2 =  4.09 h. ",,1996,221.34,2,1,23.5,5,cationic,3.6,1.8
Acetazolamide,59-66-5,CC(=O)Nc1nnc(s1)S(=O)(=O)N,0.37,0.65,0.04,9.5,13.0,"Chapron DJ, Sweeney KR, Feig PU, and Kramer PA (1985) Influence of advanced age on the disposition of acetazolamide.  Br. J. Clin. Pharmacol. 19: 363-371.",VDss and t1/2 were calculated from C vs t data obtained by digitization of plots included in the reference.,,1950,222.25,7,2,115.0,2,neutral,-1.5,-1.6
Buthionine sulfoximine,5072-26-4,C([S@@](CCCC)(=N)=O)C[C@@H](C(O)=O)N,0.26,2.28,,1.9,1.68,"Phase I Trial of Buthionine Sulfoximine in Combination With Melphalan in Patients With Cancer. Peter J. O'Dwyer, Thomas C. Hamilton, Frank P. LaCreta, James M. Gallo, Deborah Kilpatrick, Theresa Halbherr, James Brennan, Michael A. Bookman, John Hoffman, Robert C. Young, Robert L. Comis, and Robert F. Ozols. J. Clin. Oncol. 1996,14:249-256.","BRN 2367136,  NSC 326231, NSC 381100. Data weight-averaged from table 5 across both R/S isomers. MRT calculated from VDss and clearance. 70 kg assumed, N=23 total, 5-17 g/m2 dose.
",,1960,222.31,5,3,104.2,7,zwitterionic,-0.19,-2.5
SarCNU,81965-43-7,CN(CC(=O)N)C(=O)N(CCCl)N=O,0.76,9.0,,1.4,1.0,"Panasci L, Stinson SF, Melnychuk D, Sandor V, Miller WH, Batist G, Patenaudr F, Bangash N, Panarello L, Alaoui-Jamali M, and Sausville E (2003) SarCNU, a nitosourea analog on a day 1, 5, and 9 oral schedule: a phase I and pharmacokinetic study in patients with advanced solid tumors.  J. Clin. Oncol. 21: 232-240.",VDss was calculated using C vs t data obtained by digitization of the plot provided in the reference.,,1982,222.63,7,1,96.1,5,neutral,-0.4,-0.4
Neostigmine,59-99-4,CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,0.74,9.2,,1.3,1.3,"Morris RB, Cronnelly R, Miller RD, Stanski DR, and Fahey MR (1981) Pharmacokinetics of edrophonium and neostigmine when antagonizing d-tubocurarine neuromuscular blockade in man.  Anesthesiol. 54: 399-402.",,,1932,223.29,4,0,29.5,3,neutral,-3.1,-3.1
Stavudine,3056-17-5,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,0.67,8.2,1.0,1.4,1.4,"Dudley MN, Graham KK, Kaul S, Geletko S, Dunkle L, Browne M, and Mayer K (1992) Pharmacokinetics of stavudine in patients with AIDS or AIDS-related complex.  J. Infec. Dis. 166: 480-485.  Horton CM, Dudley MN, Kaul S, Mayer KH, Squires K, Dunkle L, and Anderson R (1995) Population pharmacokinetics of stavudine (d4T) in patients with AIDS or advanced AIDS-related complex.  Antimic. Agents Chemother. 39: 2309-2315.  Zerit XR Product Label.",,,1964,224.21,6,2,78.9,2,neutral,-0.71,-0.71
Acyclovir,59277-89-3,NC1=Nc2c(ncn2COCCO)C(=O)N1,0.71,4.7,0.85,2.5,2.5,De Miranda P and Blum MR (1983) Pharmacokinetics of acyclovir after intravenous and oral administration.  J. Antimic. Chemother. 12(Suppl B): 29-37.,,,1976,225.2,8,3,114.8,4,neutral,-1.7,-1.8
Prenalterol,57526-81-5,c1(ccc(O)cc1)OC[C@H](CNC(C)C)O,4.28,22.1,,3.23,2.85,"Clarke, A. F.; Jack, D. B.; Kendall, M. J.; Smith, S. R.  The pharmacokinetics of oral and intravenous prenalterol in young, healthy volunteers.    Biopharmaceutics & Drug Disposition  (1986),  7(1),  47-52.  ",5 mg dose. Data digitized. 71.3 kg reported average weight. N=10. ratio AUC digit/rep = 1.13,,1975,225.28,4,3,61.7,6,cationic,1.2,-0.55
Terbutaline,23031-25-6,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,1.5,3.4,0.75,7.4,15.0,"Borgstrom L, Nyberg L, Jonsson S, Lindberg C, and Paulson J (1989) Pharmacokinetic evaluation in man of terbutaline given as separate enantiomers and as the racemate.  Br. J. Clin. Pharmacol. 27: 49-56.  Nyberg L (1984) Pharmacokinetic parameters of terbutaline in healthy man.  An overview.  Eur. J. Resp. Dis. 65(Suppl 134) 149-160.  Leferink JG, van den Berg W, Wagemaker-Engels I, Kreukniet J, and Maes RAA (1982) Pharmacokinetics of terbutaline, a beta2-sympathomimetic, in healthy volunteers and asthmatic patients.  Arz. Forsch. 32: 159-164.",Cited terminal phase t1/2.  Data are for the racemate.,,1969,225.28,4,4,72.7,3,cationic,0.93,-0.41
Pentobarbital,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.91,0.47,0.39,32.0,22.0,"Ehrenbo M (1974) Pharmacokinetics and distribution properties of pentobarbital in humans following oral and intravenous administration.  J. Pharm. Sci. 63: 1114-1118.  Bayliff CD, Schwartz ML, and Hardy BG (1985) Pharmacokinetics of high-dose pentobarbital in severe head trauma.    Clin. Pharmacol. Ther. 38: 457-461.  Ehrnebo M and Odar-Cederlof I (1975) Binding of amobarbital, pentobarbital and diphenylhydantoin to blood cells and plasma proteins in healthy volunteers and uraemic patients.  Eur. J. Clin. Pharmacol. 8: 445-453.",VDss calculated using micro rate constants reported in the reference by Ehrenbo.,,1926,226.27,5,2,75.3,4,neutral,2.0,1.9
Nitroglycerin,55-63-0,C(CO[N+](=O)[O-])(CO[N+](=O)[O-])O[N+](=O)[O-],,194.3,0.4,,4.5,"Nitroglycerin - FDA Approval Package
Clinical Pharmacology and Biopharmaceutics Review 021359/S-000. Accessed through Pharmapendium.","70 kg assumed. Vd reported as 3 L/kg, but without label. Likely to be VDz. T1/2 ranged from 1.5 to 7.5 minutes. Median point taken.",,1946,227.09,12,0,157.1,8,neutral,1.7,1.7
Decitabine,2353-33-5,NC1=NC(=O)N(C=N1)[C@H]2C[C@H](O)[C@@H](CO)O2,4.6,130.0,1.0,0.59,0.58,"van Groeningen CJ, Leyva A, O'Brien AMP, Gall HE, and Pinedo HM (1986) Phase I and pharmacokinetic study of 5-aza-2'-deoxycytidine (NSC 127716) in cancer patients.  Cancer Res. 46: 4831-4836.  Dacogen Product Label.",NSC 127716,,1964,228.21,8,3,120.7,2,neutral,-2.0,-2.0
"fluorodideoxycytidine, 2- (2FddC)",119555-47-4,c1cn(c(=O)nc1N)[C@H]2[C@H](C[C@H](O2)CO)F,0.7,6.1,1.0,1.9,1.8,"Williams, P. E. O.; Muirhead, G. J.; Sereni, D.; Rousseau, F. S.; Edelman, K.; Hooker, M. Pharmacokinetics of 2-​fluorodideoxycytidine (2FddC) in patients infected with human immunodeficiency virus. British Journal of Clinical Pharmacology (1993), 35(3), 255-260","N=28, abg BW= 67kg. Dose = 0.03, 0.1 and 0.3 mg/kg. Average PK of digitized profiles of the highest three doses shown in Figure 1. Average of data reported in Table 2: CL = 5.7 mL/min/kg (23.1 L/h), term. t1/2 1.9h",,1988,229.21,6,2,90.4,2,neutral,-1.2,-1.2
(-)dOTC,160707-69-7,c1cn(c(=O)nc1N)[C@H]2CO[C@H](S2)CO,1.18,3.0,,6.5,19.2,"PATRICK F. SMITH, ALAN FORREST, CHARLES H. BALLOW, DAVID E. MARTIN,AND LOUISE PROULX. Absolute Bioavailability and Disposition of (-) and (+) 2'-Deoxy-3'-Oxa-4'-Thiocytidine (dOTC) following Single Intravenousand Oral Doses of Racemic dOTC in Humans. ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,2000, 44,1609–1615.",Dosed as 100 mg of racemate. (-) form called apricitabine or (-) BCH10652. Data for (+) form reported as well. MRT from VDss and clearance. ,,1994,229.26,6,2,90.4,2,neutral,-1.9,-1.9
(+)dOTC,160707-68-6,c1cn(c(=O)nc1N)[C@@H]2CO[C@@H](S2)CO,0.84,3.9,,3.6,8.92,"PATRICK F. SMITH, ALAN FORREST, CHARLES H. BALLOW, DAVID E. MARTIN,AND LOUISE PROULX. Absolute Bioavailability and Disposition of (-) and (+) 2'-Deoxy-3'-Oxa-4'-Thiocytidine (dOTC) following Single Intravenousand Oral Doses of Racemic dOTC in Humans. ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,
2000, 44,1609–1615.",Dosed as 100 mg of racemate. (-) form called apricitabine or (-) BCH10652. The (+) form is called (+)-BCH 10652; (+)-DOTC; BCH 10619. Data for (-) form reported as well. MRT from VDss and clearance. ,,1994,229.26,6,2,90.4,2,neutral,-1.9,-1.9
Lamivudine,134678-17-4,NC1=NC(=O)N(C=C1)[C@@H]2CS[C@H](CO)O2,1.3,4.8,0.94,4.4,9.1,"Yuen GJ, Morris DM, Mydlow PK, Haidar S, Hall ST, and Hussey EK (1995) Pharmacokinetics, absolute bioavailability, and absorption characteristics of lamivudine. J. Clin. Pharmacol. 35: 1174-1180.  Takubo T, Hirayama S, Moriya T, Minamide Y, Kato T, Nakamura R, and Kinami J (1997) Studies on the metabolic fate of lamivudine (II): tissue distribution, transfer into fetus and milk, plasma protein binding and distribution to erythrocytes of lamivudine in rats.  Yakubutsu Dotai 12: 92-101.",,,1991,229.26,6,2,88.1,2,neutral,-1.0,-1.0
Clonidine,4205-90-7,Clc1cccc(Cl)c1NC2=NCCN2,3.3,4.0,0.56,14.0,7.6,"Vanholder R, Van Landschoot N, De Smet R, Schoots A, and Ringoir S (1988) Drug protein binding in chronic renal failure: evaluation of nine drugs.  Kidney Int. 33: 996-1004.  Frisk-Holmberg M, Paalzow L, and Edlund PO (1981) Clonidine kinetics in man-evidence for dose dependency and changed pharmacokinetics during chronic therapy.  Br. J. Clin. Pharmacol. 12: 653-658.",Used 1.27 mg/kg dose level data from Frisk-Holmberg et al.  VDss calculated from reported exponential fit parameters.,,1971,230.09,3,2,36.4,2,cationic,2.0,0.84
Naproxen,22204-53-1,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,0.09,0.07,0.002,19.78,16.63,"M.V. Calvo, J.V. Lanao, A. Dominguez-Gil. Bioavailability of rectally administered naproxen. In. J. Pharm. 1987, 38, 117-122.//ppb: R. A. UPTON, R. L. WILLIAMS, J. KELLY  R. M. JONES Naproxen pharmacokinetics in the elderly. Br. J. Clin. Pharmacol. 1984, 18, 207-217.","Data digitized from plot 250 mg dose, N=8 and 63.3 kg average weight reported. Vdarea 7.14 L. Reported AUCinf = 842 ug.hr.mL-1, calculated 813 842 ug.hr.mL-1. PDR reports > 99% bound to plasma proteins.  ppb data from Upton et al. taken from young subjects. Determined at peak plasma at day 9 and not sttistically different than trough. Larger (2-fold) fu in elderly subjects at both peak and trough plasma level on day 9.",,1963,230.26,3,1,46.5,3,anionic,2.9,0.023
Sardomozide,149400-88-4,c12c(C(=N)N)cccc1\C(=N\NC(=N)N)CC2,20.0,3.2,,104.1,65.4,"A Phase I and Pharmacokinetic Study of SAM486A, a Novel Polyamine Biosynthesis Inhibitor, Administered on a Dailytimes-five every-three-week Schedule in Patients with Advanced Solid Malignancies. Lillian L. Siu, Eric K. Rowinsky, Lisa A. Hammond, Geoffrey R. Weiss,Manuel Hidalgo, Gary M. Clark, Judy Moczygemba, Les Choi, Ron Linnartz, Nicholas C. Barbet, Ivo T. Sklenar, Renaud Capdeville, Gregory Gan, Carl W. Porter, Daniel D. Von Hoff, and S. Gail Eckhardt. Clin. Cancer Res. 2002, 8, 2157–2166. ",SAM486A or CGP48664.  Weighted average across several doses (3.6 to 202.8 mg/m2/day) and 18 patients. Total VDss calculated 811 L/m2 for 18 patients. Clearance 7.75 L/h/m2. 1.73m2/70 factor used.  T1/2 on 19 patients. MRT = VDss/Cl. Highly variable PK. ,,1993,230.27,6,5,124.1,3,cationic,-0.14,-5.0
Diazoxide,364-98-7,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,0.21,0.06,0.06,58.0,48.0,"Oglivie RI, Nadeau JH, and Sitar DS (1982) Diazoxide concentration-response relation in hypertension. Hypertension 4: 167-173.   Kirsten R, Nelson K, Kirsten D, and Heintz B (!988) Clinical  pharmacokinetics  of vasodilators. Part I.  Clin. Pharmacokinet. 34: 457-482.  ",,,1961,230.67,4,1,58.5,0,neutral,1.2,1.2
Dexfenfluramine,3239-44-9,CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F,11.0,11.0,0.66,18.0,14.0,"Cheymol G, Weissenburger J., Poirier JM, Gellee C. (1995) The pharmacokinetics of dexfenfluramine in obese and non-obese subjects.  Br. J. Clin. Pharmacol. 39: 684-687.  De la Torre R, Farre M, Navarro M, Pacifici R,  Zuccaro P, and Pichini S (2004) Clinical pharmacokinetics of amfetamine and related substances: monitoring in conventional and non-conventional matrices.  Clin. Pharmacokinet. 43: 157-185.",(S)-Fenfluramine.  It was also reported as fenfluramine (data referring to d-fenfluramine = (S)-fenfluramine) from: FDA Approval package. 1996-Apr-29  PDF(6817k) Approval Package 020344 Part 04. Data very similar to those extracted by reference cited.,,1958,231.26,1,1,12.0,4,cationic,3.5,1.7
Phenobarbital,50-06-6,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,0.54,0.063,0.49,140.0,99.0,"Wilensky AJ, Friel PN, Levy RH, Confort CP, and Kaluzny SP (1982) Kinetics of phenobarbital in normal subjects an epileptic patients.  Eur. J. Clin. Pharmacol. 23: 87-92.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.",,,1946,232.24,5,2,75.3,2,neutral,1.3,1.1
Melatonin,73-31-4,c12c([nH]cc1CCNC(C)=O)ccc(c2)OC,1.1,16.5,0.39,1.1,1.1,"Rob L. DeMuro, Anne N. Nafziger, David E. Blask, Anne M. Menhinick and Joseph S. Bertino, Jr.  The Absolute Bioavailability of Oral Melatonin. J Clin Pharmacol 2000;40:781-784.//ppb:Cardinali DP, Lynch HJ, Wurtman RJ. Binding of melatonin to human and rat plasma proteins. Endocrinol. 1972, 91, 1213-1218.","Data digitized from Figure 1 
Reported data (Table 1):N=12 (6M, 6F), Avg body weight = 77.9 kg, 2 mg iv 3 min infusion, AUC = 1631.61 ng*min/mL, t1/2 59.5 min (1 h)// ppb: no significant differences between human and rat ppb. Concentration independent but temperature dependent: fu at 4 °C = 0.22",,1958,232.28,4,2,54.1,4,neutral,1.4,1.4
Sulbactam,68373-14-8,CC1(C)C(N2C(CC2=O)S1(=O)=O)C(=O)O,0.32,5.1,0.62,1.0,1.1,"Foulds G, Stankewich JP, Marshall DC, O'Brien MM, Hayes SL, Weidler DJ, and McMahon FG (1983) Pharmacokinetics of sulbactam in human.  Antimic. Agents Chemother. 23: 692-699.  Rho JP, Castle S, Smith K, Bawdon RE, and Norman DC (1992) Effect of impaired renal function on the pharmacokinetics of coadministered cefoperazone and sulbactam.  J. Antimic. Chemother. 29: 701-709.  Foulds G, Miller RD, Knirsch AK, and Thrupp LD (1985) Sulbactam kinetics and excretion into breast milk in postpartum women.  Clin. Pharmacol. Ther. 38: 692-696.  Blum RA, Kohli RK, Harrison NJ, and Schentag JJ (1989) Pharmacokinetics of ampicillin (2.0 grams) and sulbactam (1.0 gram) coadministered to subjects with normal and abnormal renal function and with end-stage renal disease on hemodialysis.  Antimic. Agents Chemother.  (1989),  33: 1470-1476.  de la Pena A and Derendorf H (1999) Pharmacokinetic properties of beta-lactamase inhibitors.  Int. J. Clin. Pharmacol. Ther. 37: 63-75.",,,1978,233.24,6,1,91.8,1,anionic,-0.25,-3.7
Dexmethylphenidate,40431-64-9,c1ccc([C@H]([C@H]2CCCCN2)C(OC)=O)cc1,2.65,6.67,0.87,6.62,8.0,PDR. Accessed February 20 2013. http://www.pdr3d.com/detail.php?c=64365#section-3. ,MRT from VDss and clearance. 70 kg assumed. ,"PDR. Accessed February 20 2013. http://www.pdr3d.com/detail.php?c=64365#section-3. The main urinary metabolite was ritalinic acid, accountable for approximately 80% of the dose.",1972,233.31,3,1,38.3,4,cationic,2.1,0.84
Methylphenidate,113-45-1,COC(=O)C(C1CCCCN1)c2ccccc2,2.2,9.42,0.85,4.5,4.8,"Srinivas NR, Hubbard JW, Korchinski ED, and Midha KK (1993) Enantioselective pharmacokinetics of dl-threo-methylphenidate in humans.  Pharm. Res. 10: 14-21.  De la Torre R, Farre M, Navarro M, Pacifici R, Zuccaro P, and Pichini S (2004) Clinical pharmacokinetics of amfetamine and related substances: monitoring in conventional and non-conventional matrices.  Clin. Pharmacokinet. 43: 157-185.",Data for individual stereoisomers were averaged.,,1947,233.31,3,1,38.3,4,cationic,2.1,0.84
Meptazinol,54340-58-8,CCC1(CCCCN(C)C1)c2cccc(O)c2,3.3,28.0,0.73,2.0,1.7,"Norbury HM, Franklin RA, and Graham DF (1983) Pharmacokinetics of the new analgesic, meptazinol, after oral and intravenous administration to volunteers.  Eur. J. Clin. Pharmacol. 25: 77-80.  Gepts E, Sonck WA, Camu F, and Vercruysse A (1987) Pharmacokinetics of intravenously administered meptazinol during general anesthesia in man.  Eur. J. Anaesth. 4: 35-43.  Franklin RA (1988) The clinical pharmacokinetics and metabolism of the analgesic meptazinol.  Xenobiotica 18: 105-112.","VDss was calculated from C vs t data provided in the reference by Norbury, et al.",,1976,233.35,2,1,23.5,2,cationic,3.1,1.5
Riluzole,1744-22-5,s1c(nc2c1cc(cc2)OC(F)(F)F)N,3.5,11.3,0.04,5.2,,"Riluzole - FDA Approval Package
Clinical Pharmacology and Biopharmaceutics Review 020599. Accessed through Pharmapendium.","N=15, 50mg dose iv, 70 kg assumed, MRT from VDss and clearance. t/12 not found.",91.5% of oral dose recovered in urine with only 2% as ntact riluzole.,1963,234.2,3,1,48.1,1,neutral,3.1,3.1
Lidocaine,137-58-6,CCN(CC)CC(=O)Nc1c(C)cccc1C,1.8,16.0,0.33,1.9,1.6,"Bauer LA, Brown T, Gilbaldi M, Hudson L, Nelson S, Raisys V, and Shea JP (1982) Influence of long-term infusions on lidocaine kinetics.  Clin. Pharmacol. Ther. 31: 433-437.  Bennett PN, Aarons LJ, Bending MR, Steiner JA, and Rowland M (1982) Pharmacokinetics of lidocaine and its deethylated metabolite: dose and time dependecy studies in man.  J. Pharmacokinet. Biopharm. 10: 265-281.  Grossman SH, Davis D, Kitchell BB, Shand DG, and Routledge PA (1982) Diazepam and lidocaine plasma protein binding in renal disease.  Clin. Pharmacol. Ther. 31: 350-357.  Barry M, Keeling PW, Weir D, and Feely J (1990) Severity of cirrhosis and the relationship of alpha 1-acid glycoprotein concentration to plasma protein binding of lidocaine.  Clin. Pharmacol. Ther.  47: 366-370.",Lignocaine. Maricaine.,,1946,234.34,3,1,32.3,5,cationic,2.7,2.0
Pamidronic acid (Pamidronate),40391-99-9,C(P(O)(O)=O)(P(O)(O)=O)(CCN)O,1.8,2.5,0.7,12.0,32.0,"Berenson JR, Rosen L, Vescio R, Lau HS, Woo M, Sioufi A, Kowalski MO, Knight RD, and Seaman JJ (1997) Pharmacokinetics of pamidronate disodium in patients with cancer with normal or impaired renal function.  J. Clin. Pharmacol. 37: 285-290. ppb: P.T. DALEY-YATES, J.C. CAL, A. COCKSHOTT, M. PONGCHAIDECHA and K. GILCHRIST. PLASMA PROTEIN BINDING OF APD: ROLE OF CALCIUM AND TRANSFERRIN. Chem.-Biol. Interactions, 1992, 81, 79-89.",Pharmacokinetic parameters were calculated from C vs t data obtained by digitization of the plot provided in the reference.,,1973,235.07,8,6,161.3,4,anionic,-3.5,-8.8
LY404039,635318-11-5,S1(=O)(=O)[C@@H]2[C@H]([C@](C1)(N)C(=O)O)[C@H]2C(=O)O,0.21,2.4,,1.44,1.23,"WILLIAM F. ANNES, AMANDA LONG, JENNIFER W. WITCHER, MOSUN A. AYAN-OSHODI, MARY PAT KNADLER, WEI ZHANG, MALCOLM. MITCHELL, KAREN CORNELISSEN, STEPHEN D. HALL. (2015) Relative Contributions of Presystemic and Systemic Peptidases to Oral Exposure of a Novel Metabotropic Glutamate 2/3 Receptor Agonist (LY404039) After Oral Administration of Prodrug Pomaglumetad Methionil (LY2140023). J. Pharm. Sci. 104:207–214.",Pomaglumetad. Average weight 80.5 kg. N=17. MRT from clearance and VDss.  Active compound dosed as such iv.,100 ug (microdose),2003,235.21,7,3,134.8,2,anionic,-3.0,-8.1
Procainamide,51-06-9,CCN(CC)CCNC(=O)c1ccc(N)cc1,2.2,10.0,0.84,3.7,3.1,"Christoff PB, Conti DR, Naylor C, and Jusko WJ (1983) Procainamide disposition in obesity.  Drug Intell. Clin. Pharm. 17: 516-522.  Reidenberg MM, Drayer DE, Levy M, and Warner H (1975) Polymorphic acetylation of procainamide in man.  Clin. Pharmacol. Ther. 17: 722-730",,,1950,235.33,4,2,58.4,6,cationic,1.2,-0.39
Isosorbide Dinitrate,87-33-2,O=N(=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)ON(=O)=O,1.9,31.0,0.72,1.0,1.7,"Platzer R, Reutemann G, and Galeazzi RL (1982) Pharmacokinetics of intravenous isosorbide dinitrate.  J. Pharmacokinet. Biopharm. 10: 575-586.  Santoni Y, Iliadis A, Cano JP, Luccioni R, and Frances Y (1986) Pharmacokinetics of isosorbide dinitrate and its mononitrate metabolites after intravenous infusion.  J. Pharmacokinet. Biopharm. 14: 1-17.  Straehl P and Galeazzi RL (1985) Isosorbide dinitrate bioavailability, kinetics, and metabolism. Clin Pharmacol Ther. 38:140-149",,,1939,236.14,10,0,128.6,4,neutral,0.82,0.82
