mol,CID,Class,Model,pIC50,MW,AlogP,canvasUID
Clc1ccccc1-c1n(Cc2nc(N)ccc2)c(cc1)-c1ccc(OCCCC#N)cc1,BACE_127,0,Train,6.3767509,442.94,6.0500002,127
Fc1ccc(NC(=O)c2ncc(cc2)C#N)cc1[C@]1(N=C(OC[C@H]1F)N)C,BACE_128,0,Train,6.3615108,371.34079,2.2837,128
Clc1cc2CC([NH+]=C(N[C@@H](Cc3cscc3-c3cn[nH]c3)C(=O)[O-])c2cc1)(C)C,BACE_129,0,Train,6.3467875,428.935,0.73989999,129
Clc1cc2CC([NH+]=C(N[C@@H](Cc3ccccc3)C=3NC(=O)C(=CN=3)C#N)c2cc1)(C)C,BACE_130,0,Train,6.3279023,432.92529,2.4410999,130
s1cc(cc1C1([NH2+]C[C@@H](O)[C@@H](NC(=O)C)Cc2cc(F)cc(F)c2)CC1)CC(C)(C)C,BACE_131,0,Train,6.3279023,451.5928,4.1034999,131
S(CC[C@H](NC(=O)CCC(C)C)C(=O)N[C@H]([C@@H](O)C[C@H](C(=O)NCCCC)C)CC(C)C)C,BACE_132,0,Train,6.2291479,487.73929,3.5952001,132
Clc1ccccc1-c1scc(-c2ccc(OCCC)cc2)c1CC(=O)NC(=[NH2+])N,BACE_133,0,Train,6.2291479,428.9549,3.3024001,133
O=C1N[C@@H](C[C@@H](CCCCCCCC(=O)N[C@H]1C)C)[C@@H](O)C[C@H](C(=O)NCCCC)C,BACE_134,0,Train,6.2291479,439.63181,3.5567999,134
Brc1cc(ccc1)C(=O)Nc1ccc(cc1)-c1n(CC(=O)NC(=[NH2+])N)c(cc1)-c1ccccc1,BACE_135,0,Train,6.221849,517.39709,3.198,135
O(CCC)c1cc(cc(N2CCCC2=O)c1)C(=O)N[C@H]([C@H](O)C[NH2+][C@H](C(=O)NC1CCCCC1)C)Cc1ccccc1,BACE_136,0,Train,6.2182446,579.75012,2.6730001,136
O=C1N(C)C(N[C@@]1(CC1CCCCC1)CCC1CCCCC1)=N,BACE_137,0,Train,6.2182446,319.4848,4.8098001,137
Clc1cc2CC([NH+]=C(N[C@@H](Cc3cscc3CCC)C(=O)[O-])c2cc1)(C)C,BACE_138,0,Train,6.2146702,404.9534,2.6466999,138
s1c2c(nc1C)C(=[NH+][C@@]2(c1cc(ccc1)-c1cncnc1)c1ccc(OC)cc1)N,BACE_139,0,Train,6.2006593,414.50281,1.2986,139
Clc1ccccc1-c1n(CC(=O)NC(=[NH2+])N)c(cc1)-c1ccc(Oc2ccc(cc2)C(=O)C)cc1,BACE_140,0,Train,6.154902,487.95749,3.6294,140
Clc1cc2CC([NH+]=C(N[C@@H](Cc3ccccc3)C3=NOC(=O)[N-]3)c2cc1)(C)C,BACE_141,0,Train,6.124939,396.87,2.9698999,141
Fc1ccc(NC(=O)c2ncc(cc2)C#N)cc1[C@]1(N=C(O[C@H](C1)C(F)(F)F)N)C,BACE_142,0,Train,6.1101384,421.3483,2.9528999,142
Brc1cc(ccc1O)C[C@@H]1CS(=O)(=O)C[C@H]([NH2+]Cc2cc(ccc2)C2CC2)[C@H]1O,BACE_143,0,Train,6.0222764,481.4231,3.3866999,143
Clc1cc(cc(Cl)c1NC(=O)C)C\N=C(\NC(=O)Cn1c2c(cccc2)cc1)/N,BACE_144,0,Train,5.9956784,432.30319,3.029,144
Fc1cc(cc(F)c1)C[C@H](NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@H](O)[C@@H]1[NH2+]CCN(C1)C(=O)c1ccccc1,BACE_145,0,Train,5.939302,621.73712,3.799,145
Brc1cc(cc(F)c1N)C[C@@H]1CS(=O)(=O)C[C@H]([NH2+]Cc2cc(ccc2)C(F)(F)C)[C@H]1O,BACE_146,0,Train,5.8632793,522.39899,1.6655,146
S(Oc1cc(cc(OCC(=O)NCCCCC[NH3+])c1)C(=O)N[C@H](C)c1ccc(F)cc1)(=O)(=O)Cc1ccccc1,BACE_147,0,Train,5.8538718,572.66809,2.6547,147
O=C1N(C)C(=N[C@@]1(C12CC3CC(C1)CC(C2)C3)c1ccccc1)N,BACE_148,0,Train,5.8153086,323.43201,3.2567999,148
S(=O)(=O)(N(C)c1nc2CC[C@@H](CCc3cc(C[C@]([NH3+])(C)C(OCc(c1)c2)=O)ccc3)C)C,BACE_149,0,Train,5.7447276,460.6095,2.7265,149
S(=O)(=O)(CCCCC)c1cc(ccc1)C(=O)N[C@H]([C@H](O)C[NH2+][C@H](C(=O)NC1CCCCC1)C)Cc1ccccc1,BACE_150,0,Train,5.7447276,572.77899,3.5460999,150
S1(=O)(=O)N([C@]2(C[C@@H]([N@H+](CC2)Cc2cc(OC(C)C)ccc2)C)CN1C)c1cc(F)ccc1,BACE_151,0,Train,5.6197886,462.60049,1.6393,151
Fc1cc(N2C3(CC[NH+](CC3)Cc3ccc(NC(=O)C)cc3)C(=NC2=O)NC2CCCCC2)ccc1,BACE_152,0,Train,5.5528421,492.60818,3.0847001,152
Fc1ncccc1-c1cc(ccc1)[C@]1(N=C(OC1)N)c1ccc(OC)cc1,BACE_153,0,Train,5.545155,363.38489,3.8829999,153
O(C)c1ccc(cc1)[C@@]1([NH+]=C(N)[C@H](OC)C1)c1cc(ccc1)-c1cccnc1,BACE_154,0,Train,5.4948502,374.4556,0.87080002,154
Fc1cc(ccc1OC)[C@H](Cc1cc([N+](=O)[O-])ccc1OC)c1nc([nH]c1)N,BACE_155,0,Train,5.4948502,386.37701,3.0414,155
O=C(N[C@H]([C@@H](O)C[C@H](C(=O)NCCCC)C)Cc1ccccc1)[C@H]1C[C@H](CCC1)C(NC(=O)C)(C)C,BACE_156,0,Train,5.4317985,501.7012,3.7512,156
O=C(NC(=[NH2+])N)Cn1c(ccc1-c1ccccc1)-c1ccccc1,BACE_157,0,Train,5.4317985,319.3804,1.6648999,157
Brc1cc2c(S(=O)(=O)CC[C@@H]2OC(=O)[C@@H]2[NH2+]C[C@]3(C2)c2c(NC3=O)cccc2)cc1,BACE_158,0,Train,5.3979402,492.36292,0.84570003,158
O(Cc1ncccc1)c1ccc(cc1CNc1cccnc1N)-c1cc2[nH]ccc2cc1,BACE_159,0,Train,5.3767509,421.49371,3.7945001,159
Fc1cc(cc(F)c1)C[C@H](NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@@H](O)C[NH2+]Cc1cc(OC)ccc1,BACE_160,0,Train,5.3665314,582.70111,4.4562001,160
O(C)c1cc(ccc1)-c1cc(ccc1)[C@@H]1C[C@@H]1C=1N=C(N)N(C)C(=O)C=1,BACE_161,0,Train,5.3372421,347.41031,3.8431001,161
Brc1cc(ccc1C#N)COC(=O)[C@@H]1[NH2+]C[C@]2(C1)c1c(NC2=O)cccc1,BACE_162,0,Train,5.2034259,427.2713,1.2889,162
Clc1cc(ccc1)-c1cc(ccc1)[C@@]1(OCCC(=[NH+]1)N)C,BACE_163,0,Train,5.2006593,301.79059,1.423,163
O=C1N(Cc2ccc(cc2)CNC(=O)Nc2ccc(cc2)C#N)C(N[C@@]1(CC(C)C)C)=N,BACE_164,0,Train,5.154902,432.5181,3.957,164
Clc1cc2nc(n(c2cc1)[C@H](CC(=O)NCC1CCCCC1)CC)N,BACE_165,0,Train,5.154902,362.89691,4.3636999,165
O(C)c1ccc(cc1)[C@@]1([NH+]=C(N)CC1)c1cc(ccc1)-c1cncnc1,BACE_166,0,Train,5.1023731,345.4176,0.74519998,166
Clc1cc2nc(n(c2cc1)[C@H](CC(=O)NC1C2CC3CC1CC(C2)C3)CC)N,BACE_167,0,Train,5.0506101,400.94489,4.4322,167
[nH]1c2cc(ccc2cc1)-c1cc(ccc1)CNc1cccnc1N,BACE_168,0,Train,5.0409584,314.3837,3.1629,168
Clc1cc(cnc1)-c1cc(ccc1)[C@@]12N=C(O[C@@H]1CCCC2)N,BACE_169,0,Train,4.9281178,327.80801,3.7929001,169
O=C1Nc2c(cccc2)[C@]12C[C@@H]([NH2+]C2)C(OCc1ccc(cc1)C#N)=O,BACE_170,0,Train,4.91364,348.37521,0.54049999,170
O=C1N(C)C(=NC(=C1)[C@H]1C[C@H]1c1ccc(cc1)-c1cc(ccc1)C)N,BACE_171,0,Train,4.767004,331.41089,4.3456998,171
O=C1N(C)C(N[C@](C1)(C)[C@@H]1C[C@H]1c1ccccc1)=N,BACE_172,0,Train,4.7447276,257.3309,1.6864001,172
Brc1cc2c(SCC[C@@H]2OC(=O)[C@@H]2[NH2+]C[C@]3(C2)c2c(NC3=O)cccc2)cc1,BACE_173,0,Train,4.6458917,460.36411,1.8615,173
S(=O)(=O)(Nc1cc(Nc2ncnc(c2)-c2ccccc2)ccc1C)C,BACE_174,0,Train,4.6197886,354.42609,3.4874001,174
O(C)c1cc(ccc1)-c1cc(ccc1)CCc1nc(N)ccc1,BACE_175,0,Train,4.6020598,304.38559,4.4145002,175
O(C(=O)[C@@H]1[NH2+]C[C@]2(C1)c1c(NC2=O)cccc1)C1(CCCCC1)C#N,BACE_176,0,Train,4.5951662,340.3963,0.73659998,176
Clc1cc2nc(n(c2cc1)CCCC(=O)N(C)C1CCCCC1)N,BACE_177,0,Train,4.5850267,348.8703,3.6591001,177
O=C([O-])[C@@H](\[NH+]=C\1/NC(Cc2c/1cccc2)(C)C)Cc1ccccc1,BACE_178,0,Train,4.5654311,322.40091,1.2862999,178
Brc1cc2c(OC(C[C@@]23N=C(N)N(C)C3=O)(C)C)cc1,BACE_179,0,Train,4.4337983,338.19971,1.9776,179
[NH+]=1C(C=2N(CCCN=2)C=1N)(c1ccccc1)c1ccccc1,BACE_180,0,Train,4.4202166,291.3703,0.8247,180
O(C)c1cc(cnc1)-c1cc(ccc1)CNc1cccnc1N,BACE_181,0,Train,4.3979402,306.36169,2.2182,181
S1CC[C@@](N=C1N)(C)c1ccc(OC)cc1,BACE_182,0,Train,4.3851027,236.33321,2.3116,182
O=C1N(C)C(=N[C@@](C1)(CCc1ccccc1)C)N,BACE_183,0,Train,4.3829994,245.32021,1.9431,183
O=C1N(Cc2ccc(cc2)CNC(=O)NCCCC)C(N[C@@]1(CC(C)C)C)=N,BACE_184,0,Train,4.1079054,387.51901,3.5523,184
O=C1Nc2c(cccc2)[C@]12C[C@@H]([NH2+]C2)C(OCc1ccccc1)=O,BACE_185,0,Train,4.067019,323.36581,0.66159999,185
[nH]1c2cc(ccc2cc1)CCc1nc(N)ccc1,BACE_186,0,Train,4.0268722,237.2997,2.6902001,186
O1[C@@H]2COCC[C@@]2(N=C1N)c1cc(ccc1)-c1cncnc1,BACE_187,0,Train,4.0030508,296.32379,0.87709999,187
[NH+]=1[C@](N=C(c2ccccc2)C=1N)(C)c1cc(ccc1)-c1cccnc1,BACE_188,0,Train,4,327.4024,1.4339,188
n1cccc(NCc2cc(ccc2)-c2cccnc2)c1N,BACE_189,0,Train,4,276.33569,2.2346001,189
O1CCC(OC(=O)[C@@H]2[NH2+]C[C@]3(C2)c2c(NC3=O)cccc2)CC1,BACE_190,0,Train,3.9430952,317.35959,-1.0807,190
O=C1NC(=NC(=C1)CCc1cc2[nH]ccc2cc1)N,BACE_191,0,Train,3.8860567,254.2872,1.7381001,191
Clc1cc(ccc1OCCCC)CSC(=[NH2+])N,BACE_192,0,Train,3.6777806,273.80209,2.3017001,192
o1cccc1C[N@H+](Cc1cc(ccc1)CCc1cccnc1N)C,BACE_193,0,Train,3.6020601,322.4241,1.9561,193
n1cccc(NCc2ccccc2)c1N,BACE_194,0,Train,3.5086384,199.25169,1.8668,194
Clc1cc(ccc1)CN1C(=O)[C@](NC1=N)(CC(C)C)C,BACE_195,0,Train,3.3010299,293.79181,3.3757999,195
Fc1ccc(cc1)CC1CC[NH2+]CC1,BACE_196,0,Train,3.3010299,194.26849,1.4164,196
O=C1N(C)C(=NC(=C1)[C@H]1C[C@H]1c1ccccc1)N,BACE_197,0,Train,3.2083094,241.28841,2.3411,197
Clc1cc(ccc1)CN1C(=O)C(NC1=N)(C)C,BACE_198,0,Train,3.154902,251.7121,2.1441,198
Clc1cc2nc(n(c2cc1)CCCO)N,BACE_199,0,Train,3.1135092,225.6748,1.4887,199
n1c2c(nc(N)c1N1CCCC1)cccc2,BACE_200,0,Train,3.0604808,214.2664,2.2544,200
Clc1cc(ccc1)CCc1cccnc1N,BACE_201,0,Train,3,232.70869,3.5697999,201
n1ccc2c(cccc2)c1N,BACE_202,0,Train,3,144.1732,1.383,202
n1c2c(ccc1N)cccc2,BACE_203,0,Train,3,144.1732,1.8115,203
O1CC[NH+](CC1)CC(O)COc1cc(ccc1C)C,BACE_204,0,Train,2.6989701,266.35599,0.54100001,204
O=C1NC(=NC(=C1)CCC)N,BACE_205,0,Train,2.6989701,153.1817,0.92820001,205
OC(C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C([NH3+])Cc1c2c([nH]c1)cccc2)Cc1c2c([nH]c1)cccc2)CO)CCC(=O)[O-])C(C)C)CC(=O)N)CC(C)C)CC(C(=O)NC(C(=O)NC(CCC(=O)[O-])C(=O)NC(Cc1ccccc1)C(=O)[O-])C)C,BACE_231,1,Valid,10.522879,1350.4733,-3.9500999,231
S(=O)(=O)(CC(NC(OCn1nc(cc1C)C)=O)C(=O)NC(C(O)CC(C(=O)NC(C(C)C)C(=O)NCC(C)C)C)CC(C)C)C,BACE_232,1,Valid,9.5228786,658.85022,2.1491001,232
OC(C(NC(=O)C(NC(=O)C(NC(=O)C([NH3+])CCC(=O)[O-])CC(C)C)CC(=O)[O-])CC(C)C)CC(C(=O)NC(C(C)C)C(=O)NC(CCC(=O)[O-])C(=O)NC(Cc1ccccc1)C(=O)[O-])C,BACE_233,1,Valid,9.5228786,933.03271,-3.1736,233
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C)C(=O)N1CCCC1COC)C(O)C1[NH2+]CC(Oc2ccccc2)C1,BACE_234,1,Valid,9.1549015,608.69531,3.0734999,234
S(=O)(=O)(N1CC([NH2+]CC1)C(O)C(NC(=O)c1cc(cc(c1)C)C(=O)N1CCCC1COC)Cc1cc(F)cc(F)c1)c1cc(ccc1)C,BACE_235,1,Valid,9,685.8009,2.602,235
S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(C(O)CC(OC)C(=O)NC(C(C)C)C(=O)NCc1ccccc1)COc1cc(F)cc(F)c1)C(=O)NC(C)c1ccccc1)C,BACE_236,1,Valid,9,851.9549,3.9826,236
OC(C(NC(=O)C(NC(=O)C(NC(=O)C([NH3+])CCC(=O)[O-])C(C)C)CC(=O)N)CC(C)C)CC(C(=O)NC(C(=O)NC(CCC(=O)[O-])C(=O)NC(Cc1ccccc1)C(=O)[O-])C)C,BACE_237,1,Valid,9,890.9762,-4.3611002,237
s1cc(cc1C12N=C(N)N(C)C(=O)C1CN(C2)c1nc(OC)ccc1)-c1cc(ccc1)C#N,BACE_238,1,Valid,9,458.53549,3.3973,238
S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(C(O)CC(C(=O)NC(C(C)C)C(=O)NC(C)C)C)CC(C)C)C(=O)NC(C)c1ccccc1)C,BACE_239,1,Valid,8.9586077,701.9162,3.6277001,239
Clc1cc(sc1C1(NC(=[NH2+])N(C)C(=O)C1)C)-c1cc(cnc1)C#CC,BACE_240,1,Valid,8.7695513,373.8797,1.7465,240
S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]Cc1cc(OC)ccc1)C(=O)NC(C)c1ccccc1)C,BACE_241,1,Valid,8.7447271,659.81482,2.6861,241
s1cc(cc1C12N=C(N)N(C)C(=O)C1CN(C2)C(=O)c1ccccc1)-c1cc(ccc1)C#N,BACE_242,1,Valid,8.5228786,455.53149,2.7325001,242
s1cc(cc1C12N=C(N)N(C)C(=O)C1CN(C2)c1ncccc1OC)-c1cc(ccc1)C#N,BACE_243,1,Valid,8.5228786,458.53549,2.8555,243
S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(C(O)CC(OCCOC)C(=O)NC(C(C)C)C(=O)NCc1ccccc1)COc1cc(F)cc(F)c1)C(=O)NC(C)c1ccccc1)C,BACE_244,1,Valid,8.5086384,896.00751,3.8517001,244
O=C1N(C)C(=[NH2+])NC1(C1CC1)c1cc(ccc1)-c1cc(cnc1)C#CC,BACE_245,1,Valid,8.2676058,345.4176,2.3763001,245
s1cc(cc1C12N=C(N)N(C)C(=O)C1CN(C2)c1ncccc1C#N)-c1cc(ccc1)C#N,BACE_246,1,Valid,8.2218485,453.51901,2.7507999,246
O=C(c1cc2CN(CCC(=O)N(C)C3CCCCC3)C(=[NH+]c2cc1)N)c1ccccc1,BACE_247,1,Valid,7.9586072,419.53922,2.0543001,247
S1(=O)(=O)N(c2cc(cc3n(cc(CC1)c23)CC)C(=O)NC(Cc1ccccc1)C(O)(O)C[NH2+]C1CCOCC1)C,BACE_248,1,Valid,7.8860564,571.70819,0.096600004,248
Clc1cc(cc(C)c1NC(=O)C)CN\C(=N/C(=O)c1c(nsc1C)-c1ccc(OC)cc1)\N,BACE_249,1,Valid,7.6989698,485.98639,3.7702999,249
S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(Cc1ccccc1)C[NH2+]C(C(O)C)C(=O)NCC(C)C)C(=O)NC(C)c1ccccc1)C,BACE_250,1,Valid,7.6020598,666.85052,1.8548,250
O1CCCCCCNC(=O)CC(NC(=O)C(NC1=O)C(C)C)C(=O)NC(C(O)CC(C(=O)NC(C(C)C)C(=O)NCc1ccccc1)C)CC(C)C,BACE_251,1,Valid,7.6003261,730.93433,3.6357999,251
Fc1ccc(NC(=O)C(CC([NH3+])C(NC(=O)c2cc(ccc2)C(=O)N(CCC)CCC)Cc2ccccc2)C)cc1,BACE_252,1,Valid,7.5850267,561.71002,4.1992002,252
Fc1c2c(ccc1)C([NH+]=C2N)(c1cc(ccc1)-c1cncnc1)c1cc(ncc1)C(F)F,BACE_253,1,Valid,7.5833597,432.4205,1.8608,253
Clc1cc(cc(Cl)c1N)CN\C(=N/C(=O)c1c(nsc1C)-c1ccc(OC)cc1)\N,BACE_254,1,Valid,7.3979402,464.36819,4.0815001,254
s1cc(cc1C1(N=C(N)N(C)C(=O)C1)C)-c1cc(ccc1)C#N,BACE_255,1,Valid,7.251812,324.40009,2.2888999,255
Clc1cc(cnc1)-c1cc(ccc1)C1(NC(=[NH2+])N(C)C1=O)C1CC1,BACE_256,1,Valid,7.2291479,341.8147,1.9641,256
s1c(ccc1-c1cc(C#N)c(F)cc1)C12N=C(N)N(C)C(=O)C1CN(C2)c1ccccc1,BACE_257,1,Valid,7.0457573,445.5119,4.1146998,257
O(C)c1cc(ccc1)-c1cc(ccc1)C1(NC(=[NH2+])N(C)C1=O)c1ccccc1,BACE_258,1,Valid,6.7212462,372.4397,2.1852,258
O(C)c1cc(ccc1)-c1cc(ccc1)C1(N=C(N)N(C)C(=O)C1)C,BACE_259,1,Valid,6.5686364,323.38889,2.6677001,259
O(C)c1cc(ccc1)CN1CC(NC1=O)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]Cc1cc(N(C)C)ccc1,BACE_260,1,Valid,6.3477535,546.68042,2.4159999,260
O=C1N(C)C(=[NH2+])NC1(c1cc(ccc1)-c1cccnc1)c1ccccc1,BACE_261,1,Valid,6.2757239,343.40179,1.051,261
O(c1cc2CN(C(CCC(=O)N(C)C3CCCCC3)C3CCCCC3)C(=[NH+]c2cc1)N)c1ccccc1,BACE_262,1,Valid,6.0457573,503.6987,4.7490001,262
O=C1N(C)C(=[NH2+])NC1(c1ccccc1)c1ccccc1,BACE_263,1,Valid,5.4436975,266.31769,0.6832,263
O=C1NC(CN1Cc1ccccc1)(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]Cc1cc(N(C)C)ccc1,BACE_264,1,Valid,5.3009434,606.77698,4.3000002,264
n1c2c(cc(cc2)-c2ccccc2C#CC(C)(C)C)ccc1N,BACE_265,1,Valid,5.2146702,300.39691,5.3207002,265
O=C(NCC1CCCCC1)CCc1cc2c(nc1N)cccc2,BACE_266,1,Valid,4.8477116,311.4213,3.6993999,266
O=C(N(C)C1CCCCC1)CCc1cc2c(nc1N)cccc2,BACE_267,1,Valid,4.415669,311.4213,3.5748,267
s1cc(cc1)-c1cc2c(nc(N)cc2)cc1,BACE_268,1,Valid,4.4111681,226.29691,2.6273,268
Clc1cc(C[NH+]2CCC(NC(=O)COc3ccc(S(=O)(=O)N)cc3C)CC2)c(OC(C)C)c(OC)c1,BACE_269,1,Valid,4.1307683,541.0799,1.5249,269
Clc1cc(C[NH+]2CCC(NC(=O)COc3ccc(S(=O)(=O)N)cc3)CC2)c(OC(C)C)c(OC)c1,BACE_270,1,Valid,3.769551,527.05328,1.0387,270
Oc1ccc(cc1C1CCCCC1)CC[NH3+],BACE_271,1,Valid,3.6575773,220.3306,2.1761,271
Oc1ccc(cc1CC)CC[NH3+],BACE_272,1,Valid,3.1804562,166.2401,0.92729998,272
Oc1ccc(cc1)CC([NH3+])C,BACE_273,1,Valid,3.09691,152.21359,0.3624,273
Oc1ccc(cc1)CC[NH3+],BACE_274,1,Valid,2.6989701,138.187,-0.0151,274
O=C(NCCC(C)(C)C)C(Cc1cc2cc(ccc2nc1N)-c1ccccc1C)C,BACE_276,1,Test,9.1870871,403.55969,5.7644,276
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(O)C1,BACE_277,1,Test,9.0506096,615.73102,1.4277,277
Fc1cc(ccc1C)CC(NC(=O)C)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,BACE_278,1,Test,9.004365,498.6525,3.3870001,278
Fc1cc(ccc1)CC(NC(=O)C)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,BACE_279,1,Test,9,484.62601,2.9008,279
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)/C(=N\OC)/C)C(=O)N(CCC)CCC)C(O)C[NH2+]Cc1cc(OC)ccc1,BACE_280,1,Test,9,639.75238,3.8162999,280
S(=O)(=O)(N(C)c1cc2cc(NCCCCOc3cc(CC(NC2=O)C(O)C[NH2+]Cc2cc(ccc2)C(C)C)ccc3)c1)CCC,BACE_281,1,Test,9,637.85242,4.7982998,281
O1CCCCOc2cc(CC(NC(=O)c3cc(N4CCCC4=O)cc1c3)C(O)C[NH2+]C1(CC1)c1cc(ccc1)C(C)C)ccc2,BACE_282,1,Test,9,612.7782,5.9232998,282
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCc2cccnc2)C1,BACE_283,1,Test,8.8538723,706.84161,2.2691,283
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCc2ncccc2)C1,BACE_284,1,Test,8.8239088,706.84161,2.4842,284
s1ccnc1-c1cc(cc(F)c1)CC(NC(=O)COC)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,BACE_285,1,Test,8.7212467,597.76367,2.8355999,285
Fc1cc(cc(c1)C#C)CC(NC(=O)COC)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,BACE_286,1,Test,8.7212467,538.67328,3.7644,286
Fc1cc(ccc1F)CC(NC(=O)C)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,BACE_287,1,Test,8.6989698,502.61639,3.1063001,287
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C(=O)N(CCC)CCC)C(O)C)C(O)C[NH2+]Cc1cc(OC)ccc1,BACE_288,1,Test,8.6989698,612.72711,3.743,288
S(=O)(=O)(N(C)c1cc2cc(NCCCCOc3cc(CC(NC2=O)C(O)C[NH2+]C2(CC2)c2cc(ccc2)C(C)C)ccc3)c1)CCC,BACE_289,1,Test,8.6989698,663.88959,6.1561999,289
S1(=O)(=O)CC(Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,BACE_290,1,Test,8.6989698,601.59711,3.9575,290
S1(=O)(=O)CC(Cc2cc(O[C@H](COC)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,BACE_291,1,Test,8.6989698,577.65167,2.8192,291
S1(=O)(=O)CC(Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(O)(C)C)C1,BACE_292,1,Test,8.6989698,603.56989,2.5351,292
S1(=O)(=O)CC(Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2cc(ccc2)C(CO)(C)C)C1,BACE_293,1,Test,8.6989698,617.5965,2.8668001,293
Fc1ccc(cc1OC(F)(F)F)CC(NC(=O)C)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,BACE_294,1,Test,8.6777811,568.62329,5.0207,294
FC(F)(F)c1cc(ccc1)CC(NC(=O)C)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,BACE_295,1,Test,8.6197891,534.63348,3.6375999,295
Fc1ccc(cc1C#N)CC(NC(=O)C)C(O)C[NH2+]C1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,BACE_296,1,Test,8.6197891,509.63541,2.7797,296
Fc1c2c(ccc1)C(N=C2N)(C=1C=C(C)C(=O)N(C=1)CC)c1cc(NC(=O)c2ncccc2)ccc1,BACE_297,1,Test,8.6038008,481.5209,4.0102,297
O=C(NCC1CCCCC1)C(Cc1cc2cc(ccc2nc1N)-c1ccccc1C)C,BACE_298,1,Test,8.6020603,415.5704,6.1665001,298
O1c2c(cc(cc2)CC)C([NH2+]CC(O)C2NC(=O)C=3C=C(N4CCCC4)C(=O)N(CCCCc4cc(C2)ccc4)C=3)CC12CCC2,BACE_299,1,Test,8.6020603,625.82013,5.3242002,299
Fc1c2c(cc(F)c1)C(N=C2N)(C=1C=C(C)C(=O)N(C=1)CC)c1cc(ccc1)-c1cc(cnc1)C#CC,BACE_300,1,Test,8.5867004,494.53461,5.5974998,300
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCCC)C1,BACE_301,1,Test,8.5850267,657.81073,2.7086999,301
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(Oc2ccccc2)C1,BACE_302,1,Test,8.5850267,691.82703,3.5992999,302
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(Oc2ncccc2)C1,BACE_303,1,Test,8.5850267,692.815,2.9905,303
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(NC(=O)C)(C(CC)C)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCc2cc(ccc2)C(F)(F)F)C1,BACE_304,1,Test,8.5686359,773.8515,4.362,304
O1c2ncc(cc2C([NH2+]CC(O)C2NC(=O)C=3C=CC(=O)N(CCCc4cc(C2)ccc4)C=3)CC12CCC2)CC(C)(C)C,BACE_305,1,Test,8.5686359,585.75623,4.5502,305
