ID;Canonical_Smiles;hlm_clearance[mL.min-1.g-1];rlm_clearance[mL.min-1.g-1];mlm_clearance[mL.min-1.g-1];caco2_PAPP[10^-7cm/s];Set_hlm;Set_rlm;Set_mlm;Set_caco
CHEMBL2057368;CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(NC(=O)NCCn4nnc(n4)C5CC5)nn3c2;;;;0,8;;;;Ext
CHEMBL2057363;CN(C)C(=O)CNC(=O)Nc1nc2ccc(cn2n1)c3cncc(c3)S(=O)(=O)NC(C)(C)C;;;;5,4;;;;Train
CHEMBL2058841;Cc1ccc(Nc2c(nc3CNC(=O)Cn23)c4ccc(F)cc4)cc1;;;;146,85;;;;Train
CHEMBL2058843;CC1(C)NC(=O)Cn2c(Nc3ccc(F)c(Cl)c3)c(nc12)c4ccc(F)cc4;;;;32,85;;;;Ext
CHEMBL2058837;CC(C)(N)C(=O)N1CCn2c(Nc3ccc(F)cc3)c(nc2C1(C)C)c4ccc(F)cc4;;;;10,85;;;;Train
CHEMBL2057225;CC1(C)N(CCn2c(Nc3ccc(F)c(F)c3)c(nc12)c4ccc(F)cc4)C(=O)CN;;;;9,55;;;;Train
CHEMBL2058833;CC1(C)N(CCn2c(Nc3ccc(F)cc3)c(nc12)c4ccc(F)cc4)C(=O)CN;;;;21,25;;;;Test
CHEMBL2058838;Cc1ccc(Nc2c(nc3n2CCN(C(=O)C(C)(C)N)C3(C)C)c4ccc(F)cc4)cc1;;;;29,35;;;;Train
CHEMBL2058889;NC(=N)SCc1c(F)ccc2c1oc3c(CSC(=N)N)c(F)ccc23;;;;30;;;;Test
CHEMBL2058364;CS(=O)(=O)c1ccc(Sc2ccc(F)cc2CSC(=N)N)c(CSC(=N)N)c1;;;;1;;;;Ext
CHEMBL2058365;COc1ccc(Sc2ccc(F)cc2CSC(=N)N)c(CSC(=N)N)c1;;;;24;;;;Train
CHEMBL2058608;Cc1ccc(Sc2ccccc2CSC(=N)N)c(CSC(=N)N)c1;;;;14,5;;;;Train
CHEMBL2058362;NC(=N)SCc1ccccc1Sc2ccc(F)cc2CSC(=N)N;;;;2,5;;;;Train
CHEMBL2058881;NC(=N)SCc1cccc2c3cccc(CSC(=N)N)c3C(=O)c12;;;;3,5;;;;Test
CHEMBL2058879;NC(=N)SCC1=CC=CC2=C3C=CC=C(CSC(=N)N)C3=C12;;;;2,5;;;;Train
CHEMBL2058890;NC(=N)SCc1c(Br)ccc2c1oc3c(CSC(=N)N)c(Br)ccc23;;;;1,5;;;;Train
CHEMBL2058622;NC(=N)SCc1cc(F)ccc1Oc2ccc(F)cc2CSC(=N)N;;;;1,5;;;;Test
CHEMBL2058361;NC(=N)SCc1cc(F)ccc1Sc2ccc(cc2CSC(=N)N)[N+](=O)[O-];;;;1,5;;;;Train
CHEMBL1197758;Cc1cc(C)c(CSC(=N)N)c(C)c1CSC(=N)N;;;;10,5;;;;Train
CHEMBL2058892;NC(=N)SCc1cccc2c3ccc(Br)c(CSC(=N)N)c3sc12;;;;7,5;;;;Test
CHEMBL2058887;NC(=N)SCc1cc(F)cc2c3cc(Cl)cc(CSC(=N)N)c3sc12;;;;3,5;;;;Train
CHEMBL2058610;NC(=N)SCc1cc(F)ccc1Sc2cc(F)c(F)cc2CSC(=N)N;;;;1,5;;;;Ext
CHEMBL2058607;NC(=N)SCc1ccccc1Sc2cc(F)c(F)cc2CSC(=N)N;;;;13,5;;;;Train
CHEMBL2058880;NC(=N)SCc1cccc2c3cccc(CSC(=N)N)c3sc12;;;;1;;;;Train
CHEMBL2058878;NC(=N)SCc1cccc2c1oc3c(CSC(=N)N)cccc23;;;;1,5;;;;Train
CHEMBL2058611;NC(=N)SCc1cc(F)ccc1Sc2ccc(cc2CSC(=N)N)C(F)(F)F;;;;19,5;;;;Train
CHEMBL2058620;NC(=N)SCc1ccccc1Oc2ccccc2CSC(=N)N;;;;1,5;;;;Train
CHEMBL2058360;NC(=N)SCc1ccccc1Sc2ccccc2CSC(=N)N;;;;7,5;;;;Train
CHEMBL2058363;NC(=N)SCc1cc(F)ccc1Sc2ccc(F)cc2CSC(=N)N;;;;4;;;;Train
CHEMBL2058609;NC(=N)SCc1ccccc1Sc2cc(F)ccc2CSC(=N)N;;;;2,5;;;;Test
CHEMBL2058623;NC(=N)SCc1ccc(Cl)cc1Oc2ccc(F)cc2CSC(=N)N;;;;5,5;;;;Ext
CHEMBL2058891;NC(=N)SCc1c(Cl)ccc2c1oc3c(CSC(=N)N)c(Cl)ccc23;;;;2,5;;;;Ext
CHEMBL2058624;NC(=N)SCc1ccc(F)cc1Oc2ccc(F)cc2CSC(=N)N;;;;2,5;;;;Train
CHEMBL2058628;NC(=N)SCc1ccccc1C(=O)c2cc(ccc2CSC(=N)N)[N+](=O)[O-];;;;4;;;;Test
CHEMBL2058613;CN(C)S(=O)(=O)c1ccc(Sc2ccc(F)cc2CSC(=N)N)c(CSC(=N)N)c1;;;;1;;;;Train
CHEMBL2058885;NC(=N)SCc1cccc2cc3cccc(CSC(=N)N)c3nc12;;;;3,5;;;;Train
CHEMBL2058893;NC(=N)SCc1c(Br)ccc2c3ccc(Br)c(CSC(=N)N)c3sc12;;;;30;;;;Train
CHEMBL2064346;Oc1cc(nc(Cc2nc3c(cccc3[nH]2)c4ccccc4)n1)N5CCOCC5;;;;1;;;;Train
CHEMBL2064344;Oc1cc(nc(Cc2nc3ccccc3n2c4ccccc4)n1)N5CCOCC5;;;;44;;;;Ext
CHEMBL2064417;Oc1cc(nc(Cc2oc3ccc(F)c(c4ccccc4)c3n2)n1)N5CCOCC5;;;;371;;;;Train
CHEMBL2064341;Oc1cc(nc(Cc2nc3cc(F)ccc3n2C4CC4)n1)N5CCOCC5;;;;22;;;;Train
CHEMBL2064343;Oc1cc(nc(Cc2nc3ccccc3n2C4CCCCC4)n1)N5CCOCC5;;;;15;;;;Train
CHEMBL2064331;Oc1cc(nc(Cc2nc3cc(F)ccc3[nH]2)n1)N4CCOCC4;;;;2;;;;Test
CHEMBL2064411;Oc1cc(nc(Cc2oc3cccc(c4ccccc4)c3n2)n1)N5CCOCC5;;;;310;;;;Train
CHEMBL2064336;Oc1cc(nc(Cc2nc3cc(Cl)ccc3[nH]2)n1)N4CCOCC4;;;;0;;;;Test
CHEMBL2064335;Oc1cc(nc(Cc2nc3cc(Br)ccc3[nH]2)n1)N4CCOCC4;;;;0;;;;Train
CHEMBL2064333;Cn1c(Cc2nc(O)cc(n2)N3CCOCC3)nc4cc(F)ccc14;;;;31;;;;Ext
CHEMBL2064347;Cn1c(Cc2nc(O)cc(n2)N3CCOCC3)nc4c(cccc14)c5ccccc5;;;;114;;;;Train
CHEMBL2064352;Oc1cc(nc(Cc2oc3ccc(F)cc3n2)n1)N4CCOCC4;;;;160;;;;Train
CHEMBL2064348;Cn1c(Cc2nc(O)cc(n2)N3CCOCC3)nc4cccc(c5ccccc5)c14;;;;39;;;;Train
CHEMBL2064418;Oc1cc(nc(Cc2oc3ccccc3n2)n1)N4CCOCC4;;;;199;;;;Train
CHEMBL2064412;Oc1cc(nc(Cc2oc3c(cccc3n2)c4ccccc4)n1)N5CCOCC5;;;;323;;;;Train
CHEMBL2064330;Cn1c(Cc2nc(O)cc(n2)N3CCOCC3)nc4ccccc14;;;;30;;;;Test
CHEMBL2064340;CCn1c(Cc2nc(O)cc(n2)N3CCOCC3)nc4ccccc14;;;;5;;;;Train
CHEMBL2064413;Oc1cc(nc(Cc2oc3cccc(c4cccs4)c3n2)n1)N5CCOCC5;;;;255;;;;Train
CHEMBL2089267;Fc1ccc(CNc2cccc3[nH]c(nc23)C(F)(F)F)cc1;;;;15;;;;Train
CHEMBL2089272;S(c1ncnc2sccc12)c3nnc4ccccn34;;;;500;;;;Test
CHEMBL2089276;Cc1ccc(cc1)c2cccc(c2)c3nn[nH]n3;;;;73;;;;Train
CHEMBL2089279;C[C@@H]1N[S@@](=O)(=NC1=O)c2cccc(c2)c3cccc(c3)C#N;;;;23;;;;Train
CHEMBL2086528;C=CC(=O)Nc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)C34CC5CC(CC(C5)C3)C4;;;;102;;;;Train
CHEMBL2086522;C=CC(=O)Nc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)C3CC3;;;;65;;;;Train
CHEMBL2086540;C=CC(=O)Nc1ccc(cn1)S(=O)(=O)N2CCN(CC2)C(=O)C3CC3;;;;11;;;;Test
CHEMBL2086480;C=CC(=O)Nc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)C3CCCC3;;;;136;;;;Train
CHEMBL2089387;C=CC(=O)Nc1ccc(cc1)S(=O)(=O)N2CCNCC2;;;;0;;;;Train
CHEMBL2087423;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCN(CC2)C3CCN(CC3)C4CC4;;;;118;;;;Train
CHEMBL2087425;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCN(CCN(C)C)CC2;;;;21;;;;Train
CHEMBL2087428;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCC(CC2)C(C)(C)CN(C)C;;;;136;;;;Train
CHEMBL2087427;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCN(CCCN(C)C)CC2;;;;1;;;;Train
CHEMBL2087432;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCC(CC2)N3CCN(CC3)C(C)C;;;;9;;;;Ext
CHEMBL2087422;CCN1CCC(CC1)N2CCN(CC2)C(=O)COCCN(C)S(=O)(=O)c3c(C)cc(OC)cc3C;;;;17;;;;Train
CHEMBL2087434;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCC(CC2)C3CCN(CC3)C(C)C;;;;30;;;;Train
CHEMBL2087431;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCC(CC2)N3CCN(C)CC3;;;;1;;;;Train
CHEMBL2087433;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCC(CC2)C3CCN(C)CC3;;;;26;;;;Test
CHEMBL2087419;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCN(CC2)[C@H]3CN4CCC3CC4;;;;19;;;;Train
CHEMBL2087426;CCN(CC)CCN1CCN(CC1)C(=O)COCCN(C)S(=O)(=O)c2c(C)cc(OC)cc2C;;;;9;;;;Train
CHEMBL2087418;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCN(CC2)[C@@H]3CN4CCC3CC4;;;;14;;;;Train
CHEMBL2087420;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCN(CC2)C3CC4CCC(C3)N4C;;;;12;;;;Train
CHEMBL2087430;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCC(CC2)C(O)CN(C)C;;;;13;;;;Train
CHEMBL1254771;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N(C)Cc2ccc(cc2)C3=NCCN3;;;;13;;;;Ext
CHEMBL2087435;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCC(CN3CCN(C)CC3)CC2;;;;48;;;;Ext
CHEMBL2087424;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCN(CC3CCN(C)CC3)CC2;;;;15;;;;Train
CHEMBL2087421;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCN(CC2)C3CCN(C)CC3;;;;12;;;;Train
CHEMBL2087429;COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCC(CCN(C)C)CC2;;;;5;;;;Train
CHEMBL2147095;[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(cc3)N4CCSCC4;;;;105,275;;;;Train
CHEMBL2147100;[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(cc3)N4CCOCC4=O;;;;126,4;;;;Test
CHEMBL248729;[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(cc3)N4CCCCC4;;;;89,545;;;;Train
CHEMBL2147096;[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(cc3)N4CCS(=O)CC4;;;;256,8;;;;Train
CHEMBL2147094;[O-][N+](=O)c1oc(cc1)C2=NOC(C2)c3ccc(N4CCOCC4)c(F)c3;;;;188,85;;;;Test
CHEMBL2147098;CN1CCN(C(=O)C1)c2ccc(cn2)C3CC(=NO3)c4oc(cc4)[N+](=O)[O-];;;;349,4;;;;Train
CHEMBL2147097;CN1CCN(C(=O)C1)c2ccc(cc2)C3CC(=NO3)c4oc(cc4)[N+](=O)[O-];;;;294,6;;;;Train
CHEMBL2146750;C[C@@H](C(=O)O)c1ccc([C@H](N2CCC(C)CC2)c3ccc(F)cc3)c(c1)c4ccc(cc4)C(F)(F)F;;;;438;;;;Train
CHEMBL2148052;CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c12)S(=O)(=O)C;;;;52,7;;;;Test
CHEMBL2148049;CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(c4)C(F)(F)F)c(Cl)c3)c12)S(=O)(=O)C;;;;35,65;;;;Train
CHEMBL1614725;CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(c4)C(F)(F)F)c(Cl)c3)c12;;;;59,6;;;;Train
CHEMBL2151820;Oc1cc(nc(CC(=O)Nc2cccc(F)c2)n1)N3CCOCC3;;;;0;;;;Ext
CHEMBL2151919;Cc1cccc(NC(=O)Cc2nc(O)cc(n2)N3CCOCC3)c1;;;;14;;;;Test
CHEMBL2151048;Oc1cc(nc(CC(=O)Nc2ccc(F)c(Br)c2)n1)N3CCOCC3;;;;8;;;;Train
CHEMBL2151923;Oc1cc(nc(CC(=O)Nc2cccc(Br)c2)n1)N3CCOCC3;;;;14;;;;Train
CHEMBL2151924;Oc1cc(nc(CC(=O)Nc2ccc(F)c(F)c2)n1)N3CCOCC3;;;;8;;;;Test
CHEMBL2151925;Cc1cc(NC(=O)Cc2nc(O)cc(n2)N3CCOCC3)ccc1F;;;;6;;;;Train
CHEMBL2151921;Oc1cc(nc(CC(=O)Nc2cccc(Cl)c2)n1)N3CCOCC3;;;;8;;;;Train
CHEMBL2151927;COc1cc(NC(=O)Cc2nc(O)cc(n2)N3CCOCC3)ccc1F;;;;2;;;;Train
CHEMBL2151922;COc1cccc(NC(=O)Cc2nc(O)cc(n2)N3CCOCC3)c1;;;;3;;;;Train
CHEMBL2151821;Oc1cc(nc(CC(=O)Nc2ccc(F)cc2)n1)N3CCOCC3;;;;6;;;;Train
CHEMBL2064419;Oc1cc(nc(CC(=O)Nc2ccccc2)n1)N3CCOCC3;;;;5;;;;Train
CHEMBL2151935;CN1C(=NC(=CC1=O)N2CCOCC2)CC(=O)Nc3ccc(F)c(Cl)c3;;;;66;;;;Test
CHEMBL2151926;Oc1cc(nc(CC(=O)Nc2ccc(F)c(Cl)c2)n1)N3CCOCC3;;;;8;;;;Train
CHEMBL237111;C[C@@H]1CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@@H](OC(=O)C)[C@@](C)([C@@H]5CC[C@@]34C)C(=O)O)[C@@H]2[C@H]1C;;;;28;;;;Train
CHEMBL437964;C[C@@H]1CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@@H](O)[C@@](C)([C@@H]5CC[C@@]34C)C(=O)O)[C@@H]2[C@H]1C;;;;32,66666667;;;;Test
CHEMBL2153174;Fc1cccc(F)c1CS(=O)(=O)N2CCN(CC2)c3ncccc3C(F)(F)F;;;;100;;;;Train
CHEMBL2153173;CCCSc1ncccc1C(=O)NC2CCCCC2;;;;270;;;;Train
CHEMBL2151181;CC#Cc1cncc(c1)c2cc(Cl)c(s2)[C@]3(C)CC(=O)N(C)C(=N3)N;;;;153;;;;Train
CHEMBL2158957;CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@@H]5CCCN5C(=O)[C@@H](N)Cc6ccc(O)cc6)C(=O)N;;;;20,4;;;;Train
CHEMBL2158956;CCCCCCCCC(N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](Cc5ccccc5)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)N;;;;80,8;;;;Ext
CHEMBL2158955;CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](N)Cc5ccc(O)cc5)C(=O)N;;;;14,1;;;;Train
CHEMBL2158958;CCCCCCCCC(N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@@H](Cc6ccccc6)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)N;;;;102;;;;Train
CHEMBL1783734;CS(=O)(=O)c1ccc(cc1Cl)[C@@H](C[C@H]2CCC(=O)C2)C(=O)Nc3cnccn3;;;;16;;;;Train
CHEMBL2165605;Oc1cc(COc2ccc(Cl)cc2)n[nH]1;;;;430;;;;Train
CHEMBL2165603;Oc1cc(CS(=O)(=O)c2cc(Cl)cc(Cl)c2)n[nH]1;;;;270;;;;Train
CHEMBL1939222;Oc1cc(COc2cc(Cl)cc(Cl)c2)n[nH]1;;;;367;;;;Train
CHEMBL2170062;Cc1cc(OCCN2CCOCC2)nn1c3ccc4ccccc4c3;;;;370;;;;Ext
CHEMBL522143;Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@H](CC[C@@]36O)NC(=O)c7ccncc7;;;;40;;;;Train
CHEMBL522201;Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@H](CC[C@@]36O)NC(=O)c7cc8ccccc8cn7;;;;30;;;;Train
CHEMBL1704625;Cc1cc(C)n2ncc(C(=O)Nc3ccc(cc3)C#C)c2n1;;;;40;;;;Train
CHEMBL2170955;OCCNc1cnc2nnn(Cc3ccc4ncccc4c3)c2n1;;;;27,9;;;;Train
CHEMBL2170947;C(Cn1cc(cn1)c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)N6CCCC6;;;;219;;;;Train
CHEMBL2171902;CN1C(=O)c2ccccc2C(=C)c3cc(O)ccc13;;;;200;;;;Ext
CHEMBL2181330;C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5cccc(COC\C=C/COCc2c3)c5;;;;160;;;;Test
CHEMBL2180036;COc1cccc(c1)c2cccc(c2)C3(N=C(C)C(=N3)N)C4CCN(CC4)C(=O)C;;;;30;;;;Train
CHEMBL2180021;COc1ccc(cc1)C2(N=C(N)C(=N2)C(C)C)c3cccc(c3)c4cncnc4;;;;300;;;;Train
CHEMBL2180034;CC1=NC(N=C1N)(C2CCCCC2)c3cccc(c3)c4cccnc4;;;;410;;;;Train
CHEMBL2180030;COc1c(C)cc(cc1C)[C@]2(N=C(C)C(=N2)N)c3cccc(c3)c4cncnc4;;;;220;;;;Train
CHEMBL2180015;CC#Cc1ccnc(c1)c2cc(ccc2O)C3(N=C(C)C(=N3)N)C4CC4;;;;190;;;;Train
CHEMBL2180026;COc1ccc(cc1)C2(N=C(C)C(=N2)N)c3cccc(c3)c4cccnc4;;;;280;;;;Train
CHEMBL2180037;CC#Cc1cncc(c1)c2cccc(c2)C3(N=C(C)C(=N3)N)C4CC4;;;;270;;;;Train
CHEMBL2180027;COc1ccc(cc1C)C2(N=C(C)C(=N2)N)c3cccc(c3)c4cncnc4;;;;190;;;;Test
CHEMBL2180031;COc1c(C)cc(cc1C)C2(N=C(C)C(=N2)N)c3cccc(c3)c4cncc(c4)C#CC;;;;120;;;;Train
CHEMBL2180029;COc1c(C)cc(cc1C)[C@@]2(N=C(C)C(=N2)N)c3cccc(c3)c4cncnc4;;;;210;;;;Train
CHEMBL2180017;CC(C)C1=NC(C)(N=C1N)c2cccc(c2)c3cccnc3;;;;380;;;;Train
CHEMBL2180020;CC(C)C1=NC(N=C1N)(c2ccccc2)c3cccc(c3)c4cncnc4;;;;300;;;;Train
CHEMBL2180018;COc1cccc(c1)c2cccc(c2)C3(C)N=C(C)C(=N3)N;;;;340;;;;Train
CHEMBL2180024;CC1=NC(N=C1N)(c2ccc(F)cc2)c3cccc(c3)c4cccnc4;;;;410;;;;Train
CHEMBL2180019;CC1=NC(C)(N=C1N)c2cccc(c2)c3cccnc3;;;;300;;;;Test
CHEMBL2180023;COc1cccc(c1)c2cccc(c2)C3(N=C(C)C(=N3)N)c4ccncc4;;;;400;;;;Test
CHEMBL2180025;COc1ccc(cc1)C2(N=C(C)C(=N2)N)c3cccc(c3)c4cncnc4;;;;210;;;;Test
CHEMBL2180035;COc1cccc(c1)c2cccc(c2)C3(N=C(C)C(=N3)N)C4CCOCC4;;;;220;;;;Train
CHEMBL2180032;CC1=N[C@](Cc2ccccc2)(N=C1N)c3cccc(c3)c4cncnc4;;;;310;;;;Train
CHEMBL2180028;COc1c(C)cc(cc1C)C2(N=C(C)C(=N2)N)c3cccc(c3)c4cncnc4;;;;280;;;;Train
CHEMBL2180016;CC1(N=C(N)C(=N1)c2ccccc2)c3cccc(c3)c4cccnc4;;;;460;;;;Ext
CHEMBL2180014;CC#Cc1cncc(c1)c2cc(ccc2O)C3(N=C(C)C(=N3)N)C4CC4;;;;20;;;;Train
CHEMBL2178685;CS(=O)(=O)N1Cc2ccc(cc2C1)S(=O)(=O)c3ccc4OCCOc4c3;;;;314;;;;Train
CHEMBL2178689;CC1Cc2cc(ccc2N1S(=O)(=O)C)C(=O)CSc3ccc4OCCOc4c3;;;;26,1;;;;Train
CHEMBL2180814;Oc1ccc(cc1)N2CCN(CC2)S(=O)(=O)c3ccc4NC(=O)Cc4c3;;;;178;;;;Train
CHEMBL2181097;OC(=O)c1ccc(cc1)N2CCN(CC2)S(=O)(=O)c3ccc4NC(=O)Cc4c3;;;;6;;;;Test
CHEMBL1603014;CC(=O)c1ccc(cc1)N2CCN(CC2)S(=O)(=O)c3ccc4NC(=O)Cc4c3;;;;146;;;;Train
CHEMBL2177155;CN1CCN(CC1)S(=O)(=O)c2ccc(c3cnc(N)c(n3)C(=O)Nc4cccnc4)c(c2)C(F)(F)F;;;;370;;;;Test
CHEMBL2177165;Nc1ncc(nc1C(=O)Nc2cccnc2)c3ccc(cc3)S(=O)(=O)N4CCOCC4;;;;270;;;;Train
CHEMBL2177159;COCCNS(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3cccnc3;;;;200;;;;Train
CHEMBL2177168;CN1CCN(CC1)C(=O)c2ccc(cc2)c3cnc(N)c(n3)C(=O)Nc4cccnc4;;;;36;;;;Ext
CHEMBL2177167;CCN(CCN(C)C)S(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3cccnc3;;;;110;;;;Train
CHEMBL2177161;CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3cnc(N)c(n3)C(=O)Nc4cccnc4;;;;140;;;;Train
CHEMBL2177175;COc1ccccc1NC(=O)c2nc(cnc2N)c3ccc(cc3)S(=O)(=O)N4CCN(C)CC4;;;;13;;;;Train
CHEMBL2177177;CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3cnc(N)c(n3)C(=O)Nc4ncns4;;;;180;;;;Train
CHEMBL2177160;Nc1ncc(nc1C(=O)Nc2cccnc2)c3ccc(OCCN4CCCCC4)cc3;;;;46;;;;Train
CHEMBL2177173;CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3cnc(N)c(n3)C(=O)Nc4cnccc4CN5CCCC5;;;;23;;;;Test
CHEMBL2177166;CN(C)CCNS(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3cccnc3;;;;25;;;;Train
CHEMBL2177157;CN1CCN(CC1)S(=O)(=O)c2ccc(cc2F)c3cnc(N)c(n3)C(=O)Nc4cccnc4;;;;110;;;;Test
CHEMBL2177169;CN(C)CCN(C)C(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3cccnc3;;;;19;;;;Train
CHEMBL2182002;CN1CCN(CC1)S(=O)(=O)c2ccc(c(C)c2)c3cnc(N)c(n3)C(=O)Nc4cccnc4;;;;240;;;;Test
CHEMBL2177172;CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3cncc(n3)C(=O)Nc4cccnc4;;;;250;;;;Test
CHEMBL2182001;CN1CCN(CC1)S(=O)(=O)c2ccc(c(F)c2)c3cnc(N)c(n3)C(=O)Nc4cccnc4;;;;110;;;;Train
CHEMBL2177180;COCCCNC(=O)c1nc(cnc1N)c2ccc(cc2)S(=O)(=O)N3CCN(C)CC3;;;;140;;;;Train
CHEMBL2177156;CN1CCN(CC1)S(=O)(=O)c2cc(C)c(cc2C)c3cnc(N)c(n3)C(=O)Nc4cccnc4;;;;380;;;;Train
CHEMBL2177113;NC1=NC(c2cccc(c2)c3cncnc3)(c4ccnc(c4)C5CC5)c6cccc(F)c16;;;;420;;;;Test
CHEMBL2177302;CCN1C=C(C=C(C)C1=O)C2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncc(c5)C#N;;;;51;;;;Train
CHEMBL2177908;NC1=NC(c2ccnc(c2)C(F)(F)F)(c3ccc(F)c(c3)c4cncnc4)c5cccc(F)c15;;;;250;;;;Train
CHEMBL2152903;CCN1C=C(C=C(C)C1=O)[C@@]2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncc(c5)C#CC;;;;110;;;;Train
CHEMBL2177919;CN1C=C(C=C(C)C1=O)C2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncnc5;;;;17;;;;Test
CHEMBL2177912;NC1=NC(c2cccc(c2)c3cncnc3)(c4ccnc(c4)C(F)F)c5cccc(F)c15;;;;270;;;;Train
CHEMBL2177916;COc1ccc(cc1)C2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncnc5;;;;120;;;;Train
CHEMBL2177911;COc1cc(ccn1)C2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncnc5;;;;210;;;;Train
CHEMBL2177906;NC1=NC(c2cccc(c2)c3cncnc3)(c4ccnc(c4)C(F)(F)F)c5cccc(F)c15;;;;390;;;;Test
CHEMBL2177305;CCN1C=C(C=C(C)C1=O)[C@@]2(N=C(N)c3c(F)cccc23)c4cccc(NC(=O)c5ccc(Cl)cn5)c4;;;;93;;;;Train
CHEMBL2177301;CCN1C=C(C=C(C)C1=O)C2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncc(F)c5;;;;98;;;;Train
CHEMBL2177307;NC1=NC(c2ccncc2)(c3cccc(c3)c4cncnc4)c5ccccc15;;;;34;;;;Train
CHEMBL2177309;NC1=NC(c2ccncc2)(c3cccc(c3)c4cncnc4)c5cccc(F)c15;;;;120;;;;Train
CHEMBL2177914;NC1=N[C@@](c2cccc(c2)c3cncnc3)(c4ccnc(c4)C(F)F)c5cc(F)cc(F)c15;;;;370;;;;Test
