,SID,group,label_1a2,label_2c19,label_2c9,label_2d6,label_3a4,smiles,scaffold
4246,4253356,training set,0.0,0.0,0.0,0.0,0.0,S1C([C@H](N2C(=O)[C@H]([C@@H]12)NC(=O)C(N)(C)C)C(=O)O)(C)C,O=C1C[C@H]2SCCN12
4247,4253357,training set,,0.0,0.0,0.0,0.0,S=C(N1CCN(C(CO)(C)C)CC1)Nc2ccccc2,S=C(Nc1ccccc1)N1CCNCC1
4248,4253358,training set,0.0,0.0,0.0,0.0,0.0,O1c2c(OC1)ccc(C(N3CCNCC3)N4CCNCC4)c2,c1cc2c(cc1C(N1CCNCC1)N1CCNCC1)OCO2
4250,4253360,training set,0.0,0.0,0.0,0.0,0.0,O=C(O)CCN1CCN(c2ccc(cc2)C)CC1,c1ccc(N2CCNCC2)cc1
4251,4253361,training set,0.0,0.0,0.0,0.0,0.0,O=C(c1[nH]ccc1)CCC(=O)O,c1cc[nH]c1
4252,4253362,training set,0.0,0.0,0.0,0.0,0.0,Oc1nc(nc(N)c1Cn2cncc2)N,c1cn(Cc2cncnc2)cn1
4253,4253363,training set,,0.0,0.0,0.0,0.0,O=C(NCC(=O)O)c1c(O)cccc1,c1ccccc1
4254,4253364,training set,0.0,0.0,0.0,0.0,0.0,S(=O)(=O)(O)c1c2c(nccc2)c(O)c(/N=N\c3cc4c(cc(S(=O)(=O)O)cc4)cc3)c1,c1ccc2cc(/N=N\c3ccc4cccnc4c3)ccc2c1
4255,4253365,training set,0.0,0.0,0.0,0.0,0.0,S(=O)(=O)(O)CCC,
4256,4253366,training set,0.0,0.0,0.0,0.0,0.0,Oc1c(nccc1)CN(CCO)C,c1ccncc1
4257,4253367,training set,0.0,0.0,0.0,0.0,0.0,O[C@H]1[C@@H]2[C@]([C@@H]3[C@@]([C@]4(C(=CC3)[C@H]5[C@](CC4)(C(=O)O)CC[C@H]([C@@H]5C)C)C)(C1)C)(C[C@@H]([C@H]([C@]2(CO)C)O)O)C,C1=C2C(CCC3CCCC[C@@H]23)C2CC[C@H]3CCCCC3[C@H]2C1
4258,4253368,training set,0.0,0.0,0.0,0.0,0.0,O=C(O)[C@@H](N)Cc1cnncc1,c1ccnnc1
4259,4253369,training set,,0.0,0.0,0.0,0.0,O=C(O)[C@@H](N)Cc1nnccc1,c1ccnnc1
4260,4253370,training set,0.0,0.0,0.0,0.0,0.0,O=C(NCC(=O)O)[C@H](N)CO,
4261,4253371,training set,0.0,0.0,0.0,0.0,0.0,Fc1cc2c([nH]cc2CC(=O)O)cc1,c1ccc2[nH]ccc2c1
4262,4253372,training set,0.0,0.0,0.0,0.0,0.0,[nH]1c2c(c(c1)CCCN(C)C)cccc2,c1ccc2[nH]ccc2c1
4263,4253373,training set,0.0,,0.0,0.0,0.0,S1C([C@H](N2C(=O)[C@H]([C@@H]12)NC(=O)C3(N)CCCCC3)C(=O)O)(C)C,O=C(N[C@@H]1C(=O)N2CCS[C@H]12)C1CCCCC1
4264,4253374,training set,,0.0,0.0,0.0,0.0,O=C(Nc1cc2c(cc1)cccc2)[C@H]3C(=O)CCC3,O=C1CCC[C@H]1C(=O)Nc1ccc2ccccc2c1
4265,4253375,training set,,1.0,,1.0,0.0,Clc1cc(c(O)c(c1)C)CN(Cc2c3c(ccc2O)cccc3)CC,c1ccc(CNCc2cccc3ccccc23)cc1
4266,4253376,training set,,1.0,,1.0,,Brc1c(O)c(CN(Cc2c3c(ccc2O)cccc3)C)cc(Br)c1,c1ccc(CNCc2cccc3ccccc23)cc1
4267,4253377,training set,0.0,0.0,0.0,,0.0,N1(C(NC(NC1=N)=N)(C)C)CCCCc2ccccc2,N=C1NCN(CCCCc2ccccc2)C(=N)N1
4268,4253378,training set,0.0,0.0,0.0,0.0,0.0,Brc1ccc(S(OCC(=O)[C@@H]2[C@]3([C@H]([C@@H]4[C@H]([C@]5(C(CC4)=CC(=O)CC5)C)CC3)CC2)C)(=O)=O)cc1,O=C1C=C2CC[C@@H]3[C@@H]4CC[C@H](C(=O)COS(=O)(=O)c5ccccc5)C4CC[C@H]3C2CC1
4269,4253379,training set,0.0,1.0,,0.0,0.0,S(=O)(=O)(O)c1cc2c(c(/N=C\c3c(O)cccc3)c1)c(O)cc(S(=O)(=O)O)c2,C(=N\c1cccc2ccccc12)\c1ccccc1
4270,4253380,training set,,0.0,0.0,,0.0,N1(C[C@H]2CC[C@@H](C1)CC2)C3c4c(-c5c3cccc5)cccc4,c1ccc2c(c1)-c1ccccc1C2N1C[C@H]2CC[C@H](CC2)C1
4271,4253381,training set,1.0,,0.0,,0.0,o1c2c(c3c1cccc3)cc(cc2)CCCN,c1ccc2c(c1)oc1ccccc12
4272,4253382,training set,,0.0,0.0,0.0,0.0,S(=O)(=O)(O)c1c(/N=N\c2c(N)cccc2)c(O)c3c(c1)cc(S(=O)(=O)O)cc3O,c1ccc(/N=N\c2ccc3ccccc3c2)cc1
4273,4253383,training set,0.0,0.0,0.0,0.0,0.0,O=C(O)CCCc1c(N)cccc1,c1ccccc1
4274,4253384,training set,0.0,0.0,0.0,0.0,0.0,P(O[C@H]([C@H](N)C(=O)O)C)(=O)(O)O,
4275,4253385,training set,,0.0,0.0,1.0,0.0,Clc1c(OC[C@H](O)CN2CCCC2)ccc(Cl)c1,c1ccc(OCCCN2CCCC2)cc1
4276,4253386,training set,0.0,0.0,0.0,,0.0,O(c1ccccc1)C[C@@H](O)CN2CCCCC2,c1ccc(OCCCN2CCCCC2)cc1
4277,4253387,training set,,,0.0,0.0,0.0,O(c1c2c(ccc1)cccc2)C[C@H](O)CN3CCOCC3,c1ccc2c(OCCCN3CCOCC3)cccc2c1
4278,4253388,training set,0.0,0.0,0.0,,0.0,n1c(N)c(c(nc1N)N)CCCCc2ccccc2,c1ccc(CCCCc2cncnc2)cc1
4279,4253389,training set,,,0.0,0.0,0.0,Clc1cc(-c2oc(nn2)-c3c4c(ccc3)cccc4)ccc1Cl,c1ccc(-c2nnc(-c3cccc4ccccc34)o2)cc1
4280,4253390,training set,1.0,0.0,0.0,0.0,0.0,Brc1cc2c([C@H]([C@H]3c4c(C(=O)c5c3cccc5)cc(Br)cc4)c6c(C2=O)cccc6)cc1,O=C1c2ccccc2C(C2c3ccccc3C(=O)c3ccccc32)c2ccccc21
4281,4253391,training set,0.0,0.0,0.0,0.0,0.0,O1[C@H](n2c3ncnc([N+](C)(C)C)c3nc2)C[C@@H]([C@H]1CO)O,c1ncc2ncn([C@@H]3CCCO3)c2n1
4282,4253392,training set,0.0,0.0,,0.0,0.0,O=C(O)[C@@H](N)Cc1ncccn1,c1cncnc1
4283,4253394,training set,0.0,0.0,0.0,0.0,0.0,P(OCC(=O)[C@@]1([C@]2(C[C@H]([C@]3(F)[C@@H]([C@@H]2C[C@@H]1C)CCC=4[C@]3(C=CC(=O)C4)C)O)C)O)(=O)(O)O,O=C1C=CC2C(=C1)CC[C@H]1C2CCC2CCC[C@H]21
4284,4253395,training set,0.0,0.0,0.0,1.0,0.0,o1c2c(c3c1cccc3)ccc(c2)[C@H](O)C[C@H]4NCCCC4,c1ccc2c(c1)oc1cc(CC[C@@H]3CCCCN3)ccc12
4285,4253396,training set,1.0,0.0,,0.0,0.0,S=C1NC(=O)C(=Cc2c3c(cc4c(c3)cccc4)ccc2)C(=O)N1,O=C1NC(=S)NC(=O)C1=Cc1cccc2cc3ccccc3cc12
4286,4253397,training set,0.0,0.0,0.0,0.0,0.0,SC([C@H](N=C(C)C)C(=O)O)(C)C,
4287,4253398,training set,,0.0,,0.0,,o1c(nnc1-c2ccc(cc2)C)-c3cc4c(cc3)cccc4,c1ccc(-c2nnc(-c3ccc4ccccc4c3)o2)cc1
4288,4253399,training set,0.0,,0.0,,0.0,O=C(O)C1(CC(=O)O)CCCCC1,C1CCCCC1
4289,4253400,training set,,0.0,0.0,,0.0,O1CCN(CCCN2CCC3(CCC(C(C)(C)C)CC3)CC2)CC1,C1CCC2(CC1)CCN(CCCN1CCOCC1)CC2
4290,4253401,training set,0.0,0.0,0.0,0.0,0.0,O1CC[N+](CCC[N@+]2(C[C@H]3[C@@H]([C@H]4CC[C@@H]3C=C4)C2)C)(CC1)C,C1=C[C@H]2CC[C@@H]1[C@H]1C[NH+](CCC[NH+]3CCOCC3)C[C@H]21
4291,4253402,training set,0.0,0.0,0.0,0.0,0.0,Clc1nc2n(cnc2c(n1)N)[C@H]3O[C@@H]4[C@H]([C@@H]3OS(=O)(=O)C)OC(OC4)(C)C,c1ncc2ncn([C@@H]3C[C@@H]4OCOC[C@@H]4O3)c2n1
4292,4253403,training set,1.0,,,0.0,0.0,s1c(c(nc1NC(OCC)=O)-c2ccccc2)C,c1ccc(-c2cscn2)cc1
4293,4253405,training set,,0.0,,0.0,,S1(=O)(=O)C=C(N/N=C\c2cc(N(=O)=O)ccc2)C=C1,O=S1(=O)C=CC(N/N=C\c2ccccc2)=C1
4294,4253406,training set,,0.0,0.0,0.0,0.0,S=C1NCCCN2CCN(CC2)CCCNC(=S)NN=C(C=NNC(=S)NCCCN3CCN(CC3)CCCNC(=S)NN=CC(=NN1)C)C,S=C1NCCCN2CCN(CCCNC(=S)NN=CC=NNC(=S)NCCCN3CCN(CCCNC(=S)NN=CC=NN1)CC3)CC2
4295,4253407,training set,0.0,0.0,0.0,0.0,0.0,O(c1ncccc1)CCN,c1ccncc1
4296,4253409,training set,1.0,1.0,1.0,,1.0,O[C@@H](C=1c2c(/C(/C1)=C/c3ccncc3)cccc2)c4ccncc4,C1=C(Cc2ccncc2)c2ccccc2/C1=C/c1ccncc1
4297,4253412,training set,0.0,0.0,0.0,0.0,0.0,S(=O)(=O)(N)c1ccc(N2Cc3c(NC2)nc(nc3O)N)cc1,c1ccc(N2CNc3ncncc3C2)cc1
4298,4253413,training set,0.0,0.0,0.0,0.0,0.0,Sc1nc2NCN(Cc2c(O)n1)CCCN3CCOCC3,c1ncc2c(n1)NCN(CCCN1CCOCC1)C2
4299,4253414,training set,,0.0,0.0,0.0,0.0,Oc1nc(nc2NCN(Cc21)CCCN3CCOCC3)N,c1ncc2c(n1)NCN(CCCN1CCOCC1)C2
4300,4253415,training set,1.0,,0.0,,0.0,O=C(O)CCCc1cc2c3c(ccc2cc1)cccc3,c1ccc2c(c1)ccc1ccccc12
4301,4253419,training set,1.0,1.0,1.0,,1.0,S(SCc1ccncc1)Cc2ccncc2,c1cc(CSSCc2ccncc2)ccn1
4302,4253421,training set,0.0,0.0,0.0,0.0,,O1C(=C([C@@H]2[C@]3([C@@H]([C@@H]4[C@H]([C@@]5([C@@H](CC4)C[C@H](CC5)O)C)CC3=O)C[C@H]21)C)C)CC[C@@H](CO)C,O=C1C[C@H]2C3CCCC[C@@H]3CC[C@@H]2[C@H]2C[C@H]3OC=C[C@@H]3C12
4303,4253422,training set,0.0,0.0,0.0,,0.0,N1(c2ccccc2)CCN(CC1)CCCN,c1ccc(N2CCNCC2)cc1
4304,4253423,training set,0.0,0.0,0.0,0.0,0.0,ClC(Cl)(Cl)C(N1CCN(CC1)c2ccccc2)N3CCN(CC3)c4ccccc4,c1ccc(N2CCN(CN3CCN(c4ccccc4)CC3)CC2)cc1
4305,4253424,training set,0.0,0.0,0.0,0.0,0.0,O1[C@H]2[C@@H]([C@]3([C@@H](C4=C([C@]5(C(=C[C@H]4[C@H]6C7=C([C@@]8(C(=C6)C[C@@H](OC(=O)C)CC8)C)CC[C@]9([C@@H]7C[C@H]%10[C@@H]9[C@@H]([C@@]%11(OC[C@H](CC%11)C)O%10)C)C)C[C@H](OC(=O)C)CC5)C)CC3)C2)C)[C@H]([C@@]1%12OC[C@H](CC%12)C)C,C1=C2CCCCC2C2=C([C@H]3C[C@@H]4O[C@@]5(CCCCO5)C[C@@H]4C3CC2)[C@@H]1[C@@H]1C=C2CCCCC2C2=C1[C@H]1C[C@H]3O[C@@]4(CCCCO4)C[C@@H]3C1CC2
4306,4253425,training set,,,0.0,0.0,0.0,s1cc(nc1-c2ccccc2)[C@@H]3[C@@]4(C[C@@H]([C@@H]5[C@@H]([C@H]4CC3)CCC=6[C@]5(CCC(=O)C6)C)O)C,O=C1C=C2CC[C@H]3[C@@H](CCC4[C@@H](c5csc(-c6ccccc6)n5)CC[C@@H]43)C2CC1
4307,4253427,training set,0.0,0.0,0.0,0.0,0.0,O1c2c3c(cc(OC)c2O)CCN(C)[C@@H]3Cc4ccc(Oc5cc(C[C@@H]6c7c(cc(OC)c1c7)CCN6C)ccc5O)cc4,c1cc2cc(c1)Oc1ccc(cc1)C[C@H]1NCCc3cccc(c31)Oc1ccc3c(c1)[C@@H](C2)NCC3
4308,4253428,training set,0.0,0.0,0.0,0.0,0.0,O(C(=O)CCCC(=O)O)C,
4309,4253429,training set,0.0,0.0,0.0,0.0,0.0,O=C1N(C(=O)c2c1cccc2)[C@H](C(=O)O)Cc3nc[nH]c3,O=C1c2ccccc2C(=O)N1CCc1c[nH]cn1
4310,4253430,training set,0.0,0.0,0.0,0.0,0.0,P1(O[C@H]2[C@H]([C@H](O[C@H]2CO1)n3c4ncnc(N)c4nc3)O)(=O)O,O=[PH]1OC[C@@H]2O[C@H](n3cnc4cncnc43)C[C@@H]2O1
4311,4253431,training set,0.0,0.0,0.0,0.0,0.0,S1[C@H](SCCCCCCCCCCS[C@H](SCCCCCCCCCC1)c2cc(OC)c(O)cc2)c3cc(OC)c(O)cc3,c1ccc([C@H]2SCCCCCCCCCCS[C@@H](c3ccccc3)SCCCCCCCCCCS2)cc1
4312,4253432,training set,0.0,1.0,1.0,0.0,1.0,Clc1c(N(S(=O)(=O)c2ccccc2)S(=O)(=O)c3ccccc3)ccc(N)c1,O=S(=O)(c1ccccc1)N(c1ccccc1)S(=O)(=O)c1ccccc1
4313,4253433,training set,0.0,0.0,0.0,0.0,0.0,O=C1N(C(=O)c2c1cccc2)c3ccc(cc3)Cc4ccc(N5C(=O)c6c(C5=O)cccc6)cc4,O=C1c2ccccc2C(=O)N1c1ccc(Cc2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1
4314,4253434,training set,0.0,0.0,0.0,0.0,0.0,O=C(O)C(Cc1c(-c2ccccc2)cccc1)C(=O)O,c1ccc(-c2ccccc2)cc1
4315,4253435,training set,0.0,0.0,0.0,0.0,0.0,S(=O)(=O)(Cc1c(O)nc(O)nc1)Cc2c(O)nc(O)nc2,O=S(=O)(Cc1cncnc1)Cc1cncnc1
4316,4253436,training set,,0.0,0.0,0.0,0.0,N1(C(N(CCC1)[C@@H](c2ccc(N(C)C)cc2)C#N)c3ccc(N(C)C)cc3)[C@H](c4ccc(N(C)C)cc4)C#N,c1ccc(CN2CCCN(Cc3ccccc3)C2c2ccccc2)cc1
4317,4253437,training set,,0.0,0.0,0.0,,O1[C@@]2(N(C(=O)[C@]1(NC(=O)[C@@H]3C=C4c5c6c(C[C@@H]4N(C3)C)c[nH]c6ccc5)C)[C@@H](C(=O)N7CCC[C@H]27)Cc8ccccc8)O,O=C(NC1OC2[C@H]3CCCN3C(=O)[C@@H](Cc3ccccc3)N2C1=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2NC1
4318,4253438,training set,0.0,0.0,0.0,,0.0,o1c(C(=O)CC[N@@+]2(C[C@@H]3CC[C@H](C2)CC3)C)ccc1,O=C(CC[NH+]1C[C@H]2CC[C@H](CC2)C1)c1ccco1
4319,4253439,training set,0.0,0.0,0.0,1.0,0.0,N1(C[C@H]2CC[C@@H](C1)CC2)CCC(c3ccccc3)c4ccccc4,c1ccc(C(CCN2C[C@H]3CC[C@H](CC3)C2)c2ccccc2)cc1
4320,4253440,training set,0.0,,0.0,0.0,0.0,O=C(CC[N@@+]1(C[C@H]2C[C@@H](CC1)CC2)C)c3ccccc3,O=C(CC[NH+]1CC[C@H]2CC[C@H](C2)C1)c1ccccc1
4321,4253441,training set,,0.0,0.0,,0.0,s1c(C(=O)CCN2C[C@@H]3CC[C@H](C2)CC3)ccc1,O=C(CCN1C[C@H]2CC[C@H](CC2)C1)c1cccs1
4322,4253443,training set,,0.0,0.0,0.0,0.0,O=C(Nc1nc2c([nH]1)cccc2)[C@@H]3[C@@H](C(=O)O)CCCC3,O=C(Nc1nc2ccccc2[nH]1)C1CCCCC1
4323,4253444,training set,0.0,0.0,0.0,0.0,0.0,[N@+]1(CC[C@]2(CC1)C[C@H](CCC2)C)(CCC[N+](C)(C)C)C,C1CCC2(CC1)CC[NH2+]CC2
4324,4253449,training set,0.0,,0.0,0.0,0.0,O1[C@H]2[C@@H]([C@]3([C@@H]([C@H]4[C@@H]([C@]5(C(=CC4)C[C@@H](OC(=O)C)CC5)C)CC3)C2)C)[C@H]([C@]16NC[C@H](CC6)C)C,C1=C2CCCCC2[C@H]2CCC3[C@H](C[C@H]4O[C@]5(CCCCN5)C[C@H]34)[C@@H]2C1
4325,4253450,training set,0.0,0.0,0.0,1.0,,O(CCN1CCCCC1)[C@@]2(c3ccccc3)CC(C[C@@H](C2)C)(C)C,c1ccc(C2(OCCN3CCCCC3)CCCCC2)cc1
4326,4253451,training set,0.0,,0.0,0.0,0.0,S(N1C(=O)[C@@H](CC1=O)CC)C[C@H](N)C(=O)O,O=C1CCC(=O)N1
4327,4253452,training set,0.0,0.0,0.0,,0.0,O/N=C\1/C(=N\O)/CCCCN(CCCC1)CC,N=C1CCCCNCCCCC1=N
4328,4253453,training set,0.0,0.0,0.0,0.0,0.0,O=C(O)CN(Cc1c2c([nH]c1)cccc2)C,c1ccc2[nH]ccc2c1
4329,4253454,training set,0.0,0.0,0.0,0.0,0.0,S(C(=O)c1ccccc1)C[C@H](N)C(=O)O,c1ccccc1
4330,4253455,training set,,0.0,0.0,0.0,0.0,Oc1nc(nc(c1/N=N\c2ccccc2)C(=O)O)N,c1ccc(/N=N\c2cncnc2)cc1
4331,4253458,training set,,0.0,0.0,,0.0,N(CCCN=C=NCC)(C)C,
4332,4253460,training set,0.0,0.0,,0.0,0.0,O=C\1[C@@]2([C@@H]([C@@H]3[C@H](c4c(CC3)cc(OCC(=C)C)cc4)CC2)C/C1=N\O)C,N=C1C[C@H]2C(CC[C@H]3c4ccccc4CC[C@@H]32)C1=O
4333,4253461,training set,0.0,0.0,0.0,0.0,0.0,O(c1c(OC)ccc(c1)C[N+](N)(C)C)C,c1ccccc1
4334,4253462,training set,0.0,0.0,0.0,0.0,0.0,[N+](/N=C(/c1cc(c(cc1)C)C)\C)(C)(C)C,c1ccccc1
4335,4253463,training set,0.0,0.0,0.0,0.0,0.0,Sc1nc(nc(c1CCC(=O)O)C)N,c1cncnc1
4337,4253465,training set,,0.0,0.0,0.0,0.0,S(CC[C@H](N)C(=O)O)CC,
4338,4253467,training set,,0.0,,0.0,0.0,O=C1c2c(C(=O)C(O)=C1Cc3ccccc3)cccc2,O=C1C=C(Cc2ccccc2)C(=O)c2ccccc21
4339,4253468,training set,,1.0,,,0.0,O(C1=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)CC(=O)O,O=C1C=CC(=O)c2ccccc21
4340,4253469,training set,0.0,,0.0,0.0,0.0,OC(C(C)C)(C(C)C)C(C)C,
4341,4253470,training set,0.0,0.0,0.0,0.0,0.0,Br[C@H]1[C@H]([C@@H]2[C@H]([C@H]([C@@H]1C2)C(=O)O)C(=O)O)N3C(=O)CCC3=O,O=C1CCC(=O)N1[C@@H]1C[C@@H]2CC[C@@H]1C2
4342,4253471,training set,,0.0,0.0,0.0,0.0,S(Cc1ncccc1)CC(=O)C,c1ccncc1
4343,4253473,training set,1.0,,0.0,0.0,,S(c1nc2c(c3c1cccc3)cccc2)CC(=O)c4ccccc4,O=C(CSc1nc2ccccc2c2ccccc12)c1ccccc1
4344,4253474,training set,0.0,0.0,0.0,0.0,0.0,O=C(Nc1ccccc1)CC(C(=O)O)(C)C,c1ccccc1
4345,4253475,training set,0.0,0.0,0.0,0.0,0.0,Oc1c(/C=N\[C@H](C(=O)O)C(C)C)cccc1,c1ccccc1
4346,4253477,training set,0.0,1.0,0.0,,,N=C(c1c(Cc2ccccc2)cccc1)c3c(ccc(c3)C)C,N=C(c1ccccc1)c1ccccc1Cc1ccccc1
4347,4253478,training set,,1.0,,,0.0,N=C(c1cc2c(cc1)cccc2)c3c(Cc4ccccc4)cccc3,N=C(c1ccc2ccccc2c1)c1ccccc1Cc1ccccc1
4348,4253479,training set,0.0,1.0,0.0,0.0,,N=C(c1c(Cc2c3c(ccc2)cccc3)cccc1)c4c(cccc4)C,N=C(c1ccccc1)c1ccccc1Cc1cccc2ccccc12
4349,4253480,training set,0.0,1.0,,0.0,,N=C(c1c(Cc2c3c(ccc2)cccc3)cccc1)c4cc(cc(c4)C)C,N=C(c1ccccc1)c1ccccc1Cc1cccc2ccccc12
4350,4253481,training set,,1.0,0.0,,,N=C(c1c2c(c(cc1)C)cccc2)c3c(Cc4c5c(ccc4)cccc5)cccc3,N=C(c1ccccc1Cc1cccc2ccccc12)c1cccc2ccccc12
4351,4253487,training set,0.0,,0.0,0.0,0.0,O=C(O)[C@H]1N(Cc2c3c([nH]c2)cccc3)CCC1,c1ccc2c(CN3CCCC3)c[nH]c2c1
4352,4253488,training set,,0.0,,1.0,0.0,Oc1cc2c(cc1O)ccnc2Cc3cc(O)c(O)cc3,c1ccc(Cc2nccc3ccccc23)cc1
4353,4253489,training set,0.0,0.0,0.0,0.0,0.0,O1[C@]23[C@@]4([C@H]([C@@]1(O)[C@@H](O)CC4)CC[C@@H]2[C@@]5([C@](O)(C3)[C@@H]6[C@@](O)([C@@H](C5)O)[C@@](O)([C@H]7N(C6)C[C@@H](CC7)C)C)O)C,C1CC2O[C@@]34CC5C(CCC6C[C@@H]7CCCCN7C[C@@H]65)[C@H]3CC[C@@H]2C4C1
4354,4253490,training set,0.0,0.0,0.0,0.0,0.0,O1[C@H](n2c3nc(nc(OC)c3nc2)N)C[C@@H]([C@H]1CO)O,c1ncc2ncn([C@@H]3CCCO3)c2n1
4355,4253491,training set,,0.0,0.0,,0.0,N1(c2c(C(c3c1cccc3)(C)C)cccc2)CCCN(C)C,c1ccc2c(c1)Cc1ccccc1N2
4356,4253492,training set,0.0,0.0,0.0,,1.0,FC(F)(F)c1cc(c(C(O)(c2ccccc2)c3ccccc3)cc1)CN(C)C,c1ccc(C(c2ccccc2)c2ccccc2)cc1
4357,4253493,training set,,0.0,0.0,0.0,0.0,O1[C@](O)(c2ccccc2)C[N+](CC1)(C)C,c1ccc(C2C[NH2+]CCO2)cc1
4358,4253494,training set,,0.0,0.0,,0.0,S(O[C@@H]1[C@H]2CCN(C1)CC2)(=O)(=O)c3ccc(cc3)C,O=S(=O)(O[C@H]1CN2CCC1CC2)c1ccccc1
4359,4253495,training set,0.0,0.0,0.0,,0.0,Oc1nc(nc(c1CCCN)-c2ccccc2)N,c1ccc(-c2ccncn2)cc1
4360,4253496,training set,0.0,0.0,0.0,0.0,0.0,O([C@@H]1[C@H](O)[C@@H](O)[C@H]([C@H]([C@@H]1O)O)O)[C@H]2O[C@H]([C@@H](NC(=N)C(=O)O)C[C@@H]2N)C,C1CCC(O[C@@H]2CCCCO2)CC1
4361,4253498,training set,0.0,0.0,0.0,0.0,0.0,O(c1c(N(=O)=O)c(cc(OC)c1OC)C(=O)O)C,c1ccccc1
4362,4253499,training set,0.0,0.0,0.0,0.0,0.0,S(=O)(=O)(N=S(C)C)c1ccc(NC(=O)C)cc1,c1ccccc1
4363,4253500,training set,0.0,0.0,0.0,0.0,0.0,O1[C@](OCC[C@@H](C(=O)C)C)([C@H](CC1)C)C,C1CCOC1
4364,4253501,training set,,1.0,0.0,,0.0,S(CCCN1C(=O)c2c(C1=O)cccc2)c3ccccc3,O=C1c2ccccc2C(=O)N1CCCSc1ccccc1
4365,4253502,training set,0.0,0.0,0.0,0.0,0.0,Br[C@@H](Cc1cc(C(=O)O)ccc1)C(=O)O,c1ccccc1
4366,4253503,training set,,0.0,0.0,0.0,0.0,n1c2c(ccc1/C=N\c3cc4c(nc3)cccc4)cccc2,C(=N\c1cnc2ccccc2c1)\c1ccc2ccccc2n1
4367,4253504,training set,0.0,0.0,0.0,0.0,0.0,Oc1c(nc(nc1O)C)CN2CCCCC2,c1cc(CN2CCCCC2)ncn1
4368,4253505,training set,,0.0,0.0,0.0,0.0,S(CCON1C(=O)c2c(C1=O)cccc2)C(=N)N,O=C1NC(=O)c2ccccc21
4369,4253506,training set,0.0,0.0,0.0,0.0,0.0,n1c(nc(nc1N)N)CCCc2nc(nc(n2)N)N,c1ncnc(CCCc2ncncn2)n1
4370,4253508,training set,,0.0,0.0,0.0,0.0,O=C(O)Cc1nc(nc(n1)N)N,c1ncncn1
4371,4253509,training set,0.0,0.0,0.0,0.0,0.0,S(c1ncccc1N(=O)=O)CC(=O)O,c1ccncc1
4372,4253510,training set,1.0,0.0,0.0,0.0,0.0,O=NN(c1ccc(/C=C\c2c3c(ncc2)cccc3)cc1)C,C(=C\c1ccnc2ccccc12)\c1ccccc1
4373,4253511,training set,,0.0,0.0,0.0,0.0,O=C(O)[C@H]1N(Cc2c3c(c4c(c2)cccc4)cccc3)CCC1,c1ccc2c(c1)cc(CN1CCCC1)c1ccccc12
4374,4253512,training set,0.0,0.0,0.0,0.0,0.0,O1[C@H]2N(C[C@H]1CCC2)CCCN3CCOCC3,C1C[C@@H]2CN(CCCN3CCOCC3)[C@@H](C1)O2
4375,4253514,training set,0.0,0.0,0.0,0.0,0.0,s1nnc(c1-c2nnsc2)C(=O)O,c1snnc1-c1cnns1
4376,4253515,training set,,,0.0,,0.0,[o+]1c2c(nc3c1cc(N(C)C)cc3)c(cc(O)c2O)C(=O)O,c1ccc2[o+]c3ccccc3nc2c1
4377,4253517,training set,0.0,0.0,0.0,0.0,0.0,O1[C@H](n2c3ncnc(N)c3nc2)C[C@@H]([C@H]1CN)O,c1ncc2ncn([C@@H]3CCCO3)c2n1
4378,4253518,training set,,1.0,0.0,0.0,1.0,Clc1c(CC(=O)c2c3c([nH]c2)cccc3)cc(OC)c(OC)c1,O=C(Cc1ccccc1)c1c[nH]c2ccccc12
4379,4253519,training set,,0.0,0.0,0.0,0.0,S(=O)(=O)(N)c1ccc(NC2(C(=O)O)CCCC2)cc1,c1ccc(NC2CCCC2)cc1
4380,4253520,training set,,0.0,0.0,0.0,0.0,N(c1ccc(-c2ccc(NC3(CCCC3)C#N)cc2)cc1)C4(CCCC4)C#N,c1cc(-c2ccc(NC3CCCC3)cc2)ccc1NC1CCCC1
4381,4253521,training set,,0.0,0.0,,0.0,O=C(O)CN(c1ccccc1)CC(=O)O,c1ccccc1
4382,4253522,training set,,,,0.0,,O=C1N(C(=O)c2c1c(N(=O)=O)ccc2)c3[nH]ncn3,O=C1c2ccccc2C(=O)N1c1ncn[nH]1
4383,4253523,training set,0.0,0.0,0.0,0.0,0.0,O=C(O)c1c(NCCC(=O)O)cccc1,c1ccccc1
4384,4253524,training set,,0.0,0.0,0.0,0.0,S(=O)(=O)(Nc1c(C(=O)c2cc(c(cc2)C)C)cccc1)c3ccc(cc3)C,O=C(c1ccccc1)c1ccccc1NS(=O)(=O)c1ccccc1
4385,4253525,training set,0.0,0.0,0.0,0.0,0.0,O=CNc1[nH]ncn1,c1nc[nH]n1
4386,4253526,training set,1.0,0.0,0.0,0.0,0.0,s1c2c(c3c1cccc3)cc(cc2)C(=O)CCC(=O)O,c1ccc2c(c1)sc1ccccc12
4387,4253529,training set,0.0,0.0,0.0,0.0,0.0,Oc1nc(nc2NC[C@H](Nc21)CCNc3ccc(cc3)C(=O)O)N,c1ccc(NCC[C@@H]2CNc3ncncc3N2)cc1
