accession_number,description,similar_entities,author,title,journal_reference,pmid,group,subgroup
FAUJ880112,"Negative charge (Fauchere et al., 1988)","[('RICJ880106', 0.849)]","Fauchere, J.L., Charton, M., Kier, L.B., Verloop, A. and Pliska, V.",Amino acid side chain parameters for correlation studies in biology and pharmacology,"Int. J. Peptide Protein Res. 32, 269-278 (1988)",PMID:3209351,indices,"H,Hydrophobicity"
FAUJ880113,"pK-a(RCOOH) (Fauchere et al., 1988)","[('BLAM930101', 0.839), ('ONEK900101', 0.82), ('BUNA790101', 0.818), ('ROBB760103', 0.802), ('MUNV940102', -0.826), ('MUNV940101', -0.836), ('ONEK900102', -0.839), ('GEOR030109', -0.848)]","Fauchere, J.L., Charton, M., Kier, L.B., Verloop, A. and Pliska, V.",Amino acid side chain parameters for correlation studies in biology and pharmacology,"Int. J. Peptide Protein Res. 32, 269-278 (1988) (Pro missing)",PMID:3209351,indices,"A,alpha and turn propensities"
FINA770101,"Helix-coil equilibrium constant (Finkelstein-Ptitsyn, 1977)","[('SUEM840101', 0.883), ('AURR980114', 0.875), ('AURR980113', 0.849), ('PTIO830101', 0.826), ('KANM800103', 0.823), ('QIAN880107', 0.814), ('QIAN880106', 0.81), ('MAXF760101', 0.81), ('AURR980109', 0.802)]","Finkelstein, A.V. and Ptitsyn, O.B.",Theory of protein molecule self-organization. II. A comparison of calculated thermodynamic parameters of local secondary structures with experiments,"Biopolymers 16, 497-524 (1977) (Pro 0.096)",PMID:843599,indices,"A,alpha and turn propensities"
FINA910101,"Helix initiation parameter at posision i-1 (Finkelstein et al., 1991)","[('MONM990201', 0.812), ('AURR980104', 0.804)]","Finkelstein, A.V., Badretdinov, A.Y. and Ptitsyn, O.B.",Physical reasons for secondary structure stability: alpha-helices in short peptides,"Proteins 10, 287-299 (1991) In these four data, each of Arg, Asp, Glu, His and Lys has two value. See comment lines. Arg pH < 12 ( 1 when pH > 12 ) Asp pH > 4 ( 1.7 when pH < 4 ) Glu pH > 4.3 ( 1 when pH < 4.3 ) His pH > 6.3 ( 0.7 when pH < 6.3 ) Lys pH < 10.5 ( 1 when pH > 10.5 )",PMID:1946339,indices,"H,Hydrophobicity"
FINA910102,"Helix initiation parameter at posision i,i+1,i+2 (Finkelstein et al., 1991)","[('ONEK900102', 0.964), ('MUNV940105', 0.911), ('AVBF000104', 0.901), ('MUNV940104', 0.896), ('GEOR030109', 0.89), ('TANS770104', 0.876), ('ISOY800104', 0.844), ('CHOP780213', 0.832), ('ROBB760104', -0.844), ('ONEK900101', -0.92), ('BLAM930101', -0.961), ('BUNA790101', -0.992)]","Finkelstein, A.V., Badretdinov, A.Y. and Ptitsyn, O.B.",Physical reasons for secondary structure stability: alpha-helices in short peptides,"Proteins 10, 287-299 (1991) In these four data, each of Arg, Asp, Glu, His and Lys has two value. See comment lines. Arg pH < 12 ( 1 when pH > 12 ) Asp pH > 4 ( 1 when pH < 4 ) Glu pH > 4.3 ( 1 when pH < 4.3 ) His pH > 6.3 ( 0.7 when pH < 6.3 ) Lys pH < 10.5 ( 1 when pH > 10.5 ) (Pro !)",PMID:1946339,indices,"A,alpha and turn propensities"
FINA910103,"Helix termination parameter at posision j-2,j-1,j (Finkelstein et al., 1991)","[('ZIMJ680104', 0.805)]","Finkelstein, A.V., Badretdinov, A.Y. and Ptitsyn, O.B.",Physical reasons for secondary structure stability: alpha-helices in short peptides,"Proteins 10, 287-299 (1991) In these four data, each of Arg, Asp, Glu, His and Lys has two value. See comment lines. Arg pH < 12 ( 1 when pH > 12 ) Asp pH > 4 ( 1 when pH < 4 ) Glu pH > 4.3 ( 1 when pH < 4.3 ) His pH > 6.3 ( 1.7 when pH < 6.3 ) Lys pH < 10.5 ( 1 when pH > 10.5 )",PMID:1946339,indices,"H,Hydrophobicity"
FINA910104,"Helix termination parameter at posision j+1 (Finkelstein et al., 1991)",[],"Finkelstein, A.V., Badretdinov, A.Y. and Ptitsyn, O.B.",Physical reasons for secondary structure stability: alpha-helices in short peptides,"Proteins 10, 287-299 (1991) In these four data, each of Arg, Asp, Glu, His and Lys has two value. See comment lines. Arg pH < 12 ( 1 when pH > 12 ) Asp pH > 4 ( 1 when pH < 4 ) Glu pH > 4.3 ( 1 when pH < 4.3 ) His pH > 6.3 ( 1.7 when pH < 6.3 ) Lys pH < 10.5 ( 1 when pH > 10.5 )",PMID:1946339,indices,"H,Hydrophobicity"
GARJ730101,"Partition coefficient (Garel et al., 1973)","[('LEVM760107', 0.86), ('NOZY710101', 0.821), ('OOBM850102', -0.877), ('WEBA780101', -0.924)]","Garel, J.P., Filliol, D. and Mandel, P.","Coefficients de partage d'aminoacides, nucleobases, nucleosides et nucleotides dans un systeme solvant salin","J. Chromatogr. 78, 381-391 (1973)",PMID:4700470,indices,"P,Physicochemical properties"
GEIM800101,"Alpha-helix indices (Geisow-Roberts, 1980)","[('PALJ810101', 0.951), ('LEVM780104', 0.95), ('KANM800101', 0.942), ('TANS770101', 0.918), ('CHOP780201', 0.912), ('NAGK730101', 0.912), ('PRAM900102', 0.912), ('LEVM780101', 0.912), ('PALJ810102', 0.91), ('GEIM800104', 0.903), ('ISOY800101', 0.903), ('ROBB760101', 0.897), ('MAXF760101', 0.895), ('KANM800103', 0.881), ('RACS820108', 0.88), ('CRAJ730101', 0.87), ('BURA740101', 0.858), ('PALJ810109', 0.816), ('AURR980115', 0.804), ('AURR980112', 0.802)]","Geisow, M.J. and Roberts, R.D.B.",Amino acid preferences for secondary structure vary with protein class,"Int. J. Biol. Macromol. 2, 387-389 (1980)",,indices,"A,alpha and turn propensities"
GEIM800102,"Alpha-helix indices for alpha-proteins (Geisow-Roberts, 1980)","[('PALJ810107', 0.919), ('GEIM800109', -0.993)]","Geisow, M.J. and Roberts, R.D.B.",Amino acid preferences for secondary structure vary with protein class,"Int. J. Biol. Macromol. 2, 387-389 (1980)",,indices,"A,alpha and turn propensities"
GEIM800103,"Alpha-helix indices for beta-proteins (Geisow-Roberts, 1980)",[],"Geisow, M.J. and Roberts, R.D.B.",Amino acid preferences for secondary structure vary with protein class,"Int. J. Biol. Macromol. 2, 387-389 (1980)",,indices,"A,alpha and turn propensities"
GEIM800104,"Alpha-helix indices for alpha/beta-proteins (Geisow-Roberts, 1980)","[('PALJ810109', 0.937), ('KANM800101', 0.916), ('LEVM780101', 0.907), ('PRAM900102', 0.907), ('GEIM800101', 0.903), ('MAXF760101', 0.897), ('ISOY800101', 0.891), ('PALJ810102', 0.886), ('LEVM780104', 0.872), ('CHOP780201', 0.868), ('ROBB760101', 0.855), ('RACS820108', 0.851), ('PALJ810101', 0.841), ('TANS770101', 0.841), ('CRAJ730101', 0.838), ('NAGK730101', 0.828), ('BURA740101', 0.819), ('AURR980112', 0.815)]","Geisow, M.J. and Roberts, R.D.B.",Amino acid preferences for secondary structure vary with protein class,"Int. J. Biol. Macromol. 2, 387-389 (1980)",,indices,"A,alpha and turn propensities"
GEIM800105,"Beta-strand indices (Geisow-Roberts, 1980)","[('PALJ810103', 0.945), ('LEVM780105', 0.926), ('KANM800102', 0.916), ('GEIM800107', 0.901), ('CHOP780202', 0.89), ('ROBB760105', 0.877), ('KANM800104', 0.861), ('PALJ810104', 0.856), ('ROBB760106', 0.856), ('LIFS790101', 0.855), ('TANS770103', 0.85), ('ISOY800102', 0.843), ('LIFS790103', 0.832), ('PALJ810112', 0.83), ('QIAN880119', 0.829), ('QIAN880120', 0.822), ('MAXF760102', 0.819), ('QIAN880121', 0.811), ('PTIO830102', 0.81), ('QIAN880118', 0.81), ('MUNV940103', -0.841)]","Geisow, M.J. and Roberts, R.D.B.",Amino acid preferences for secondary structure vary with protein class,"Int. J. Biol. Macromol. 2, 387-389 (1980)",,indices,"B,beta propensity"
GEIM800106,"Beta-strand indices for beta-proteins (Geisow-Roberts, 1980)","[('GEIM800107', 0.878), ('PALJ810110', 0.851), ('CHOP780202', 0.839), ('ROBB760106', 0.838), ('QIAN880120', 0.825), ('KANM800102', 0.821), ('LIFS790103', 0.814), ('MUNV940103', -0.8), ('GEIM800110', -0.929)]","Geisow, M.J. and Roberts, R.D.B.",Amino acid preferences for secondary structure vary with protein class,"Int. J. Biol. Macromol. 2, 387-389 (1980)",,indices,"B,beta propensity"
GEIM800107,"Beta-strand indices for alpha/beta-proteins (Geisow-Roberts, 1980)","[('KANM800102', 0.955), ('CHOP780202', 0.929), ('PALJ810104', 0.928), ('PALJ810112', 0.905), ('GEIM800105', 0.901), ('ROBB760106', 0.899), ('PALJ810103', 0.89), ('LIFS790101', 0.888), ('LEVM780105', 0.884), ('GEIM800106', 0.878), ('KANM800104', 0.876), ('QIAN880121', 0.875), ('PTIO830102', 0.85), ('BASU050103', 0.847), ('BASU050101', 0.847), ('QIAN880120', 0.843), ('LEVM780102', 0.842), ('PRAM900103', 0.842), ('PONP930101', 0.838), ('ROBB760105', 0.836), ('NAGK730102', 0.83), ('PALJ810110', 0.826), ('LIFS790103', 0.823), ('CORJ870101', 0.821), ('PONP800108', 0.817), ('NISK860101', 0.813), ('QIAN880119', 0.807), ('MIYS990103', -0.803), ('GEIM800110', -0.815), ('VINM940101', -0.819), ('MUNV940103', -0.869)]","Geisow, M.J. and Roberts, R.D.B.",Amino acid preferences for secondary structure vary with protein class,"Int. J. Biol. Macromol. 2, 387-389 (1980)",,indices,"B,beta propensity"
GEIM800108,"Aperiodic indices (Geisow-Roberts, 1980)","[('GEIM800111', 0.967), ('CHOP780216', 0.942), ('LEVM780106', 0.932), ('PRAM900104', 0.931), ('LEVM780103', 0.931), ('QIAN880133', 0.93), ('ISOY800103', 0.93), ('CHOP780203', 0.925), ('CHAM830101', 0.916), ('QIAN880132', 0.906), ('CHOP780101', 0.899), ('CHOP780210', 0.896), ('TANS770110', 0.886), ('QIAN880134', 0.884), ('QIAN880135', 0.877), ('PALJ810105', 0.873), ('GEIM800110', 0.87), ('PALJ810106', 0.862), ('QIAN880131', 0.86), ('MUNV940103', 0.806), ('ROBB760103', -0.802), ('QIAN880120', -0.804), ('QIAN880119', -0.81), ('FAUJ880102', -0.819), ('PTIO830101', -0.84), ('SUEM840101', -0.875)]","Geisow, M.J. and Roberts, R.D.B.",Amino acid preferences for secondary structure vary with protein class,"Int. J. Biol. Macromol. 2, 387-389 (1980)",,indices,"A,alpha and turn propensities"
GEIM800109,"Aperiodic indices for alpha-proteins (Geisow-Roberts, 1980)","[('PALJ810107', -0.909), ('GEIM800102', -0.993)]","Geisow, M.J. and Roberts, R.D.B.",Amino acid preferences for secondary structure vary with protein class,"Int. J. Biol. Macromol. 2, 387-389 (1980)",,indices,"A,alpha and turn propensities"
GEIM800110,"Aperiodic indices for beta-proteins (Geisow-Roberts, 1980)","[('MUNV940103', 0.88), ('GEIM800108', 0.87), ('GEIM800111', 0.857), ('QIAN880134', 0.853), ('QIAN880135', 0.842), ('PARS000101', 0.831), ('QIAN880133', 0.822), ('LEVM780106', 0.809), ('QIAN880121', -0.806), ('CORJ870105', -0.807), ('CORJ870106', -0.812), ('KANM800102', -0.814), ('GEIM800107', -0.815), ('ROBB760106', -0.819), ('CHOP780202', -0.824), ('AVBF000101', -0.825), ('PALJ810110', -0.84), ('QIAN880119', -0.853), ('LIFS790101', -0.862), ('LIFS790103', -0.889), ('QIAN880120', -0.898), ('GEIM800106', -0.929)]","Geisow, M.J. and Roberts, R.D.B.",Amino acid preferences for secondary structure vary with protein class,"Int. J. Biol. Macromol. 2, 387-389 (1980)",,indices,"B,beta propensity"
GEIM800111,"Aperiodic indices for alpha/beta-proteins (Geisow-Roberts, 1980)","[('GEIM800108', 0.967), ('CHOP780216', 0.955), ('PRAM900104', 0.954), ('LEVM780103', 0.952), ('LEVM780106', 0.951), ('QIAN880133', 0.943), ('CHAM830101', 0.938), ('CHOP780203', 0.933), ('ISOY800103', 0.929), ('QIAN880132', 0.929), ('QIAN880134', 0.919), ('QIAN880135', 0.895), ('TANS770110', 0.883), ('CHOP780101', 0.878), ('CHOP780210', 0.867), ('QIAN880131', 0.857), ('GEIM800110', 0.857), ('PALJ810105', 0.855), ('PALJ810106', 0.844), ('LIFS790101', -0.801), ('AVBF000101', -0.806), ('KANM800103', -0.812), ('AURR980109', -0.814), ('QIAN880120', -0.816), ('ROBB760103', -0.843), ('FAUJ880102', -0.873), ('PTIO830101', -0.876), ('SUEM840101', -0.885)]","Geisow, M.J. and Roberts, R.D.B.",Amino acid preferences for secondary structure vary with protein class,"Int. J. Biol. Macromol. 2, 387-389 (1980)",,indices,"A,alpha and turn propensities"
GOLD730101,"Hydrophobicity factor (Goldsack-Chalifoux, 1973)","[('SIMZ760101', 0.939), ('ARGP820101', 0.936), ('JOND750101', 0.935), ('TAKK010101', 0.872), ('MEEJ800102', 0.866), ('LAWE840101', 0.829), ('CIDH920102', 0.829), ('LEVM760106', 0.827), ('BULH740102', 0.825), ('MEEJ810101', 0.824), ('BLAS910101', 0.821), ('ZIMJ680105', 0.82), ('CIDH920105', 0.82), ('ZIMJ680102', 0.818), ('ZHOH040101', 0.817), ('ROSM880104', 0.808), ('MEEJ800101', 0.808), ('MEEJ810102', 0.806), ('VENT840101', 0.802), ('PARJ860101', -0.827), ('WOLS870101', -0.854), ('BULH740101', -0.874)]","Goldsack, D.E. and Chalifoux, R.C.",Contribution of the free energy of mixing of hydrophobic side chains to the stability of the tertiary structure,"J. Theor. Biol. 39, 645-651 (1973) (Asn Gln !)",PMID:4354159,indices,"H,Hydrophobicity"
GOLD730102,"Residue volume (Goldsack-Chalifoux, 1973)","[('BIGC670101', 1.0), ('KRIW790103', 0.994), ('TSAJ990101', 0.993), ('TSAJ990102', 0.991), ('CHOC750101', 0.989), ('GRAR740103', 0.984), ('FAUJ880103', 0.972), ('CHAM820101', 0.967), ('CHOC760101', 0.96), ('HARY940101', 0.959), ('PONJ960101', 0.947), ('FASG760101', 0.918), ('LEVM760105', 0.911), ('ROSG850101', 0.909), ('DAWD720101', 0.904), ('LEVM760102', 0.893), ('ZHOH040102', 0.882), ('LEVM760106', 0.875), ('CHAM830106', 0.869), ('LEVM760107', 0.865), ('FAUJ880106', 0.857), ('RADA880106', 0.854), ('MCMT640101', 0.814), ('RADA880103', -0.864)]","Goldsack, D.E. and Chalifoux, R.C.",Contribution of the free energy of mixing of hydrophobic side chains to the stability of the tertiary structure,"J. Theor. Biol. 39, 645-651 (1973) (Asn Gln 8.8)",PMID:4354159,indices,"P,Physicochemical properties"
GRAR740101,"Composition (Grantham, 1974)",[],"Grantham, R.",Amino acid difference formula to help explain protein evolution,"Science 185, 862-864 (1974) (Atomic weight ratio of noncarbons to carbons in the side chain)",PMID:4843792,indices,"H,Hydrophobicity"
GRAR740102,"Polarity (Grantham, 1974)","[('WOEC730101', 0.96), ('MIYS990105', 0.928), ('PUNT030102', 0.915), ('MIYS990104', 0.91), ('WOLS870101', 0.91), ('MIYS990103', 0.904), ('MIYS990101', 0.903), ('MIYS990102', 0.903), ('OOBM770103', 0.896), ('PARJ860101', 0.891), ('ROSM880101', 0.887), ('KIDA850101', 0.881), ('HOPT810101', 0.874), ('PUNT030101', 0.873), ('FASG890101', 0.872), ('ROSM880102', 0.87), ('VINM940101', 0.869), ('LEVM760101', 0.865), ('KUHL950101', 0.865), ('PRAM900101', 0.855), ('ENGD860101', 0.855), ('KRIW790101', 0.847), ('OOBM770101', 0.841), ('CORJ870108', 0.838), ('VINM940102', 0.837), ('MEIH800102', 0.836), ('GUYH850103', 0.831), ('MONM990101', 0.831), ('MEIH800101', 0.824), ('BULH740101', 0.822), ('GUYH850101', 0.818), ('GUYH850102', 0.806), ('WIMW960101', -0.804), ('JANJ780102', -0.809), ('MEEJ810102', -0.811), ('NADH010105', -0.812), ('EISD840101', -0.823), ('WERD780101', -0.826), ('ROBB790101', -0.832), ('CORJ870103', -0.836), ('MEEJ810101', -0.839), ('CORJ870107', -0.84), ('CIDH920102', -0.842), ('PONP800101', -0.849), ('CORJ870104', -0.85), ('CASG920101', -0.85), ('COWR900101', -0.854), ('GUOD860101', -0.855), ('KYTJ820101', -0.859), ('NADH010101', -0.859), ('RADA880101', -0.861), ('DESM900102', -0.862), ('JURD980101', -0.864), ('BASU050102', -0.864), ('MEIH800103', -0.866), ('NADH010104', -0.868), ('MANP780101', -0.868), ('PONP800102', -0.871), ('EISD860101', -0.871), ('EISD860103', -0.871), ('CIDH920103', -0.871), ('PONP930101', -0.872), ('NISK800101', -0.879), ('ROSG850102', -0.88), ('BIOV880102', -0.881), ('NADH010103', -0.881), ('NADH010102', -0.881), ('CIDH920105', -0.884), ('PLIV810101', -0.888), ('BASU050101', -0.889), ('CORJ870101', -0.89), ('CORJ870102', -0.893), ('ZHOH040103', -0.895), ('MIYS850101', -0.895), ('SWER830101', -0.896), ('PONP800103', -0.897), ('RADA880108', -0.899), ('NISK860101', -0.9), ('BASU050103', -0.906), ('PONP800108', -0.907), ('BIOV880101', -0.91), ('CIDH920104', -0.915), ('ROSM880105', -0.924), ('FAUJ830101', -0.948), ('BLAS910101', -0.95)]","Grantham, R.",Amino acid difference formula to help explain protein evolution,"Science 185, 862-864 (1974)",PMID:4843792,indices,"H,Hydrophobicity"
GRAR740103,"Volume (Grantham, 1974)","[('KRIW790103', 0.989), ('BIGC670101', 0.984), ('GOLD730102', 0.984), ('TSAJ990101', 0.979), ('TSAJ990102', 0.978), ('CHOC750101', 0.973), ('FAUJ880103', 0.959), ('CHAM820101', 0.951), ('HARY940101', 0.946), ('CHOC760101', 0.945), ('PONJ960101', 0.937), ('ROSG850101', 0.922), ('RADA880106', 0.92), ('FASG760101', 0.908), ('LEVM760105', 0.9), ('CHAM830106', 0.89), ('LEVM760102', 0.885), ('ZHOH040102', 0.872), ('DAWD720101', 0.853), ('LEVM760106', 0.846), ('LEVM760107', 0.841), ('FAUJ880106', 0.819), ('MCMT640101', 0.817), ('RADA880103', -0.881)]","Grantham, R.",Amino acid difference formula to help explain protein evolution,"Science 185, 862-864 (1974)",PMID:4843792,indices,"P,Physicochemical properties"
GUYH850101,"Partition energy (Guy, 1985)","[('MEIH800102', 0.934), ('RACS770102', 0.934), ('FASG890101', 0.934), ('PUNT030101', 0.91), ('MIYS990103', 0.907), ('MIYS990105', 0.895), ('MEIH800101', 0.893), ('MIYS990102', 0.892), ('MIYS990101', 0.891), ('MIYS990104', 0.889), ('KRIW790101', 0.885), ('VINM940103', 0.865), ('KRIW790102', 0.864), ('GUYH850104', 0.857), ('RACS770101', 0.853), ('CORJ870108', 0.851), ('OOBM770101', 0.848), ('GUYH850105', 0.843), ('KARP850102', 0.84), ('ROSM880102', 0.837), ('PUNT030102', 0.836), ('KIDA850101', 0.834), ('KRIW710101', 0.831), ('VINM940101', 0.829), ('JANJ780103', 0.829), ('KUHL950101', 0.827), ('JANJ780101', 0.821), ('PRAM900101', 0.82), ('ENGD860101', 0.82), ('GRAR740102', 0.818), ('RACS770103', 0.816), ('CHOC760102', 0.807), ('GUYH850102', 0.805), ('ROSM880101', 0.803), ('HOPT810101', 0.802), ('BASU050102', -0.801), ('BASU050101', -0.807), ('CORJ870105', -0.81), ('NISK800101', -0.811), ('YUTK870101', -0.813), ('CORJ870103', -0.813), ('RADA880101', -0.815), ('CORJ870104', -0.815), ('PONP930101', -0.817), ('CORJ870101', -0.82), ('CIDH920104', -0.821), ('OLSK800101', -0.823), ('EISD860101', -0.823), ('PONP800106', -0.826), ('DESM900101', -0.831), ('EISD860103', -0.832), ('ROSM880105', -0.832), ('CORJ870106', -0.833), ('CASG920101', -0.836), ('PLIV810101', -0.836), ('MANP780101', -0.838), ('ZHOH040103', -0.839), ('CORJ870107', -0.841), ('KYTJ820101', -0.843), ('EISD840101', -0.849), ('NADH010105', -0.855), ('CHOC760103', -0.856), ('NADH010101', -0.862), ('FAUJ830101', -0.863), ('JURD980101', -0.864), ('JANJ790102', -0.865), ('BASU050103', -0.871), ('WERD780101', -0.871), ('JANJ780102', -0.872), ('PONP800101', -0.877), ('NISK860101', -0.877), ('MEIH800103', -0.88), ('PONP800102', -0.883), ('BIOV880102', -0.885), ('PONP800103', -0.887), ('DESM900102', -0.895), ('MIYS850101', -0.909), ('NADH010104', -0.91), ('NADH010102', -0.91), ('NADH010103', -0.916), ('BIOV880101', -0.929), ('ROSG850102', -0.929), ('RADA880108', -0.948)]","Guy, H.R.",Amino acid side-chain partition energies and distribution of residues in soluble proteins,"Biophys. J. 47, 61-70 (1985)",PMID:3978191,indices,"H,Hydrophobicity"
HOPA770101,"Hydration number (Hopfinger, 1971), Cited by Charton-Charton (1982)","[('WOEC730101', 0.876), ('ZIMJ680103', 0.815)]","Hopfinger, A.J.",,"""Intermolecular Interactions and Biomolecular Organizations"", Wiley, New York (1977) Cited by Charton-Charton (1982) (Cys !)",,indices,"H,Hydrophobicity"
HOPT810101,"Hydrophilicity value (Hopp-Woods, 1981)","[('LEVM760101', 0.985), ('WOEC730101', 0.886), ('PUNT030102', 0.886), ('FUKS010104', 0.884), ('ENGD860101', 0.882), ('PRAM900101', 0.881), ('KIDA850101', 0.881), ('GRAR740102', 0.874), ('MIYS990105', 0.862), ('VINM940101', 0.859), ('PUNT030101', 0.858), ('FUKS010102', 0.854), ('VHEG790101', 0.849), ('ROSM880101', 0.848), ('MIYS990104', 0.843), ('OOBM770103', 0.833), ('WOLS870101', 0.83), ('MIYS990103', 0.825), ('PARJ860101', 0.819), ('MIYS990102', 0.804), ('MIYS990101', 0.803), ('GUYH850101', 0.802), ('MIYS850101', -0.8), ('NADH010103', -0.805), ('NAKH900110', -0.812), ('ZIMJ680105', -0.816), ('JACR890101', -0.816), ('NADH010102', -0.82), ('NISK860101', -0.822), ('ROSG850102', -0.825), ('MEEJ800102', -0.826), ('RADA880101', -0.829), ('ZHOH040103', -0.829), ('BASU050103', -0.83), ('RADA880108', -0.831), ('CASG920101', -0.839), ('EISD840101', -0.846), ('BIOV880101', -0.848), ('WIMW960101', -0.855), ('RADA880102', -0.859), ('BIOV880102', -0.864), ('BLAS910101', -0.877), ('EISD860101', -0.905), ('FAUJ830101', -0.909), ('ROSM880105', -0.955)]","Hopp, T.P. and Woods, K.R.",Prediction of protein antigenic determinants from amino acid sequecces,"Proc. Natl. Acad. Sci. USA 78, 3824-3828 (1981)",PMID:6167991,indices,"H,Hydrophobicity"
HUTJ700101,"Heat capacity (Hutchens, 1970)",[],"Hutchens, J.O.","Heat capacities, absolute entropies, and entropies of formation of amino acids and related compounds","In ""Handbook of Biochemistry"", 2nd ed. (Sober, H.A., ed.), Chemical Rubber Co., Cleveland, Ohio, pp. B60-B61 (1970)",,indices,"C,Composition"
HUTJ700102,"Absolute entropy (Hutchens, 1970)","[('HUTJ700103', 0.867), ('LEVM760105', 0.864), ('LEVM760102', 0.835), ('FAUJ880104', 0.835), ('CHOC760101', 0.819), ('CHAM820101', 0.815), ('FAUJ880103', 0.807), ('FAUJ880106', 0.806), ('CHOC750101', 0.802), ('RADA880103', -0.812)]","Hutchens, J.O.","Heat capacities, absolute entropies, and entropies of formation of amino acids and related compounds","In ""Handbook of Biochemistry"", 2nd ed. (Sober, H.A., ed.), Chemical Rubber Co., Cleveland, Ohio, pp. B60-B61 (1970)",,indices,"P,Physicochemical properties"
HUTJ700103,"Entropy of formation (Hutchens, 1970)","[('HUTJ700102', 0.867), ('EISD860102', 0.841), ('FAUJ880104', 0.839), ('LEVM760105', 0.834)]","Hutchens, J.O.","Heat capacities, absolute entropies, and entropies of formation of amino acids and related compounds","In ""Handbook of Biochemistry"", 2nd ed. (Sober, H.A., ed.), Chemical Rubber Co., Cleveland, Ohio, pp. B60-B61 (1970)",,indices,"P,Physicochemical properties"
ISOY800101,"Normalized relative frequency of alpha-helix (Isogai et al., 1980)","[('MAXF760101', 0.982), ('PALJ810102', 0.965), ('KANM800101', 0.963), ('CHOP780201', 0.959), ('ROBB760101', 0.957), ('KANM800103', 0.931), ('LEVM780101', 0.929), ('PRAM900102', 0.929), ('TANS770101', 0.906), ('LEVM780104', 0.904), ('RACS820108', 0.904), ('QIAN880106', 0.903), ('GEIM800101', 0.903), ('AURR980109', 0.894), ('GEIM800104', 0.891), ('QIAN880107', 0.887), ('PALJ810101', 0.882), ('PALJ810109', 0.874), ('AURR980112', 0.87), ('NAGK730101', 0.862), ('AURR980114', 0.857), ('AURR980108', 0.856), ('AURR980110', 0.855), ('AURR980115', 0.844), ('ROBB760103', 0.841), ('CRAJ730101', 0.84), ('BURA740101', 0.839), ('QIAN880105', 0.828), ('AURR980113', 0.815), ('AURR980111', 0.801), ('CHAM830101', -0.815), ('NAGK730103', -0.821), ('MUNV940101', -0.875), ('MUNV940102', -0.877)]","Isogai, Y., Nemethy, G., Rackovsky, S., Leach, S.J. and Scheraga,H.A",Characterization of multiple bends in proteins,"Biopolymers 19, 1183-1210 (1980) Recalculated by Kidera using a different set of proteins",PMID:7378550,indices,"A,alpha and turn propensities"
ISOY800102,"Normalized relative frequency of extended structure (Isogai et al., 1980)","[('MAXF760102', 0.931), ('TANS770103', 0.929), ('ROBB760105', 0.847), ('GEIM800105', 0.843), ('PALJ810103', 0.807), ('WOEC730101', -0.803)]","Isogai, Y., Nemethy, G., Rackovsky, S., Leach, S.J. and Scheraga,H.A",Characterization of multiple bends in proteins,"Biopolymers 19, 1183-1210 (1980) Recalculated by Kidera using a different set of proteins",PMID:7378550,indices,"B,beta propensity"
ISOY800103,"Normalized relative frequency of bend (Isogai et al., 1980)","[('LEVM780106', 0.941), ('PRAM900104', 0.934), ('CHOP780203', 0.933), ('LEVM780103', 0.932), ('GEIM800108', 0.93), ('GEIM800111', 0.929), ('PALJ810105', 0.928), ('CHOP780216', 0.921), ('QIAN880133', 0.908), ('TANS770110', 0.897), ('QIAN880132', 0.892), ('CHOP780101', 0.885), ('CHAM830101', 0.881), ('CHOP780210', 0.829), ('QIAN880134', 0.828), ('PALJ810116', 0.814), ('PALJ810114', 0.809), ('PALJ810106', 0.807), ('ROBB760112', 0.807), ('AVBF000102', -0.821), ('SUEM840101', -0.85)]","Isogai, Y., Nemethy, G., Rackovsky, S., Leach, S.J. and Scheraga,H.A",Characterization of multiple bends in proteins,"Biopolymers 19, 1183-1210 (1980) Recalculated by Kidera using a different set of proteins",PMID:7378550,indices,"A,alpha and turn propensities"
ISOY800104,"Normalized relative frequency of bend R (Isogai et al., 1980)","[('TANS770104', 0.918), ('CHOP780213', 0.916), ('QIAN880134', 0.893), ('MUNV940104', 0.866), ('FINA910102', 0.844), ('MUNV940105', 0.844), ('QIAN880135', 0.837), ('ONEK900102', 0.828), ('GEOR030109', 0.812), ('ROBB760104', -0.817), ('ROBB760103', -0.83), ('PTIO830101', -0.832), ('BUNA790101', -0.842), ('QIAN880108', -0.847), ('BLAM930101', -0.86)]","Isogai, Y., Nemethy, G., Rackovsky, S., Leach, S.J. and Scheraga,H.A",Characterization of multiple bends in proteins,"Biopolymers 19, 1183-1210 (1980) Recalculated by Kidera using a different set of proteins",PMID:7378550,indices,"A,alpha and turn propensities"
ISOY800105,"Normalized relative frequency of bend S (Isogai et al., 1980)","[('CHOP780214', 0.923), ('TANS770105', 0.836), ('ISOY800108', 0.812)]","Isogai, Y., Nemethy, G., Rackovsky, S., Leach, S.J. and Scheraga,H.A",Characterization of multiple bends in proteins,"Biopolymers 19, 1183-1210 (1980) Recalculated by Kidera using a different set of proteins",PMID:7378550,indices,"O,Other properties"
ISOY800106,"Normalized relative frequency of helix end (Isogai et al., 1980)","[('MAXF760106', 0.849)]","Isogai, Y., Nemethy, G., Rackovsky, S., Leach, S.J. and Scheraga,H.A",Characterization of multiple bends in proteins,"Biopolymers 19, 1183-1210 (1980) Recalculated by Kidera using a different set of proteins",PMID:7378550,indices,"A,alpha and turn propensities"
