key,id,description,group,group_info
QIAN880126,H283,"Weights for beta-sheet at the window position of 6 (Qian-Sejnowski, 1988)",H,Hydrophobicity
QIAN880127,H284,"Weights for coil at the window position of -6 (Qian-Sejnowski, 1988)",H,Hydrophobicity
QIAN880128,H285,"Weights for coil at the window position of -5 (Qian-Sejnowski, 1988)",H,Hydrophobicity
RACS820101,H297,"Average relative fractional occurrence in A0(i) (Rackovsky-Scheraga, 1982)",H,Hydrophobicity
RACS820103,H299,"Average relative fractional occurrence in AL(i) (Rackovsky-Scheraga, 1982)",H,Hydrophobicity
RACS770101,H311,"Average reduced distance for Ca (Rackovsky-Scheraga, 1977)",H,Hydrophobicity
RACS770102,H312,"Average reduced distance for side chain (Rackovsky-Scheraga, 1977)",H,Hydrophobicity
RACS770103,H313,"Side chain orientational preference (Rackovsky-Scheraga, 1977)",H,Hydrophobicity
RADA880101,H314,"Transfer free energy from chx to wat (Radzicka-Wolfenden, 1988)",H,Hydrophobicity
RADA880102,H315,"Transfer free energy from oct to wat (Radzicka-Wolfenden, 1988)",H,Hydrophobicity
RADA880104,H317,"Transfer free energy from chx to oct (Radzicka-Wolfenden, 1988)",H,Hydrophobicity
RADA880105,H318,"Transfer free energy from vap to oct (Radzicka-Wolfenden, 1988)",H,Hydrophobicity
RADA880107,H320,"Energy transfer from out to in(95%buried) (Radzicka-Wolfenden, 1988)",H,Hydrophobicity
RADA880108,H321,"Mean polarity (Radzicka-Wolfenden, 1988)",H,Hydrophobicity
RICJ880104,H325,"Relative preference value at N1 (Richardson-Richardson, 1988)",H,Hydrophobicity
RICJ880105,H326,"Relative preference value at N2 (Richardson-Richardson, 1988)",H,Hydrophobicity
RICJ880106,H327,"Relative preference value at N3 (Richardson-Richardson, 1988)",H,Hydrophobicity
RICJ880108,H329,"Relative preference value at N5 (Richardson-Richardson, 1988)",H,Hydrophobicity
RICJ880111,H332,"Relative preference value at C4 (Richardson-Richardson, 1988)",H,Hydrophobicity
ROBB760102,H341,"Information measure for N-terminal helix (Robson-Suzuki, 1976)",H,Hydrophobicity
ROBB790101,H339,"Hydration free energy (Robson-Osguthorpe, 1979)",H,Hydrophobicity
ROSG850102,H354,"Mean fractional area loss (Rose et al., 1985)",H,Hydrophobicity
ROSM880101,H355,"Side chain hydropathy, uncorrected for solvation (Roseman, 1988)",H,Hydrophobicity
ROSM880102,H356,"Side chain hydropathy, corrected for solvation (Roseman, 1988)",H,Hydrophobicity
ROSM880103,H357,"Loss of Side chain hydropathy by helix formation (Roseman, 1988)",H,Hydrophobicity
SIMZ760101,H358,"Transfer free energy (Simon, 1976), Cited by Charton-Charton (1982)",H,Hydrophobicity
SNEP660102,H360,"Principal component II (Sneath, 1966)",H,Hydrophobicity
SUEM840102,H364,"Zimm-Bragg parameter s´1.0E4 (Sueki et al., 1984)",H,Hydrophobicity
SWER830101,H365,"Optimal matching hydrophobicity (Sweet-Eisenberg, 1983)",H,Hydrophobicity
TANS770106,H371,"Normalized frequency of chain reversal D (Tanaka-Scheraga, 1977)",H,Hydrophobicity
TANS770108,H373,"Normalized frequency of zR (Tanaka-Scheraga, 1977)",H,Hydrophobicity
VASM830102,H377,"Relative population of conformational state C (Vasquez et al., 1983)",H,Hydrophobicity
VASM830103,H378,"Relative population of conformational state E (Vasquez et al., 1983)",H,Hydrophobicity
VELV850101,H379,"Electron-ion interaction potential (Veljkovic et al., 1985)",H,Hydrophobicity
VENT840101,H380,"Bitterness (Venanzi, 1984)",H,Hydrophobicity
VHEG790101,H381,"Transfer free energy to lipophilic phase (von Heijne-Blomberg, 1979)",H,Hydrophobicity
WARP780101,H382,"Average interactions per side chain atom (Warme-Morgan, 1978)",H,Hydrophobicity
WERD780101,H384,"Propensity to be buried inside (Wertz-Scheraga, 1978)",H,Hydrophobicity
WERD780103,H386,"Free energy change of a(Ri) to a(Rh) (Wertz-Scheraga, 1978)",H,Hydrophobicity
WERD780104,H387,"Free energy change of e(i) to a(Rh) (Wertz-Scheraga, 1978)",H,Hydrophobicity
WOEC730101,H388,"Polar requirement (Woese, 1973)",H,Hydrophobicity
WOLR810101,H392,"Hydration potential (Wolfenden et al., 1981)",H,Hydrophobicity
WOLS870101,H389,"Principal property value z1 (Wold et al., 1987)",H,Hydrophobicity
YUTK870101,H393,"Unfolding Gibbs energy in water, pH7.0 (Yutani et al., 1987)",H,Hydrophobicity
YUTK870102,H394,"Unfolding Gibbs energy in water, pH9.0 (Yutani et al., 1987)",H,Hydrophobicity
YUTK870103,H395,"Activation Gibbs energy of unfolding, pH7.0 (Yutani et al., 1987)",H,Hydrophobicity
YUTK870104,H396,"Activation Gibbs energy of unfolding, pH9.0 (Yutani et al., 1987)",H,Hydrophobicity
ZIMJ680101,H398,"Hydrophobicity (Zimmerman et al., 1968)",H,Hydrophobicity
ZIMJ680103,H400,"Polarity (Zimmerman et al., 1968)",H,Hydrophobicity
ZIMJ680104,H401,"Isoelectric point (Zimmerman et al., 1968)",H,Hydrophobicity
ZIMJ680105,H402,"RF rank (Zimmerman et al., 1968)",H,Hydrophobicity
ANDN920101,P001,"a-CH chemical shifts (Andersen et al., 1992)",P,Physicochemical properties
BIGC670101,P009,"Residue volume (Bigelow, 1967)",P,Physicochemical properties
BULH740102,P015,"Apparent partial specific volume (Bull-Breese, 1974)",P,Physicochemical properties
BUNA790102,P017,"a-CH chemical shifts (Bundi-Wuthrich, 1979)",P,Physicochemical properties
CHAM830103,P024,"The number of atoms in the side chain labelled 1+1 (Charton-Charton, 1983)",P,Physicochemical properties
CHAM830105,P026,"The number of atoms in the side chain labelled 3+1 (Charton-Charton, 1983)",P,Physicochemical properties
CHAM830106,P027,"The number of bonds in the longest chain (Charton-Charton, 1983)",P,Physicochemical properties
CHAM820101,P030,"Polarizability parameter (Charton-Charton, 1982)",P,Physicochemical properties
CHOC750101,P032,"Average volume of buried residue (Chothia, 1975)",P,Physicochemical properties
CHOC760101,P033,"Residue accessible surface area in tripeptide (Chothia, 1976)",P,Physicochemical properties
COHE430101,P059,"Partial specific volume (Cohn-Edsall, 1943)",P,Physicochemical properties
DAWD720101,P063,"Size (Dawson, 1972)",P,Physicochemical properties
DAYM780201,P065,"Relative mutability (Dayhoff et al., 1978a)",P,Physicochemical properties
FASG760101,P072,"Molecular weight (Fasman, 1976)",P,Physicochemical properties
FAUJ880101,P078,"Graph shape index (Fauchere et al., 1988)",P,Physicochemical properties
FAUJ880103,P080,"Normalized van der Waals volume (Fauchere et al., 1988)",P,Physicochemical properties
FAUJ880104,P081,"STERIMOL length of the side chain (Fauchere et al., 1988)",P,Physicochemical properties
FAUJ880105,P082,"STERIMOL minimum width of the side chain (Fauchere et al., 1988)",P,Physicochemical properties
FAUJ880106,P083,"STERIMOL maximum width of the side chain (Fauchere et al., 1988)",P,Physicochemical properties
GARJ730101,P096,"Partition coefficient (Garel et al., 1973)",P,Physicochemical properties
GOLD730102,P109,"Residue volume (Goldsack-Chalifoux, 1973)",P,Physicochemical properties
GRAR740103,P112,"Volume (Grantham, 1974)",P,Physicochemical properties
HUTJ700102,P117,"Absolute entropy (Hutchens, 1970)",P,Physicochemical properties
HUTJ700103,P118,"Entropy of formation (Hutchens, 1970)",P,Physicochemical properties
JOND920102,P135,"Relative mutability (Jones et al., 1992)",P,Physicochemical properties
KRIW790103,P149,"Side chain volume (Krigbaum-Komoriya, 1979)",P,Physicochemical properties
LEVM760102,P154,"Distance between Ca and centroid of side chain (Levitt, 1976)",P,Physicochemical properties
LEVM760105,P157,"Radius of gyration of side chain (Levitt, 1976)",P,Physicochemical properties
LEVM760106,P158,"van der Waals parameter R0 (Levitt, 1976)",P,Physicochemical properties
LEVM760107,P159,"van der Waals parameter e (Levitt, 1976)",P,Physicochemical properties
MCMT640101,P177,"Refractivity (McMeekin et al., 1964), Cited by Jones (1975)",P,Physicochemical properties
OOBM770102,P214,"Short and medium range non-bonded energy per atom (Oobatake-Ooi, 1977)",P,Physicochemical properties
OOBM770104,P216,"Average non-bonded energy per residue (Oobatake-Ooi, 1977)",P,Physicochemical properties
OOBM770105,P217,"Short and medium range non-bonded energy per residue (Oobatake-Ooi, 1977)",P,Physicochemical properties
OOBM850102,P219,"Optimized propensity to form reverse turn (Oobatake et al., 1985)",P,Physicochemical properties
QIAN880123,P280,"Weights for beta-sheet at the window position of 3 (Qian-Sejnowski, 1988)",P,Physicochemical properties
QIAN880124,P281,"Weights for beta-sheet at the window position of 4 (Qian-Sejnowski, 1988)",P,Physicochemical properties
QIAN880125,P282,"Weights for beta-sheet at the window position of 5 (Qian-Sejnowski, 1988)",P,Physicochemical properties
RADA880103,P316,"Transfer free energy from vap to chx (Radzicka-Wolfenden, 1988)",P,Physicochemical properties
RADA880106,P319,"Accessible surface area (Radzicka-Wolfenden, 1988)",P,Physicochemical properties
ROSG850101,P353,"Mean area buried on transfer (Rose et al., 1985)",P,Physicochemical properties
SNEP660103,P361,"Principal component III (Sneath, 1966)",P,Physicochemical properties
WEBA780101,P383,"RF value in high salt chromatography (Weber-Lacey, 1978)",P,Physicochemical properties
WOLS870102,P390,"Principal property value z2 (Wold et al., 1987)",P,Physicochemical properties
ZASB820101,P397,"Dependence of partition coefficient on ionic strength (Zaslavsky et al., 1982)",P,Physicochemical properties
ZIMJ680102,P399,"Bulkiness (Zimmerman et al., 1968)",P,Physicochemical properties
CHAM810101,O021,"Steric parameter (Charton, 1981)",O,Other properties
CHAM830104,O025,"The number of atoms in the side chain labelled 2+1 (Charton-Charton, 1983)",O,Other properties
CHOP780206,O043,"Normalized frequency of N-terminal non helical region (Chou-Fasman, 1978b)",O,Other properties
CHOP780214,O051,"Frequency of the 3rd residue in turn (Chou-Fasman, 1978b)",O,Other properties
FAUJ880102,O079,"Smoothed upsilon steric parameter (Fauchere et al., 1988)",O,Other properties
FAUJ880107,O084,"N.m.r. chemical shift of alpha-carbon (Fauchere et al., 1988)",O,Other properties
ISOY800105,O123,"Normalized relative frequency of bend S (Isogai et al., 1980)",O,Other properties
ISOY800108,O126,"Normalized relative frequency of coil (Isogai et al., 1980)",O,Other properties
LEVM760103,O155,"Side chain angle theta(AAR) (Levitt, 1976)",O,Other properties
LEVM760104,O156,"Side chain torsion angle phi(AAAR) (Levitt, 1976)",O,Other properties
MAXF760103,O173,"Normalized frequency of zR (Maxfield-Scheraga, 1976)",O,Other properties
MAXF760104,O174,"Normalized frequency of left-handed alpha-helix (Maxfield-Scheraga, 1976)",O,Other properties
MAXF760105,O175,"Normalized frequency of zL (Maxfield-Scheraga, 1976)",O,Other properties
PRAM820102,O254,"Slope in regression analysis ´1.0E1 (Prabhakaran-Ponnuswamy, 1982)",O,Other properties
PRAM820103,O255,"Correlation coefficient in regression analysis (Prabhakaran-Ponnuswamy, 1982)",O,Other properties
RACS820102,O298,"Average relative fractional occurrence in AR(i) (Rackovsky-Scheraga, 1982)",O,Other properties
RACS820106,O302,"Average relative fractional occurrence in ER(i) (Rackovsky-Scheraga, 1982)",O,Other properties
RACS820107,O303,"Average relative fractional occurrence in A0(i-1) (Rackovsky-Scheraga, 1982)",O,Other properties
RACS820109,O305,"Average relative fractional occurrence in AL(i-1) (Rackovsky-Scheraga, 1982)",O,Other properties
RACS820113,O309,"Value of theta(i) (Rackovsky-Scheraga, 1982)",O,Other properties
RICJ880101,O322,"Relative preference value at N'' (Richardson- Richardson, 1988)",O,Other properties
RICJ880102,O323,"Relative preference value at N' (Richardson-Richardson, 1988)",O,Other properties
RICJ880103,O324,"Relative preference value at N-cap (Richardson-Richardson, 1988)",O,Other properties
RICJ880115,O336,"Relative preference value at C-cap (Richardson-Richardson, 1988)",O,Other properties
TANS770105,O370,"Normalized frequency of chain reversal S (Tanaka-Scheraga, 1977)",O,Other properties
TANS770107,O372,"Normalized frequency of left-handed helix (Tanaka-Scheraga, 1977)",O,Other properties
TANS770109,O374,"Normalized frequency of coil (Tanaka-Scheraga, 1977)",O,Other properties
WERD780102,O385,"Free energy change of e(i) to e(ex) (Wertz-Scheraga, 1978)",O,Other properties
